Startup trace (nsec): main: 181942794336
Startup trace (nsec): init done: 181946176894
Number of packets sent : 825600
Number of packets sent : 793688.800793
Number of packets sent : 791824.055666
Number of packets sent : 790355.12778
Number of packets sent : 790386.052304
Number of packets sent : 790221.247758
Number of packets sent : 790574.277168
Number of packets sent : 790526.285796
Number of packets sent : 790184.663342
Number of packets sent : 790135.144124
Number of packets sent : 790384.131737
Number of packets sent : 790288.903003
Number of packets sent : 790586.473671
Number of packets sent : 791193.672247
Number of packets sent : 791329.054343
Number of packets sent : 790914.93044
Number of packets sent : 790410.035574
Number of packets sent : 790128.062034
Number of packets sent : 789640.312916
Number of packets sent : 789408.116064
Number of packets sent : 789293.597683
Number of packets sent : 789522.615933
Number of packets sent : 789678.819523
Number of packets sent : 789502.106406
Number of packets sent : 789291.779396
Number of packets sent : 789157.915768
Number of packets sent : 789102.090217
Number of packets sent : 788906.05343
Number of packets sent : 788742.417755
Number of packets sent : 788501.171364
Number of packets sent : 788467.745696
Number of packets sent : 788367.325233
Number of packets sent : 788127.731985
Number of packets sent : 788238.979048
Number of packets sent : 788082.108852
Number of packets sent : 787914.642154
Number of packets sent : 787913.042272
Number of packets sent : 787746.333954
Number of packets sent : 787669.445175
Number of packets sent : 787686.087625
Number of packets sent : 787596.902323
Number of packets sent : 787765.080061
Number of packets sent : 787769.051414
Number of packets sent : 787880.760382
Number of packets sent : 787881.60883
Number of packets sent : 787863.319417
Number of packets sent : 787829.600504
Number of packets sent : 787765.951566
Number of packets sent : 787677.81155
Number of packets sent : 787556.715748
Number of packets sent : 787572.958929
Number of packets sent : 787716.488684
Number of packets sent : 787906.56289
Number of packets sent : 787892.186439
Number of packets sent : 787900.085128
Number of packets sent : 787916.765085
Number of packets sent : 787958.759391
Number of packets sent : 787890.439539
Number of packets sent : 787837.810362
Number of packets sent : 787741.077629
Number of packets sent : 787711.799194
Number of packets sent : 787649.152987
Number of packets sent : 787591.112042
Number of packets sent : 787580.148797
Number of packets sent : 787537.297584
Number of packets sent : 787499.30042
Number of packets sent : 787494.927317
Number of packets sent : 787466.810859
Number of packets sent : 787524.639556
Number of packets sent : 787468.88081
Number of packets sent : 787475.492926
Number of packets sent : 787538.069565
Number of packets sent : 787640.043308
Number of packets sent : 787675.830344
Number of packets sent : 787731.557765
Number of packets sent : 787724.860745
Number of packets sent : 787726.325895
Number of packets sent : 787693.833314
Number of packets sent : 787696.885051
Number of packets sent : 787606.662112
Number of packets sent : 787578.494328
Number of packets sent : 787571.941514
AUTOTEST_DONE
