/tmp/linux.click:26: While initializing 'fd :: FromDevice':
  warning: ens7: no IPv4 address assigned
Startup trace (nsec): main: 10802157659
Startup trace (nsec): init done: 10812056691
Number of packets sent : 825600
Number of packets sent : 775538.767396
Number of packets sent : 770916.334661
Number of packets sent : 764317.502491
Number of packets sent : 765320.7077
Number of packets sent : 763502.991623
Number of packets sent : 762483.372132
Number of packets sent : 763522.879544
Number of packets sent : 764443.792888
Number of packets sent : 765461.845608
Number of packets sent : 764975.042428
Number of packets sent : 766157.211582
Number of packets sent : 766746.047595
Number of packets sent : 766758.257797
Number of packets sent : 767394.963977
Number of packets sent : 767903.455623
Number of packets sent : 767622.198639
Number of packets sent : 768142.361927
Number of packets sent : 768782.408435
Number of packets sent : 768805.783386
Number of packets sent : 769277.658459
Number of packets sent : 769612.768184
Number of packets sent : 768810.507674
Number of packets sent : 768867.822083
Number of packets sent : 768646.490717
Number of packets sent : 768705.990489
Number of packets sent : 768330.438458
Number of packets sent : 768671.650076
Number of packets sent : 768737.689124
Number of packets sent : 768692.323594
Number of packets sent : 768714.528377
Number of packets sent : 769026.430298
Number of packets sent : 769230.070258
Number of packets sent : 769300.429964
Number of packets sent : 769404.561084
Number of packets sent : 769447.369172
Number of packets sent : 769680.101035
Number of packets sent : 769741.891052
Number of packets sent : 769670.795204
Number of packets sent : 769672.64528
Number of packets sent : 769829.198831
Number of packets sent : 770006.726949
Number of packets sent : 770018.867925
Number of packets sent : 770129.467813
Number of packets sent : 770138.269362
Number of packets sent : 770275.594048
Number of packets sent : 770373.682953
Number of packets sent : 770551.168378
Number of packets sent : 770606.928714
Number of packets sent : 770686.653614
Number of packets sent : 770742.564759
Number of packets sent : 770846.56686
Number of packets sent : 771021.27496
Number of packets sent : 771182.037599
Number of packets sent : 771363.160232
Number of packets sent : 771249.336774
Number of packets sent : 771271.014027
Number of packets sent : 771324.595855
Number of packets sent : 771404.083743
Number of packets sent : 771467.722537
Number of packets sent : 771335.854085
Number of packets sent : 771309.904153
Number of packets sent : 771534.182316
Number of packets sent : 771726.786706
Number of packets sent : 771858.983368
Number of packets sent : 771929.623593
Number of packets sent : 771940.184142
Number of packets sent : 772107.224369
Number of packets sent : 772258.285933
Number of packets sent : 772345.201194
Number of packets sent : 772501.442074
Number of packets sent : 772559.47521
Number of packets sent : 772536.514943
Number of packets sent : 772551.25344
Number of packets sent : 772628.336035
Number of packets sent : 772615.671642
Number of packets sent : 772675.188385
Number of packets sent : 772681.403409
Number of packets sent : 772703.258544
Number of packets sent : 772700.096151
Number of packets sent : 772711.501462
Number of packets sent : 772647.82893
AUTOTEST_DONE
