Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748482152,Device: id=0,RX,0.71547604708684,5792.5021303877,5906.9782979216,719302,727935648
1748482152,Device: id=0,TX,0,0,0,0,0
1748482153,Device: id=0,RX,0.72124581360829,5839.1980368107,5954.597366988,1442857,1460172296
1748482153,Device: id=0,TX,0,0,0,0,0
1748482154,Device: id=0,RX,0.72340787003666,5856.7262215864,5972.4714807923,2170138,2196182692
1748482154,Device: id=0,TX,0,0,0,0,0
1748482155,Device: id=0,RX,0.71113729138038,5757.3675110156,5871.1494776365,2885609,2920239344
1748482155,Device: id=0,TX,0,0,0,0,0
1748482156,Device: id=0,RX,0.72033440752891,5831.8112576716,5947.0647628762,3609804,3653122660
1748482156,Device: id=0,TX,0,0,0,0,0
1748482157,Device: id=0,RX,0.72161240887811,5842.1821159827,5957.6401014032,4335206,4387230496
1748482157,Device: id=0,TX,0,0,0,0,0
1748482158,Device: id=0,RX,0.70495159201602,5707.2800361007,5820.0722908232,5043934,5104462220
1748482158,Device: id=0,TX,0,0,0,0,0
1748482159,Device: id=0,RX,0.71880570247585,5819.4509672444,5934.4598796406,5766516,5835715204
1748482159,Device: id=0,TX,0,0,0,0,0
1748482160,Device: id=0,RX,0.71397077626516,5780.3074046427,5894.5427288451,6484274,6562086300
1748482160,Device: id=0,TX,0,0,0,0,0
1748482161,Device: id=0,RX,0.70835340110241,5734.8935210575,5848.2300652339,7196833,7283204104
1748482161,Device: id=0,TX,0,0,0,0,0
1748482162,Device: id=0,RX,0.72208766020837,5845.9572674255,5961.4912930589,7922713,8017786568
1748482162,Device: id=0,TX,0,0,0,0,0
1748482163,Device: id=0,RX,0.72448941461134,5865.4985104344,5981.4168167722,8651122,8754940524
1748482163,Device: id=0,TX,0,0,0,0,0
1748482164,Device: id=0,RX,0.70960476883761,5744.9229255838,5858.4596885978,9365239,9477622238
1748482164,Device: id=0,TX,0,0,0,0,0
1748482165,Device: id=0,RX,0.72234581465181,5848.1117154211,5963.6870457654,10091379,10212475918
1748482165,Device: id=0,TX,0,0,0,0,0
1748482166,Device: id=0,RX,0.72696752786131,5885.5210518681,6001.8358563259,10822165,10952030338
1748482166,Device: id=0,TX,0,0,0,0,0
1748482167,Device: id=0,RX,0.70746501278359,5727.6447971822,5840.8391992276,11533347,11671747534
1748482167,Device: id=0,TX,0,0,0,0,0
1748482168,Device: id=0,RX,0.71473030570119,5786.4565549568,5900.813403869,12251831,12398853342
1748482168,Device: id=0,TX,0,0,0,0,0
1748482169,Device: id=0,RX,0.7243751055153,5864.5328022359,5980.4328191184,12980163,13135924314
1748482169,Device: id=0,TX,0,0,0,0,0
1748482170,Device: id=0,RX,0.7202419156566,5831.086602431,5946.325308936,13704226,13868677082
