,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1024,filter,linux,1,715860.92244746
1,3,1,tx,vpp,1024,filter,linux,1,724472.93154334
2,3,1,tx,vpp,1024,filter,linux,1,722601.13955434
3,3,1,tx,vpp,1024,filter,linux,1,722272.2240933899
4,3,1,tx,vpp,1024,filter,linux,1,722506.47917165
5,3,1,tx,vpp,1024,filter,linux,1,721814.50157332
6,3,1,tx,vpp,1024,filter,linux,1,721913.83516124
7,3,1,tx,vpp,1024,filter,linux,1,716889.27652617
8,3,1,tx,vpp,1024,filter,linux,1,716036.46941597
9,3,1,tx,vpp,1024,filter,linux,1,721420.5858106901
10,3,1,tx,vpp,1024,filter,linux,1,716841.7322399099
11,3,1,tx,vpp,1024,filter,linux,1,719181.6738202999
12,3,1,tx,vpp,1024,filter,linux,1,717123.28120057
13,3,1,tx,vpp,1024,filter,linux,1,725875.72575192
14,3,1,tx,vpp,1024,filter,linux,1,719199.86335837
15,3,1,tx,vpp,1024,filter,linux,1,719319.25859712
16,3,1,tx,vpp,1024,filter,linux,1,723386.7967953001
17,3,1,tx,vpp,1024,filter,linux,1,719493.79643884
18,3,1,tx,vpp,1024,filter,linux,1,717298.21463697
19,3,1,tx,vpp,1024,filter,linux,1,717726.2111492399
20,3,1,tx,vpp,1024,filter,linux,1,716949.4445570899
21,3,1,tx,vpp,1024,filter,linux,1,727830.46107354
22,3,1,tx,vpp,1024,filter,linux,1,721892.16788976
23,3,1,tx,vpp,1024,filter,linux,1,731736.05814371
24,3,1,tx,vpp,1024,filter,linux,1,717603.36458509
25,3,1,tx,vpp,1024,filter,linux,1,722674.7491938
26,3,1,tx,vpp,1024,filter,linux,1,719181.9021748101
27,3,1,tx,vpp,1024,filter,linux,1,723196.0477117901
28,3,1,tx,vpp,1024,filter,linux,1,714271.59506588
29,3,1,tx,vpp,1024,filter,linux,1,727147.42492201
30,3,1,tx,vpp,1024,filter,linux,1,719850.18712175
31,3,1,tx,vpp,1024,filter,linux,1,719774.48717254
32,3,1,tx,vpp,1024,filter,linux,1,723224.24710544
33,3,1,tx,vpp,1024,filter,linux,1,722251.70250628
34,3,1,tx,vpp,1024,filter,linux,1,721362.73617311
35,3,1,tx,vpp,1024,filter,linux,1,722527.60104406
36,3,1,tx,vpp,1024,filter,linux,1,724618.8947823499
37,3,1,tx,vpp,1024,filter,linux,1,723799.75155452
38,3,1,tx,vpp,1024,filter,linux,1,719792.8262437801
39,3,1,tx,vpp,1024,filter,linux,1,721727.89794056
40,3,1,tx,vpp,1024,filter,linux,1,717191.4603567399
41,3,1,tx,vpp,1024,filter,linux,1,724254.78122507
42,3,1,tx,vpp,1024,filter,linux,1,718913.58977522
43,3,1,tx,vpp,1024,filter,linux,1,724938.66484753
44,3,1,tx,vpp,1024,filter,linux,1,719429.67357724
45,3,1,tx,vpp,1024,filter,linux,1,721388.25996242
46,3,1,tx,vpp,1024,filter,linux,1,721017.62771468
47,3,1,tx,vpp,1024,filter,linux,1,720932.19562418
48,3,1,tx,vpp,1024,filter,linux,1,717900.44553033
49,3,1,tx,vpp,1024,filter,linux,1,721760.14936318
50,3,1,tx,vpp,1024,filter,linux,1,720049.41803279
51,3,1,tx,vpp,1024,filter,linux,1,718776.70076993
52,3,1,tx,vpp,1024,filter,linux,1,722960.52734488
53,3,1,tx,vpp,1024,filter,linux,1,726182.6752521901
54,3,1,tx,vpp,1024,filter,linux,1,719810.9707412999
55,3,1,tx,vpp,1024,filter,linux,1,721983.63179041
56,3,1,tx,vpp,1024,filter,linux,1,716733.77708704
57,3,1,tx,vpp,1024,filter,linux,1,724919.08911189
58,3,1,tx,vpp,1024,filter,linux,1,718227.1642276599
59,3,1,tx,vpp,1024,filter,linux,1,718899.11498758
60,3,1,tx,vpp,1024,filter,linux,1,718599.59630101
61,3,1,tx,vpp,1024,filter,linux,1,723061.5059227899
62,3,1,tx,vpp,1024,filter,linux,1,715720.39624137
63,3,1,tx,vpp,1024,filter,linux,1,719358.6788815099
64,3,1,tx,vpp,1024,filter,linux,1,720092.1639272601
65,3,1,tx,vpp,1024,filter,linux,1,721497.87106853
66,3,1,tx,vpp,1024,filter,linux,1,720741.45757453
67,3,1,tx,vpp,1024,filter,linux,1,721739.67829002
68,3,1,tx,vpp,1024,filter,linux,1,721013.32589418
69,3,1,tx,vpp,1024,filter,linux,1,722893.91494009
