/tmp/linux.click:26: While initializing 'fd :: FromDevice':
  warning: ens7: no IPv4 address assigned
Startup trace (nsec): main: 10721462573
Startup trace (nsec): init done: 10732019574
Number of packets sent : 825600
Number of packets sent : 714885.685885
Number of packets sent : 726507.462687
Number of packets sent : 725244.76918
Number of packets sent : 725412.160478
Number of packets sent : 728088.552054
Number of packets sent : 730161.097257
Number of packets sent : 729354.903079
Number of packets sent : 729967.814371
Number of packets sent : 730649.883553
Number of packets sent : 730650.49416
Number of packets sent : 731540.89135
Number of packets sent : 731921.617574
Number of packets sent : 731229.835612
Number of packets sent : 731505.278927
Number of packets sent : 731689.239579
Number of packets sent : 731208.002996
Number of packets sent : 731483.518421
Number of packets sent : 731626.082131
Number of packets sent : 730869.716088
Number of packets sent : 731033.016983
Number of packets sent : 731109.176538
Number of packets sent : 731424.439197
Number of packets sent : 730993.223873
Number of packets sent : 731016.651403
Number of packets sent : 731476.540644
Number of packets sent : 731067.594051
Number of packets sent : 731285.534545
Number of packets sent : 731539.271313
Number of packets sent : 731492.523429
Number of packets sent : 731447.475353
Number of packets sent : 731604.918773
Number of packets sent : 731873.376218
Number of packets sent : 731961.512839
Number of packets sent : 732045.70169
Number of packets sent : 732267.237687
Number of packets sent : 732372.67529
Number of packets sent : 732421.865716
Number of packets sent : 732304.186609
Number of packets sent : 732242.120638
Number of packets sent : 732242.211507
Number of packets sent : 732279.011383
Number of packets sent : 732231.184715
Number of packets sent : 732167.592442
Number of packets sent : 732072.681021
Number of packets sent : 731956.960114
Number of packets sent : 731892.369862
Number of packets sent : 731941.015118
Number of packets sent : 731965.291803
Number of packets sent : 731978.910871
Number of packets sent : 731983.409954
Number of packets sent : 731768.630832
Number of packets sent : 731747.246834
Number of packets sent : 731806.943109
Number of packets sent : 731807.129241
Number of packets sent : 731863.679314
Number of packets sent : 731882.711973
Number of packets sent : 731992.1975
Number of packets sent : 732016.57649
Number of packets sent : 732124.640038
Number of packets sent : 732203.31812
Number of packets sent : 732318.145326
Number of packets sent : 732378.68945
Number of packets sent : 732364.299765
Number of packets sent : 732373.883441
Number of packets sent : 732423.257888
Number of packets sent : 732472.18184
Number of packets sent : 732495.830661
Number of packets sent : 732525.669856
Number of packets sent : 732521.010473
Number of packets sent : 732522.009795
Number of packets sent : 732578.042738
Number of packets sent : 732605.083428
Number of packets sent : 732610.755898
Number of packets sent : 732603.519767
Number of packets sent : 732584.99467
Number of packets sent : 732565.623356
Number of packets sent : 732550.979349
Number of packets sent : 732472.149255
Number of packets sent : 732468.756721
Number of packets sent : 732490.142675
Number of packets sent : 732434.083562
AUTOTEST_DONE
