Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748485800,Device: id=0,RX,0.2036619057534,2453.718640517,2486.3045454376,204762,308371572
1748485800,Device: id=0,TX,0,0,0,0,0
1748485801,Device: id=0,RX,0.20711407211207,2495.2983369657,2528.4365885037,412638,621431322
1748485801,Device: id=0,TX,0,0,0,0,0
1748485802,Device: id=0,RX,0.20757128103189,2500.8307784354,2534.0421834005,621308,935689848
1748485802,Device: id=0,TX,0,0,0,0,0
1748485803,Device: id=0,RX,0.20451779519754,2464.0184114317,2496.7412586633,826899,1245308388
1748485803,Device: id=0,TX,0,0,0,0,0
1748485804,Device: id=0,RX,0.20682841782691,2491.8927305399,2524.9852773922,1034966,1558660302
1748485804,Device: id=0,TX,0,0,0,0,0
1748485805,Device: id=0,RX,0.207792944143,2503.4774065959,2536.7242776588,1243861,1873254666
1748485805,Device: id=0,TX,0,0,0,0,0
1748485806,Device: id=0,RX,0.20217290157601,2435.7671343885,2468.1147986406,1447117,2179356696
1748485806,Device: id=0,TX,0,0,0,0,0
1748485807,Device: id=0,RX,0.20549545463748,2475.8212225104,2508.7004952524,1653692,2490460152
1748485807,Device: id=0,TX,0,0,0,0,0
1748485808,Device: id=0,RX,0.20668844359462,2490.182368428,2523.2525194031,1861651,2803646406
1748485808,Device: id=0,TX,0,0,0,0,0
1748485809,Device: id=0,RX,0.20148964902704,2427.5353076733,2459.7736515176,2064220,3108713814
1748485809,Device: id=0,TX,0,0,0,0,0
1748485810,Device: id=0,RX,0.20634420338607,2486.0469474455,2519.0620199872,2271648,3421101888
1748485810,Device: id=0,TX,0,0,0,0,0
1748485811,Device: id=0,RX,0.20675903632177,2491.0208851883,2524.1023309997,2479504,3734131518
1748485811,Device: id=0,TX,0,0,0,0,0
1748485812,Device: id=0,RX,0.20203318093015,2434.0867238054,2466.4120327542,2682609,4040006512
1748485812,Device: id=0,TX,0,0,0,0,0
1748485813,Device: id=0,RX,0.20521194905685,2472.4055416424,2505.2394534915,2888996,4350826840
1748485813,Device: id=0,TX,0,0,0,0,0
1748485814,Device: id=0,RX,0.2051290199384,2471.3944322178,2504.215075408,3095354,4661601988
1748485814,Device: id=0,TX,0,0,0,0,0
