,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1518,ids,linux,1,207354.08535475
1,3,1,tx,vpp,1518,ids,linux,1,207953.26013171
2,3,1,tx,vpp,1518,ids,linux,1,206820.80261666
3,3,1,tx,vpp,1518,ids,linux,1,206272.28976147
4,3,1,tx,vpp,1518,ids,linux,1,205993.71888613
5,3,1,tx,vpp,1518,ids,linux,1,206621.40475782
6,3,1,tx,vpp,1518,ids,linux,1,208163.41657083
7,3,1,tx,vpp,1518,ids,linux,1,207348.23478079002
8,3,1,tx,vpp,1518,ids,linux,1,206690.28970999
9,3,1,tx,vpp,1518,ids,linux,1,209331.95104891
10,3,1,tx,vpp,1518,ids,linux,1,207471.30934593998
11,3,1,tx,vpp,1518,ids,linux,1,208185.10538628
12,3,1,tx,vpp,1518,ids,linux,1,207825.29025879002
13,3,1,tx,vpp,1518,ids,linux,1,207876.02599189
14,3,1,tx,vpp,1518,ids,linux,1,208162.26342329
15,3,1,tx,vpp,1518,ids,linux,1,208124.21000163
16,3,1,tx,vpp,1518,ids,linux,1,207512.97796547998
17,3,1,tx,vpp,1518,ids,linux,1,208783.09133360002
18,3,1,tx,vpp,1518,ids,linux,1,209948.4474784
19,3,1,tx,vpp,1518,ids,linux,1,208552.84285716
20,3,1,tx,vpp,1518,ids,linux,1,207013.04342713
21,3,1,tx,vpp,1518,ids,linux,1,207755.04151471
22,3,1,tx,vpp,1518,ids,linux,1,207604.08639167
23,3,1,tx,vpp,1518,ids,linux,1,207373.73750550998
24,3,1,tx,vpp,1518,ids,linux,1,206834.12777789
25,3,1,tx,vpp,1518,ids,linux,1,206353.04123223998
26,3,1,tx,vpp,1518,ids,linux,1,207958.55546717
27,3,1,tx,vpp,1518,ids,linux,1,206970.73688866
28,3,1,tx,vpp,1518,ids,linux,1,206752.36227709003
29,3,1,tx,vpp,1518,ids,linux,1,206073.51620915
30,3,1,tx,vpp,1518,ids,linux,1,206880.47148217002
31,3,1,tx,vpp,1518,ids,linux,1,207831.38826599
32,3,1,tx,vpp,1518,ids,linux,1,207612.75312201
33,3,1,tx,vpp,1518,ids,linux,1,208537.75506082
34,3,1,tx,vpp,1518,ids,linux,1,206711.57086237
35,3,1,tx,vpp,1518,ids,linux,1,206716.08433674
36,3,1,tx,vpp,1518,ids,linux,1,208767.442965
37,3,1,tx,vpp,1518,ids,linux,1,207678.02969744
38,3,1,tx,vpp,1518,ids,linux,1,207783.20554876002
39,3,1,tx,vpp,1518,ids,linux,1,207032.7207965
40,3,1,tx,vpp,1518,ids,linux,1,208775.90019246002
41,3,1,tx,vpp,1518,ids,linux,1,207603.19761601
42,3,1,tx,vpp,1518,ids,linux,1,207477.16078809
43,3,1,tx,vpp,1518,ids,linux,1,207040.86905173998
44,3,1,tx,vpp,1518,ids,linux,1,208259.14631848
45,3,1,tx,vpp,1518,ids,linux,1,207690.11404562
46,3,1,tx,vpp,1518,ids,linux,1,210062.51613124998
47,3,1,tx,vpp,1518,ids,linux,1,207551.84878476
48,3,1,tx,vpp,1518,ids,linux,1,207704.42036542998
49,3,1,tx,vpp,1518,ids,linux,1,207700.61860976
50,3,1,tx,vpp,1518,ids,linux,1,206863.86557555
51,3,1,tx,vpp,1518,ids,linux,1,209424.23422124
52,3,1,tx,vpp,1518,ids,linux,1,208058.45975938
53,3,1,tx,vpp,1518,ids,linux,1,206835.52339301
54,3,1,tx,vpp,1518,ids,linux,1,206626.3362762
55,3,1,tx,vpp,1518,ids,linux,1,204923.53029722
56,3,1,tx,vpp,1518,ids,linux,1,207607.10074845
57,3,1,tx,vpp,1518,ids,linux,1,207710.28972979
58,3,1,tx,vpp,1518,ids,linux,1,207169.59645231
59,3,1,tx,vpp,1518,ids,linux,1,207130.26605401
60,3,1,tx,vpp,1518,ids,linux,1,206894.23886225
61,3,1,tx,vpp,1518,ids,linux,1,206987.58813653002
62,3,1,tx,vpp,1518,ids,linux,1,206986.82578064
63,3,1,tx,vpp,1518,ids,linux,1,206653.83216862
64,3,1,tx,vpp,1518,ids,linux,1,205960.04743143002
65,3,1,tx,vpp,1518,ids,linux,1,206496.70964974002
66,3,1,tx,vpp,1518,ids,linux,1,207649.12658762
67,3,1,tx,vpp,1518,ids,linux,1,208494.62816437
68,3,1,tx,vpp,1518,ids,linux,1,208035.63992572998
69,3,1,tx,vpp,1518,ids,linux,1,207564.91008546
