,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1518,empty,uk,0,819149.34439897
1,3,1,tx,vpp,1518,empty,uk,0,819151.3976623301
2,3,1,tx,vpp,1518,empty,uk,0,819146.89988667
3,3,1,tx,vpp,1518,empty,uk,0,819156.2725310399
4,3,1,tx,vpp,1518,empty,uk,0,819143.88264822
5,3,1,tx,vpp,1518,empty,uk,0,819163.6544688699
6,3,1,tx,vpp,1518,empty,uk,0,819131.6711284
7,3,1,tx,vpp,1518,empty,uk,0,819148.74485095
8,3,1,tx,vpp,1518,empty,uk,0,818840.15643442
9,3,1,tx,vpp,1518,empty,uk,0,819147.7814759
10,3,1,tx,vpp,1518,empty,uk,0,819156.34622203
11,3,1,tx,vpp,1518,empty,uk,0,819141.1685031
12,3,1,tx,vpp,1518,empty,uk,0,819147.86163669
13,3,1,tx,vpp,1518,empty,uk,0,819148.94786826
14,3,1,tx,vpp,1518,empty,uk,0,819148.7813909501
15,3,1,tx,vpp,1518,empty,uk,0,819149.9830164199
16,3,1,tx,vpp,1518,empty,uk,0,819148.48432731
17,3,1,tx,vpp,1518,empty,uk,0,819160.47415727
18,3,1,tx,vpp,1518,empty,uk,0,818652.2250791601
19,3,1,tx,vpp,1518,empty,uk,0,819149.3103232799
20,3,1,tx,vpp,1518,empty,uk,0,819158.70074498
21,3,1,tx,vpp,1518,empty,uk,0,819139.12936183
22,3,1,tx,vpp,1518,empty,uk,0,819148.75753333
23,3,1,tx,vpp,1518,empty,uk,0,819149.33056905
24,3,1,tx,vpp,1518,empty,uk,0,819151.5141868499
25,3,1,tx,vpp,1518,empty,uk,0,819147.06380865
26,3,1,tx,vpp,1518,empty,uk,0,819149.74160014
27,3,1,tx,vpp,1518,empty,uk,0,819148.14828189
28,3,1,tx,vpp,1518,empty,uk,0,818671.1156663799
29,3,1,tx,vpp,1518,empty,uk,0,819148.9952214999
30,3,1,tx,vpp,1518,empty,uk,0,819149.5285593901
31,3,1,tx,vpp,1518,empty,uk,0,819148.74448168
32,3,1,tx,vpp,1518,empty,uk,0,819149.0893260101
33,3,1,tx,vpp,1518,empty,uk,0,819152.3512898
34,3,1,tx,vpp,1518,empty,uk,0,819145.7577939
35,3,1,tx,vpp,1518,empty,uk,0,819148.97619448
36,3,1,tx,vpp,1518,empty,uk,0,819148.42634119
37,3,1,tx,vpp,1518,empty,uk,0,819149.1998249
38,3,1,tx,vpp,1518,empty,uk,0,818672.21225094
39,3,1,tx,vpp,1518,empty,uk,0,819148.6685911899
40,3,1,tx,vpp,1518,empty,uk,0,819148.52365403
41,3,1,tx,vpp,1518,empty,uk,0,819148.85254696
42,3,1,tx,vpp,1518,empty,uk,0,819149.58502383
43,3,1,tx,vpp,1518,empty,uk,0,819148.80306769
44,3,1,tx,vpp,1518,empty,uk,0,819148.95606571
45,3,1,tx,vpp,1518,empty,uk,0,819149.33226147
46,3,1,tx,vpp,1518,empty,uk,0,819148.5814672101
47,3,1,tx,vpp,1518,empty,uk,0,819149.3221597001
48,3,1,tx,vpp,1518,empty,uk,0,819148.61751876
49,3,1,tx,vpp,1518,empty,uk,0,818175.56100636
50,3,1,tx,vpp,1518,empty,uk,0,819148.82936796
51,3,1,tx,vpp,1518,empty,uk,0,819148.7544977099
52,3,1,tx,vpp,1518,empty,uk,0,819149.16001422
53,3,1,tx,vpp,1518,empty,uk,0,819148.58844742
54,3,1,tx,vpp,1518,empty,uk,0,819149.21140257
55,3,1,tx,vpp,1518,empty,uk,0,819149.41838982
56,3,1,tx,vpp,1518,empty,uk,0,819148.62471699
57,3,1,tx,vpp,1518,empty,uk,0,819149.11099791
58,3,1,tx,vpp,1518,empty,uk,0,819148.3395261599
59,3,1,tx,vpp,1518,empty,uk,0,818178.0629685799
60,3,1,tx,vpp,1518,empty,uk,0,819149.4050969799
61,3,1,tx,vpp,1518,empty,uk,0,819149.14450951
62,3,1,tx,vpp,1518,empty,uk,0,819148.7062990101
63,3,1,tx,vpp,1518,empty,uk,0,819148.2484574501
64,3,1,tx,vpp,1518,empty,uk,0,819149.34037347
65,3,1,tx,vpp,1518,empty,uk,0,819153.9173694
66,3,1,tx,vpp,1518,empty,uk,0,819143.9870421699
67,3,1,tx,vpp,1518,empty,uk,0,819148.8807224199
68,3,1,tx,vpp,1518,empty,uk,0,819148.5995957401
69,3,1,tx,vpp,1518,empty,uk,0,819149.42446107
