Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748476268,Device: id=0,RX,1.2874662753333,659.18324190955,865.17784596288,1295287,82898432
1748476268,Device: id=0,TX,0,0,0,0,0
1748476269,Device: id=0,RX,1.2900235541576,660.4920597287,866.89582839392,2589876,165752128
1748476269,Device: id=0,TX,0,0,0,0,0
1748476270,Device: id=0,RX,1.2904869222672,660.72879488928,867.20670245203,3887175,248779200
1748476270,Device: id=0,TX,0,0,0,0,0
1748476271,Device: id=0,RX,1.2892581719651,660.10069331669,866.38200083111,5183343,331734016
1748476271,Device: id=0,TX,0,0,0,0,0
1748476272,Device: id=0,RX,1.28706083782,658.97565824417,864.90539229537,6477277,414545856
1748476272,Device: id=0,TX,0,0,0,0,0
1748476273,Device: id=0,RX,1.2899215057369,660.43879337083,866.82623428873,7775354,497622656
1748476273,Device: id=0,TX,0,0,0,0,0
1748476274,Device: id=0,RX,1.2915829413077,661.29046594955,867.94373655878,9073801,580723264
1748476274,Device: id=0,TX,0,0,0,0,0
1748476275,Device: id=0,RX,1.2879506704876,659.43023401735,865.50234129536,10368650,663593536
1748476275,Device: id=0,TX,0,0,0,0,0
1748476276,Device: id=0,RX,1.2845070614721,657.66863412875,863.18976396429,11659897,746233472
1748476276,Device: id=0,TX,0,0,0,0,0
1748476277,Device: id=0,RX,1.2913425431106,661.16687312098,867.78168001868,12958974,829374336
1748476277,Device: id=0,TX,0,0,0,0,0
1748476278,Device: id=0,RX,1.2892752577149,660.11249721839,866.39653845277,14255023,912321920
1748476278,Device: id=0,TX,0,0,0,0,0
1748476279,Device: id=0,RX,1.2891935173056,660.06300713614,866.33396990503,15551266,995280960
1748476279,Device: id=0,TX,0,0,0,0,0
1748476280,Device: id=0,RX,1.2922759399881,661.64579025297,868.40994065107,16851212,1078477568
1748476280,Device: id=0,TX,0,0,0,0,0
1748476281,Device: id=0,RX,1.290751516762,660.86426725613,867.38450993805,18148740,1161519296
1748476281,Device: id=0,TX,0,0,0,0,0
1748476282,Device: id=0,RX,1.286811232257,658.84735091559,864.73714807671,19442312,1244307904
1748476282,Device: id=0,TX,0,0,0,0,0
1748476283,Device: id=0,RX,1.2899586505345,660.458319911,866.85170399652,20739459,1327325248
1748476283,Device: id=0,TX,0,0,0,0,0
1748476284,Device: id=0,RX,1.2926421861929,661.8338179825,868.65656777337,22038888,1410488832
1748476284,Device: id=0,TX,0,0,0,0,0
1748476285,Device: id=0,RX,1.2913734696174,661.18321644411,867.8029715829,23337926,1493627264
1748476285,Device: id=0,TX,0,0,0,0,0
1748476286,Device: id=0,RX,1.2871730040906,659.03206879762,864.97974945212,24631931,1576443520
