Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748482534,Device: id=0,RX,1.0117444745286,8191.0993707356,8352.9784866602,1017213,1029421580
1748482534,Device: id=0,TX,0,0,0,0,0
1748482535,Device: id=0,RX,1.1614842517077,9403.3845728598,9589.222053133,2182290,2208480516
1748482535,Device: id=0,TX,0,0,0,0,0
1748482536,Device: id=0,RX,1.1610399275557,9399.8275730821,9585.593961491,3349491,3389694000
1748482536,Device: id=0,TX,0,0,0,0,0
1748482537,Device: id=0,RX,1.1571054620982,9367.8694687503,9553.006342686,4513159,4567318932
1748482537,Device: id=0,TX,0,0,0,0,0
1748482538,Device: id=0,RX,1.1547719415251,9349.0255853168,9533.7890959608,5674058,5742147708
1748482538,Device: id=0,TX,0,0,0,0,0
1748482539,Device: id=0,RX,1.1559743575784,9358.7844937071,9543.7403909197,6837017,6919064240
1748482539,Device: id=0,TX,0,0,0,0,0
1748482540,Device: id=0,RX,1.1553235610218,9353.4834451616,9538.3352149251,7998591,8094575104
1748482540,Device: id=0,TX,0,0,0,0,0
1748482541,Device: id=0,RX,1.1696133931657,9469.1900310697,9656.3281739762,9174348,9284441188
1748482541,Device: id=0,TX,0,0,0,0,0
1748482542,Device: id=0,RX,1.1558061899731,9357.4069140219,9542.3359044176,10337500,10461551012
1748482542,Device: id=0,TX,0,0,0,0,0
1748482543,Device: id=0,RX,1.1585322402263,9379.4770168722,9564.8421753084,11502179,11640206160
1748482543,Device: id=0,TX,0,0,0,0,0
1748482544,Device: id=0,RX,1.1591190527745,9384.2278512626,9569.6868997065,12667388,12819397668
1748482544,Device: id=0,TX,0,0,0,0,0
1748482545,Device: id=0,RX,1.1624388939889,9411.1052857341,9597.0955087723,13835994,14002026940
1748482545,Device: id=0,TX,0,0,0,0,0
1748482546,Device: id=0,RX,1.1597861065327,9389.6202651991,9575.1860422443,15001931,15181954172
1748482546,Device: id=0,TX,0,0,0,0,0
1748482547,Device: id=0,RX,1.1590506324589,9383.6900277629,9569.1381289563,16167071,16361077876
1748482547,Device: id=0,TX,0,0,0,0,0
1748482548,Device: id=0,RX,1.1614819918343,9403.4145818086,9589.2517005021,17334653,17542677944
1748482548,Device: id=0,TX,0,0,0,0,0
1748482549,Device: id=0,RX,1.1567762398414,9365.2040944204,9550.288292795,18498177,18720157148
1748482549,Device: id=0,TX,0,0,0,0,0
1748482550,Device: id=0,RX,1.1551419678982,9352.0213192427,9536.8440341064,19659507,19895422096
1748482550,Device: id=0,TX,0,0,0,0,0
1748482551,Device: id=0,RX,1.1641011242132,9424.6351773292,9610.8913572033,20829845,21079813260
1748482551,Device: id=0,TX,0,0,0,0,0
1748482552,Device: id=0,RX,1.1572108694995,9368.7067882609,9553.8605273809,21994292,22258224516
1748482552,Device: id=0,TX,0,0,0,0,0
1748482553,Device: id=0,RX,1.1627175153929,9413.369058317,9599.4038607798,23163117,23441076428
1748482553,Device: id=0,TX,0,0,0,0,0
1748482554,Device: id=0,RX,1.1628386279659,9414.3334783178,9600.3876587924,24332064,24624049780
1748482554,Device: id=0,TX,0,0,0,0,0
