,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,64,filter,uk,1,1067553.8380189
1,3,1,tx,vpp,64,filter,uk,1,1247749.4815331001
2,3,1,tx,vpp,64,filter,uk,1,1245753.8494944999
3,3,1,tx,vpp,64,filter,uk,1,1248939.1433218
4,3,1,tx,vpp,64,filter,uk,1,1251712.3788595
5,3,1,tx,vpp,64,filter,uk,1,1247610.7073982
6,3,1,tx,vpp,64,filter,uk,1,1252760.1206707
7,3,1,tx,vpp,64,filter,uk,1,1250751.5694901
8,3,1,tx,vpp,64,filter,uk,1,1252595.0358334
9,3,1,tx,vpp,64,filter,uk,1,1251020.9468196002
10,3,1,tx,vpp,64,filter,uk,1,1248015.7609556
11,3,1,tx,vpp,64,filter,uk,1,1252560.5940659
12,3,1,tx,vpp,64,filter,uk,1,1244876.2657483
13,3,1,tx,vpp,64,filter,uk,1,1248574.3201734
14,3,1,tx,vpp,64,filter,uk,1,1248048.5520636
15,3,1,tx,vpp,64,filter,uk,1,1247221.7876064
16,3,1,tx,vpp,64,filter,uk,1,1253225.4930513
17,3,1,tx,vpp,64,filter,uk,1,1250855.7244958
18,3,1,tx,vpp,64,filter,uk,1,1250678.1221015
19,3,1,tx,vpp,64,filter,uk,1,1251831.834661
20,3,1,tx,vpp,64,filter,uk,1,1256681.6565231
21,3,1,tx,vpp,64,filter,uk,1,1254112.2918139
22,3,1,tx,vpp,64,filter,uk,1,1253394.4052992002
23,3,1,tx,vpp,64,filter,uk,1,1255060.5837079
24,3,1,tx,vpp,64,filter,uk,1,1247253.8091725002
25,3,1,tx,vpp,64,filter,uk,1,1245769.3047952
26,3,1,tx,vpp,64,filter,uk,1,1258247.0801412
27,3,1,tx,vpp,64,filter,uk,1,1252920.1178725
28,3,1,tx,vpp,64,filter,uk,1,1255825.2885296
29,3,1,tx,vpp,64,filter,uk,1,1251823.4036977
30,3,1,tx,vpp,64,filter,uk,1,1254342.1251597998
31,3,1,tx,vpp,64,filter,uk,1,1249905.6806368001
32,3,1,tx,vpp,64,filter,uk,1,1251947.3064295
33,3,1,tx,vpp,64,filter,uk,1,1251919.3332331
34,3,1,tx,vpp,64,filter,uk,1,1243931.7283655
35,3,1,tx,vpp,64,filter,uk,1,1247618.3002236001
36,3,1,tx,vpp,64,filter,uk,1,1253203.9224638
37,3,1,tx,vpp,64,filter,uk,1,1250057.1840487001
38,3,1,tx,vpp,64,filter,uk,1,1253727.9020564
39,3,1,tx,vpp,64,filter,uk,1,1252742.6453416
40,3,1,tx,vpp,64,filter,uk,1,1251285.4228014
41,3,1,tx,vpp,64,filter,uk,1,1248165.1060943
42,3,1,tx,vpp,64,filter,uk,1,1247984.3982856001
43,3,1,tx,vpp,64,filter,uk,1,1254803.9144758
44,3,1,tx,vpp,64,filter,uk,1,1249634.1693964
45,3,1,tx,vpp,64,filter,uk,1,1256328.1344398002
46,3,1,tx,vpp,64,filter,uk,1,1255612.4501698
47,3,1,tx,vpp,64,filter,uk,1,1255303.7128622
48,3,1,tx,vpp,64,filter,uk,1,1253759.5971056
49,3,1,tx,vpp,64,filter,uk,1,1253593.2491212
50,3,1,tx,vpp,64,filter,uk,1,1253060.0278399999
51,3,1,tx,vpp,64,filter,uk,1,1253247.8457324
52,3,1,tx,vpp,64,filter,uk,1,1248101.2188202
53,3,1,tx,vpp,64,filter,uk,1,1245099.8905318
54,3,1,tx,vpp,64,filter,uk,1,1248616.623347
55,3,1,tx,vpp,64,filter,uk,1,1245913.9522648
56,3,1,tx,vpp,64,filter,uk,1,1259511.3327651
57,3,1,tx,vpp,64,filter,uk,1,1251663.8504416998
58,3,1,tx,vpp,64,filter,uk,1,1250783.6078493
59,3,1,tx,vpp,64,filter,uk,1,1256477.5478451
60,3,1,tx,vpp,64,filter,uk,1,1258799.7651327
61,3,1,tx,vpp,64,filter,uk,1,1249245.4784744
62,3,1,tx,vpp,64,filter,uk,1,1261629.4532743
63,3,1,tx,vpp,64,filter,uk,1,1249861.5359103999
64,3,1,tx,vpp,64,filter,uk,1,1248624.674819
65,3,1,tx,vpp,64,filter,uk,1,1252944.0323599
66,3,1,tx,vpp,64,filter,uk,1,1255861.4042273
67,3,1,tx,vpp,64,filter,uk,1,1251651.5182586
68,3,1,tx,vpp,64,filter,uk,1,1253141.1815774
69,3,1,tx,vpp,64,filter,uk,1,1254938.0383088
