Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748483446,Device: id=0,RX,0.19187181520595,1553.3861631854,1584.0856536184,192909,195223908
1748483446,Device: id=0,TX,0,0,0,0,0
1748483447,Device: id=0,RX,0.19148621146703,1550.2723680371,1580.9101618718,384806,389423672
1748483447,Device: id=0,TX,0,0,0,0,0
1748483448,Device: id=0,RX,0.19140284567224,1549.6054922684,1580.2299475759,577214,584141580
1748483448,Device: id=0,TX,0,0,0,0,0
1748483449,Device: id=0,RX,0.19153855786743,1550.6881108129,1581.3342800717,769759,778996108
1748483449,Device: id=0,TX,0,0,0,0,0
1748483450,Device: id=0,RX,0.19223733711249,1556.3615345466,1587.1195084846,963016,974573204
1748483450,Device: id=0,TX,0,0,0,0,0
1748483451,Device: id=0,RX,0.19229423517057,1556.806080144,1587.5731577713,1156462,1170339544
1748483451,Device: id=0,TX,0,0,0,0,0
1748483452,Device: id=0,RX,0.19215362864652,1555.6757775222,1586.4203581056,1349635,1365830620
1748483452,Device: id=0,TX,0,0,0,0,0
1748483453,Device: id=0,RX,0.19262835035925,1559.5191245085,1590.3396605659,1543275,1561794300
1748483453,Device: id=0,TX,0,0,0,0,0
1748483454,Device: id=0,RX,0.19218041700965,1555.8926561101,1586.6415228316,1736485,1757322820
1748483454,Device: id=0,TX,0,0,0,0,0
1748483455,Device: id=0,RX,0.19210172127953,1555.2635832483,1585.999858653,1929738,1952895868
1748483455,Device: id=0,TX,0,0,0,0,0
1748483456,Device: id=0,RX,0.19206315357101,1554.9513437562,1585.6814483275,2122840,2148316104
1748483456,Device: id=0,TX,0,0,0,0,0
1748483457,Device: id=0,RX,0.19216164108896,1555.7245421975,1586.4704047717,2316051,2343843612
1748483457,Device: id=0,TX,0,0,0,0,0
1748483458,Device: id=0,RX,0.19218718509527,1555.9474505313,1586.6974001466,2509319,2539430828
1748483458,Device: id=0,TX,0,0,0,0,0
1748483459,Device: id=0,RX,0.19222764196808,1556.2749893736,1587.0314120885,2702577,2735007924
1748483459,Device: id=0,TX,0,0,0,0,0
1748483460,Device: id=0,RX,0.19212004984196,1555.4039235205,1586.1431314953,2895868,2930618416
1748483460,Device: id=0,TX,0,0,0,0,0
1748483461,Device: id=0,RX,0.19255961049784,1558.9626065905,1589.7721442702,3089449,3126522388
1748483461,Device: id=0,TX,0,0,0,0,0
1748483462,Device: id=0,RX,0.19246529646577,1558.2070934777,1589.0015409123,3282935,3322331232
1748483462,Device: id=0,TX,0,0,0,0,0
1748483463,Device: id=0,RX,0.1921646602994,1555.765089784,1586.5114354319,3476109,3517823320
1748483463,Device: id=0,TX,0,0,0,0,0
1748483464,Device: id=0,RX,0.1919772714719,1554.2399357366,1584.9562991721,3669085,3713114020
1748483464,Device: id=0,TX,0,0,0,0,0
1748483465,Device: id=0,RX,0.19227760800209,1556.6795143849,1587.4439316652,3862423,3908772076
1748483465,Device: id=0,TX,0,0,0,0,0
1748483466,Device: id=0,RX,0.19220080045948,1556.0576805199,1586.8098085935,4055856,4104526272
1748483466,Device: id=0,TX,0,0,0,0,0
1748483467,Device: id=0,RX,0.19186536954881,1553.3420318672,1584.040490995,4248729,4299713748
1748483467,Device: id=0,TX,0,0,0,0,0
1748483468,Device: id=0,RX,0.19200853371628,1554.501088967,1585.2224543616,4441736,4495036832
1748483468,Device: id=0,TX,0,0,0,0,0
1748483469,Device: id=0,RX,0.19242916276231,1557.9065017237,1588.6951677657,4635176,4690798112
1748483469,Device: id=0,TX,0,0,0,0,0
1748483470,Device: id=0,RX,0.19221716097272,1556.1981893408,1586.9529350964,4828393,4886334728
1748483470,Device: id=0,TX,0,0,0,0,0
1748483471,Device: id=0,RX,0.19218597256801,1555.9295797779,1586.6793353888,5021578,5081836936
1748483471,Device: id=0,TX,0,0,0,0,0
1748483472,Device: id=0,RX,0.1921259922329,1555.4520331175,1586.1921918748,5214713,5277289556
1748483472,Device: id=0,TX,0,0,0,0,0
1748483473,Device: id=0,RX,0.19199728608014,1554.4100281048,1585.1295938776,5407709,5472601508
1748483473,Device: id=0,TX,0,0,0,0,0
1748483474,Device: id=0,RX,0.19204363162435,1554.7852416307,1585.5122226906,5600802,5668011624
1748483474,Device: id=0,TX,0,0,0,0,0
1748483475,Device: id=0,RX,0.19234617348398,1557.2346205263,1588.0100082838,5794148,5863677776
1748483475,Device: id=0,TX,0,0,0,0,0
1748483476,Device: id=0,RX,0.19193881496871,1553.9366459867,1584.6468563817,5987166,6059011992
1748483476,Device: id=0,TX,0,0,0,0,0
1748483477,Device: id=0,RX,0.19207922994812,1555.0814993632,1585.8141761549,6180254,6254418060
1748483477,Device: id=0,TX,0,0,0,0,0
1748483478,Device: id=0,RX,0.19230099364221,1556.8688445273,1587.6370035101,6373565,6450048792
1748483478,Device: id=0,TX,0,0,0,0,0
1748483479,Device: id=0,RX,0.19201573123937,1554.5593601139,1585.2818771122,6566620,6645420452
1748483479,Device: id=0,TX,0,0,0,0,0
1748483480,Device: id=0,RX,0.19243586003525,1557.9526750287,1588.7424126344,6760208,6841330496
1748483480,Device: id=0,TX,0,0,0,0,0
1748483481,Device: id=0,RX,0.1921155969458,1555.3678728732,1586.1063683846,6953323,7036762876
1748483481,Device: id=0,TX,0,0,0,0,0
1748483482,Device: id=0,RX,0.19210632026088,1555.300822545,1586.0378337867,7146438,7232196268
1748483482,Device: id=0,TX,0,0,0,0,0
1748483483,Device: id=0,RX,0.19240439731998,1557.6979461717,1588.4826497429,7339833,7427910996
1748483483,Device: id=0,TX,0,0,0,0,0
1748483484,Device: id=0,RX,0.19214185759571,1555.5885332133,1586.3312304286,7532974,7623370700
1748483484,Device: id=0,TX,0,0,0,0,0
1748483485,Device: id=0,RX,0.19212969335351,1555.4739441151,1586.2146950516,7726123,7818836476
1748483485,Device: id=0,TX,0,0,0,0,0
1748483486,Device: id=0,RX,0.1922787778271,1556.6889852882,1587.4535897405,7919746,8014782952
1748483486,Device: id=0,TX,0,0,0,0,0
1748483487,Device: id=0,RX,0.19251895429257,1558.6334539527,1589.4364866395,8113276,8210635312
1748483487,Device: id=0,TX,0,0,0,0,0
1748483488,Device: id=0,RX,0.19227224633958,1556.6361063652,1587.3996657796,8306558,8406236696
1748483488,Device: id=0,TX,0,0,0,0,0
1748483489,Device: id=0,RX,0.19212160291903,1555.4245513359,1586.1640078029,8499679,8601676160
1748483489,Device: id=0,TX,0,0,0,0,0
1748483490,Device: id=0,RX,0.19229872423985,1556.8504714459,1587.6182673242,8692998,8797314988
1748483490,Device: id=0,TX,0,0,0,0,0
1748483491,Device: id=0,RX,0.19174916057349,1552.3931502915,1583.0730159833,8885754,8992383048
1748483491,Device: id=0,TX,0,0,0,0,0
1748483492,Device: id=0,RX,0.19222304571432,1556.2458317885,1587.0015191028,9078987,9187935856
1748483492,Device: id=0,TX,0,0,0,0,0
1748483493,Device: id=0,RX,0.1926642656728,1559.8018415951,1590.6281241027,9272673,9383945076
1748483493,Device: id=0,TX,0,0,0,0,0
1748483494,Device: id=0,RX,0.19264484604989,1559.6526736199,1590.4758489879,9466330,9579925960
1748483494,Device: id=0,TX,0,0,0,0,0
1748483495,Device: id=0,RX,0.1916275996979,1551.4170471542,1582.0774631059,9658964,9774871568
1748483495,Device: id=0,TX,0,0,0,0,0
1748483496,Device: id=0,RX,0.1919010390841,1553.6308124249,1584.3349786783,9851863,9970085356
1748483496,Device: id=0,TX,0,0,0,0,0
1748483497,Device: id=0,RX,0.19203448853072,1554.7192728489,1585.4447910138,10044906,10165445884
1748483497,Device: id=0,TX,0,0,0,0,0
1748483498,Device: id=0,RX,0.1922049516774,1556.0832346859,1586.8360269543,10238111,10360968332
1748483498,Device: id=0,TX,0,0,0,0,0
1748483499,Device: id=0,RX,0.19145378577763,1550.0098496557,1580.6424553801,10430560,10555726720
1748483499,Device: id=0,TX,0,0,0,0,0
1748483500,Device: id=0,RX,0.19212250589296,1555.4238077094,1586.1634086523,10623763,10751248156
1748483500,Device: id=0,TX,0,0,0,0,0
1748483501,Device: id=0,RX,0.19224775240324,1556.4378034566,1587.1974438412,10817010,10946814120
1748483501,Device: id=0,TX,0,0,0,0,0
1748483502,Device: id=0,RX,0.1920711756527,1555.0082380843,1585.7396261887,11010090,11142211080
1748483502,Device: id=0,TX,0,0,0,0,0
1748483503,Device: id=0,RX,0.19232856643867,1557.0920738875,1587.8646445177,11203419,11337860028
1748483503,Device: id=0,TX,0,0,0,0,0
1748483504,Device: id=0,RX,0.19167879551317,1551.8315284747,1582.5001357568,11396135,11532888620
1748483504,Device: id=0,TX,0,0,0,0,0
