,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1518,ids,uk,2,125616.61861361002
1,3,1,tx,vpp,1518,ids,uk,2,135368.46370731
2,3,1,tx,vpp,1518,ids,uk,2,134702.2571398
3,3,1,tx,vpp,1518,ids,uk,2,135262.55270703998
4,3,1,tx,vpp,1518,ids,uk,2,134886.57867043998
5,3,1,tx,vpp,1518,ids,uk,2,135098.14226174998
6,3,1,tx,vpp,1518,ids,uk,2,135262.47200431
7,3,1,tx,vpp,1518,ids,uk,2,135267.44487421997
8,3,1,tx,vpp,1518,ids,uk,2,135193.88161995
9,3,1,tx,vpp,1518,ids,uk,2,135044.61188649
10,3,1,tx,vpp,1518,ids,uk,2,135284.23248643
11,3,1,tx,vpp,1518,ids,uk,2,134779.70731852
12,3,1,tx,vpp,1518,ids,uk,2,135158.96448605
13,3,1,tx,vpp,1518,ids,uk,2,134691.54818943
14,3,1,tx,vpp,1518,ids,uk,2,134881.48842181
15,3,1,tx,vpp,1518,ids,uk,2,134502.1950249
16,3,1,tx,vpp,1518,ids,uk,2,135181.10638944
17,3,1,tx,vpp,1518,ids,uk,2,135138.52784452
18,3,1,tx,vpp,1518,ids,uk,2,134976.81366181
19,3,1,tx,vpp,1518,ids,uk,2,134760.07625582002
20,3,1,tx,vpp,1518,ids,uk,2,135064.88006379
21,3,1,tx,vpp,1518,ids,uk,2,134818.78414365
22,3,1,tx,vpp,1518,ids,uk,2,135057.54195246001
23,3,1,tx,vpp,1518,ids,uk,2,135021.84146618
24,3,1,tx,vpp,1518,ids,uk,2,135012.69592685
25,3,1,tx,vpp,1518,ids,uk,2,135010.9136359
26,3,1,tx,vpp,1518,ids,uk,2,135216.97645226
27,3,1,tx,vpp,1518,ids,uk,2,135133.61671918002
28,3,1,tx,vpp,1518,ids,uk,2,135077.2094549
29,3,1,tx,vpp,1518,ids,uk,2,134992.87230355002
30,3,1,tx,vpp,1518,ids,uk,2,134891.60365944
31,3,1,tx,vpp,1518,ids,uk,2,135247.52653041
32,3,1,tx,vpp,1518,ids,uk,2,135247.68501774
33,3,1,tx,vpp,1518,ids,uk,2,135289.42672457002
34,3,1,tx,vpp,1518,ids,uk,2,135101.17311853002
35,3,1,tx,vpp,1518,ids,uk,2,134799.21530851998
36,3,1,tx,vpp,1518,ids,uk,2,134911.39709349
37,3,1,tx,vpp,1518,ids,uk,2,135316.21372177
38,3,1,tx,vpp,1518,ids,uk,2,134938.76282236
39,3,1,tx,vpp,1518,ids,uk,2,135258.61921998
40,3,1,tx,vpp,1518,ids,uk,2,135178.89318557
41,3,1,tx,vpp,1518,ids,uk,2,135227.70779955
42,3,1,tx,vpp,1518,ids,uk,2,135152.12215469
43,3,1,tx,vpp,1518,ids,uk,2,135184.02408859
44,3,1,tx,vpp,1518,ids,uk,2,135182.90307000998
45,3,1,tx,vpp,1518,ids,uk,2,134819.78536452
46,3,1,tx,vpp,1518,ids,uk,2,135175.05557994
47,3,1,tx,vpp,1518,ids,uk,2,135224.68961613
48,3,1,tx,vpp,1518,ids,uk,2,135019.41303423
49,3,1,tx,vpp,1518,ids,uk,2,135021.79630675
50,3,1,tx,vpp,1518,ids,uk,2,135128.14489842003
51,3,1,tx,vpp,1518,ids,uk,2,135040.80594000002
52,3,1,tx,vpp,1518,ids,uk,2,134891.37458756
53,3,1,tx,vpp,1518,ids,uk,2,135041.00511464002
54,3,1,tx,vpp,1518,ids,uk,2,134999.39268514
55,3,1,tx,vpp,1518,ids,uk,2,134923.86804569
56,3,1,tx,vpp,1518,ids,uk,2,134862.78656337998
57,3,1,tx,vpp,1518,ids,uk,2,134906.31446889002
58,3,1,tx,vpp,1518,ids,uk,2,135100.5265289
59,3,1,tx,vpp,1518,ids,uk,2,134901.31087293001
60,3,1,tx,vpp,1518,ids,uk,2,135088.59472385
61,3,1,tx,vpp,1518,ids,uk,2,134745.24364251
62,3,1,tx,vpp,1518,ids,uk,2,134998.66566302
63,3,1,tx,vpp,1518,ids,uk,2,134971.12812295
64,3,1,tx,vpp,1518,ids,uk,2,135228.43204297
65,3,1,tx,vpp,1518,ids,uk,2,134903.81327511
66,3,1,tx,vpp,1518,ids,uk,2,134838.8032628
67,3,1,tx,vpp,1518,ids,uk,2,134982.04914303
68,3,1,tx,vpp,1518,ids,uk,2,135128.43101056
69,3,1,tx,vpp,1518,ids,uk,2,135156.84509501
