Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748484568,Device: id=0,RX,0.81914918378684,9869.1213505667,10000.185219973,823551,1240269312
1748484568,Device: id=0,TX,0,0,0,0,0
1748484569,Device: id=0,RX,0.81915096933398,9869.1308785358,10000.195033629,1645675,2478388056
1748484569,Device: id=0,TX,0,0,0,0,0
1748484570,Device: id=0,RX,0.81817011175383,9857.3015225047,9988.2087403853,2468221,3717140826
1748484570,Device: id=0,TX,0,0,0,0,0
1748484571,Device: id=0,RX,0.81915237162462,9869.1717421488,10000.236121609,3291720,4957333332
1748484571,Device: id=0,TX,0,0,0,0,0
1748484572,Device: id=0,RX,0.81915275443081,9869.1523853823,10000.216826091,4115936,6198602628
1748484572,Device: id=0,TX,0,0,0,0,0
1748484573,Device: id=0,RX,0.81914039363444,9868.9794966038,10000.041959585,4939523,7438921638
1748484573,Device: id=0,TX,0,0,0,0,0
1748484574,Device: id=0,RX,0.81914935198318,9869.1233763875,10000.187272705,5763068,8679181914
1748484574,Device: id=0,TX,0,0,0,0,0
1748484575,Device: id=0,RX,0.8191487663464,9869.1043369415,10000.168139557,6587334,9920526510
1748484575,Device: id=0,TX,0,0,0,0,0
1748484576,Device: id=0,RX,0.81915385110768,9869.1655981453,10000.230214323,7410835,11160719016
1748484576,Device: id=0,TX,0,0,0,0,0
1748484577,Device: id=0,RX,0.81914412606204,9869.0364463337,10000.099506504,8234322,12400888932
1748484577,Device: id=0,TX,0,0,0,0,0
1748484578,Device: id=0,RX,0.81916152050376,9869.3179210095,10000.38376429,9057831,13641101016
1748484578,Device: id=0,TX,0,0,0,0,0
1748484579,Device: id=0,RX,0.81913638418082,9868.8953001408,9999.9571216097,9882216,14882617296
1748484579,Device: id=0,TX,0,0,0,0,0
1748484580,Device: id=0,RX,0.81816470740463,9857.248394811,9988.1547479957,10704766,16121377596
1748484580,Device: id=0,TX,0,0,0,0,0
1748484581,Device: id=0,RX,0.81914909211007,9869.1082617422,10000.17211648,11528263,17361564078
1748484581,Device: id=0,TX,0,0,0,0,0
1748484582,Device: id=0,RX,0.81914891240314,9869.1060966331,10000.169922618,12351754,18601741524
1748484582,Device: id=0,TX,0,0,0,0,0
1748484583,Device: id=0,RX,0.81914950255626,9869.1012236544,10000.165144063,13175337,19842056016
1748484583,Device: id=0,TX,0,0,0,0,0
1748484584,Device: id=0,RX,0.81914873013736,9869.1039006949,10000.167697517,13999132,21082691286
1748484584,Device: id=0,TX,0,0,0,0,0
