Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748482744,Device: id=0,RX,1.1504732153757,9314.239203918,9498.3149183781,1156758,1170640108
1748482744,Device: id=0,TX,0,0,0,0,0
1748482745,Device: id=0,RX,1.1498115152367,9308.8659504591,9492.835792897,2309289,2337000468
1748482745,Device: id=0,TX,0,0,0,0,0
1748482746,Device: id=0,RX,1.1478081961764,9292.6632066426,9476.3125180308,3463599,3505163200
1748482746,Device: id=0,TX,0,0,0,0,0
1748482747,Device: id=0,RX,1.1451846366851,9271.4148186024,9454.644360472,4615703,4671092448
1748482747,Device: id=0,TX,0,0,0,0,0
1748482748,Device: id=0,RX,1.1496035864304,9307.2067427304,9491.1433165593,5771374,5840633524
1748482748,Device: id=0,TX,0,0,0,0,0
1748482749,Device: id=0,RX,1.1495219729426,9306.5137868037,9490.4373024746,6927024,7010149300
1748482749,Device: id=0,TX,0,0,0,0,0
1748482750,Device: id=0,RX,1.1507752642199,9316.66848586,9500.7925281352,8083906,8180912872
1748482750,Device: id=0,TX,0,0,0,0,0
1748482751,Device: id=0,RX,1.148118600959,9295.168193364,9478.8671695174,9238599,9349462188
1748482751,Device: id=0,TX,0,0,0,0,0
1748482752,Device: id=0,RX,1.1498198269621,9308.9493723527,9492.9205446667,10394520,10519255252
1748482752,Device: id=0,TX,0,0,0,0,0
1748482753,Device: id=0,RX,1.1507807814157,9316.7131530597,9500.8380780862,11551405,11690021860
1748482753,Device: id=0,TX,0,0,0,0,0
1748482754,Device: id=0,RX,1.1510107809501,9318.5832825717,9502.7450075237,12708766,12861271192
1748482754,Device: id=0,TX,0,0,0,0,0
1748482755,Device: id=0,RX,1.151389343107,9321.6803147248,9505.9026096219,13866989,14033396916
1748482755,Device: id=0,TX,0,0,0,0,0
1748482756,Device: id=0,RX,1.1455891994789,9274.6498968051,9457.9441687217,15018776,15199000300
1748482756,Device: id=0,TX,0,0,0,0,0
1748482757,Device: id=0,RX,1.1461116312296,9278.9278201298,9462.3056811265,16170908,16364958896
1748482757,Device: id=0,TX,0,0,0,0,0
1748482758,Device: id=0,RX,1.1497408749932,9308.3021239447,9492.2606639437,17326932,17534855184
1748482758,Device: id=0,TX,0,0,0,0,0
1748482759,Device: id=0,RX,1.151185069881,9319.9862876338,9504.1758988147,18486406,18708241860
1748482759,Device: id=0,TX,0,0,0,0,0
1748482760,Device: id=0,RX,1.1520547418177,9327.043243878,9511.3720025688,19644451,19880184412
1748482760,Device: id=0,TX,0,0,0,0,0
1748482761,Device: id=0,RX,1.1501274373913,9311.4236794046,9495.4440693872,20800617,21050223392
1748482761,Device: id=0,TX,0,0,0,0,0
1748482762,Device: id=0,RX,1.1519101596303,9325.864652367,9510.1702779078,21958522,22222023252
1748482762,Device: id=0,TX,0,0,0,0,0
1748482763,Device: id=0,RX,1.1501906086843,9311.943167908,9495.9736652974,23114752,23392128012
1748482763,Device: id=0,TX,0,0,0,0,0
1748482764,Device: id=0,RX,1.1504945967766,9314.404255503,9498.4833909873,24271288,24562542444
1748482764,Device: id=0,TX,0,0,0,0,0
1748482765,Device: id=0,RX,1.1491914553767,9303.85402273,9487.7246555903,25426701,25731820400
1748482765,Device: id=0,TX,0,0,0,0,0
1748482766,Device: id=0,RX,1.1476963056909,9291.7573441635,9475.388753074,26580484,26899449808
1748482766,Device: id=0,TX,0,0,0,0,0
1748482767,Device: id=0,RX,1.1475902972852,9290.882992697,9474.4974402626,27734041,28066848480
1748482767,Device: id=0,TX,0,0,0,0,0
1748482768,Device: id=0,RX,1.1515458197383,9322.9149566014,9507.1622877595,28891635,29238333608
1748482768,Device: id=0,TX,0,0,0,0,0
1748482769,Device: id=0,RX,1.150022317312,9310.580680958,9494.5842517279,30047761,30408333120
1748482769,Device: id=0,TX,0,0,0,0,0
1748482770,Device: id=0,RX,1.1504852102926,9314.3363162281,9498.4139498749,31204289,31578740468
1748482770,Device: id=0,TX,0,0,0,0,0
1748482771,Device: id=0,RX,1.1496313567507,9307.4074105433,9491.3484276234,32359957,32748275472
1748482771,Device: id=0,TX,0,0,0,0,0
1748482772,Device: id=0,RX,1.1508907191069,9317.6193151613,9501.7618302184,33516954,33919157448
1748482772,Device: id=0,TX,0,0,0,0,0
1748482773,Device: id=0,RX,1.1513265414526,9321.131632654,9505.3438792864,34675299,35091401576
1748482773,Device: id=0,TX,0,0,0,0,0
1748482774,Device: id=0,RX,1.1517987297231,9324.9625158381,9509.2503125938,35833087,36263083032
1748482774,Device: id=0,TX,0,0,0,0,0
1748482775,Device: id=0,RX,1.1518293729989,9325.218657917,9509.5113575969,36990906,37434796872
1748482775,Device: id=0,TX,0,0,0,0,0
1748482776,Device: id=0,RX,1.1442818651088,9264.0979262211,9447.1830246385,38141198,38598891364
