,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1172938.6327544001
1,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1171451.7544862998
2,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1174293.589526
3,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1171208.9363048
4,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1171132.6933227999
5,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1171691.6055223
6,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1176760.5204655
7,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1171831.1730012002
8,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1170085.5249588
9,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1179561.2671847
10,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1175861.7820718
11,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1172189.2472975
12,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1173908.7042947002
13,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1167565.0225085
14,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1169247.3488953
15,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1171841.9808232
16,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1173775.8544718998
17,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1168892.9577703
18,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1170564.771276
19,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1181298.8545807
20,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1173861.803946
21,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1173503.9727701999
22,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1172200.7809431
23,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1169267.1013821
24,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1171829.1496021
25,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1171708.5316881
26,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1173661.991693
27,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1169758.3808239999
28,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1172101.3395009
29,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1173326.6610277998
30,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1174704.7745368
31,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1169880.2383299
32,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1173676.1452532
33,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1172244.7158069
34,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1175298.07798
35,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1176276.0706069998
36,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1171631.817703
37,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1169163.1960519
38,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1168638.9427732
39,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1169011.8084096
40,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1173025.6408377
41,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1171959.9363337
42,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1172524.13862
43,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1174826.0890775
44,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1170632.9331838
45,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1173079.9855592998
46,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1173366.9295702002
47,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1173369.1495782
48,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1174194.6773799
49,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1167354.7485141999
50,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1170985.7256604
51,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1173480.6963968
52,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1174117.0877214
53,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1172485.9681194
54,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1172103.5447014002
55,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1174577.2033980999
56,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1170103.0427312
57,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1170945.8337192
58,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1179448.8890004999
59,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1173488.68014
60,3,1,tx,vpp,1024,filter,ukebpfjit_nompk,2,1172690.4796332
