Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1748483655,Device: id=0,RX,0.25598920160728,2072.4966221809,2113.4548944381,257589,260680068
1748483655,Device: id=0,TX,0,0,0,0,0
1748483656,Device: id=0,RX,0.25593619003417,2072.0513201843,2113.0011105897,514212,520381532
1748483656,Device: id=0,TX,0,0,0,0,0
1748483657,Device: id=0,RX,0.25548978209768,2068.4452758628,2109.3236409984,771108,780360284
1748483657,Device: id=0,TX,0,0,0,0,0
1748483658,Device: id=0,RX,0.25558502335565,2069.2163490874,2110.1099528243,1028264,1040602156
1748483658,Device: id=0,TX,0,0,0,0,0
1748483659,Device: id=0,RX,0.25601332200714,2072.6919082306,2113.6540397518,1285636,1301063632
1748483659,Device: id=0,TX,0,0,0,0,0
1748483660,Device: id=0,RX,0.2559921271504,2072.5042093786,2113.4629497227,1543026,1561541300
1748483660,Device: id=0,TX,0,0,0,0,0
1748483661,Device: id=0,RX,0.25597633309068,2072.3924404844,2113.3486537789,1800536,1822142432
1748483661,Device: id=0,TX,0,0,0,0,0
1748483662,Device: id=0,RX,0.25599168237404,2072.5006067935,2113.4592759734,2057872,2082565452
1748483662,Device: id=0,TX,0,0,0,0,0
1748483663,Device: id=0,RX,0.25598798028403,2072.5108982343,2113.4689750798,2315244,2343029964
1748483663,Device: id=0,TX,0,0,0,0,0
1748483664,Device: id=0,RX,0.25598263162981,2072.4031776194,2113.3603986801,2572625,2603495488
1748483664,Device: id=0,TX,0,0,0,0,0
1748483665,Device: id=0,RX,0.25599571691691,2072.5413241593,2113.500638866,2830114,2864074356
1748483665,Device: id=0,TX,0,0,0,0,0
1748483666,Device: id=0,RX,0.25593736614921,2072.0769700632,2113.026948647,3087395,3124443740
1748483667,Device: id=0,TX,0,0,0,0,0
1748483667,Device: id=0,RX,0.25573856383443,2070.4513591109,2111.3695293244,3344477,3384609712
1748483668,Device: id=0,TX,0,0,0,0,0
1748483668,Device: id=0,RX,0.25554226908725,2068.8702105304,2109.7569735843,3601348,3644563164
1748483669,Device: id=0,TX,0,0,0,0,0
1748483669,Device: id=0,RX,0.25599637504302,2072.5627445485,2113.5221645554,3858932,3905240196
1748483670,Device: id=0,TX,0,0,0,0,0
1748483670,Device: id=0,RX,0.25543557796617,2067.9903318023,2108.8600242769,4115709,4165096496
1748483671,Device: id=0,TX,0,0,0,0,0
1748483671,Device: id=0,RX,0.25592330841696,2071.9792635534,2112.9269929001,4373003,4425481060
1748483672,Device: id=0,TX,0,0,0,0,0
1748483673,Device: id=0,RX,0.25599987883849,2072.5669662385,2113.5269468526,4630375,4685940512
1748483673,Device: id=0,TX,0,0,0,0,0
1748483674,Device: id=0,RX,0.25602422279794,2072.7560130091,2113.7198886568,4887946,4946600340
1748483674,Device: id=0,TX,0,0,0,0,0
1748483675,Device: id=0,RX,0.25595409341786,2072.204340311,2113.1569952578,5145231,5206972760
1748483675,Device: id=0,TX,0,0,0,0,0
1748483676,Device: id=0,RX,0.25603552596123,2072.8636181821,2113.8293023359,5402598,5467428164
1748483676,Device: id=0,TX,0,0,0,0,0
1748483677,Device: id=0,RX,0.25602223893297,2072.7560464013,2113.7196046306,5659978,5727896724
1748483677,Device: id=0,TX,0,0,0,0,0
1748483678,Device: id=0,RX,0.25581698762145,2071.0943317833,2112.0250498027,5917233,5988238784
1748483678,Device: id=0,TX,0,0,0,0,0
1748483679,Device: id=0,RX,0.25554689532754,2068.9076645718,2109.7951678242,6174122,6248210452
1748483679,Device: id=0,TX,0,0,0,0,0
1748483680,Device: id=0,RX,0.25598920900929,2072.4886361392,2113.4469095807,6431456,6508632460
1748483680,Device: id=0,TX,0,0,0,0,0
1748483681,Device: id=0,RX,0.25599735504776,2072.5545864666,2113.5141632743,6688919,6769185016
1748483681,Device: id=0,TX,0,0,0,0,0
1748483682,Device: id=0,RX,0.25595656927148,2072.2243848219,2113.1774359053,6946220,7029573628
1748483682,Device: id=0,TX,0,0,0,0,0
1748483683,Device: id=0,RX,0.25596204966254,2072.2768064981,2113.2307344441,7203567,7290009804
1748483683,Device: id=0,TX,0,0,0,0,0
1748483684,Device: id=0,RX,0.25604982385837,2072.9713248961,2113.9392967135,7461110,7550642308
1748483684,Device: id=0,TX,0,0,0,0,0
1748483685,Device: id=0,RX,0.25595577368735,2072.2259974764,2113.1789212664,7718410,7811030920
1748483685,Device: id=0,TX,0,0,0,0,0
1748483686,Device: id=0,RX,0.25596045731067,2072.2478086927,2113.2014818624,7975715,8071422568
1748483686,Device: id=0,TX,0,0,0,0,0
1748483687,Device: id=0,RX,0.25592222635248,2071.9463445497,2112.8939007661,8232981,8331775760
1748483687,Device: id=0,TX,0,0,0,0,0
1748483688,Device: id=0,RX,0.2558323481067,2071.2267443803,2112.1599200773,8490144,8592025728
1748483688,Device: id=0,TX,0,0,0,0,0
1748483689,Device: id=0,RX,0.25594616577901,2072.1321053089,2113.0834918335,8747462,8852430532
1748483689,Device: id=0,TX,0,0,0,0,0
1748483690,Device: id=0,RX,0.25554854595282,2068.921028034,2109.8087953865,9004554,9112607636
1748483690,Device: id=0,TX,0,0,0,0,0
1748483691,Device: id=0,RX,0.25594986668638,2072.1701206929,2113.1220993627,9261848,9372989164
1748483691,Device: id=0,TX,0,0,0,0,0
1748483692,Device: id=0,RX,0.25597501276949,2072.3737033818,2113.3297054249,9519168,9633397004
1748483692,Device: id=0,TX,0,0,0,0,0
1748483693,Device: id=0,RX,0.25601205430641,2072.6735916647,2113.6355203537,9776511,9893828120
1748483693,Device: id=0,TX,0,0,0,0,0
