,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,256,filter,linux,0,706204.31
1,3,1,tx,vpp,256,filter,linux,0,712326.56
2,3,1,tx,vpp,256,filter,linux,0,708167.12
3,3,1,tx,vpp,256,filter,linux,0,714402.5
4,3,1,tx,vpp,256,filter,linux,0,714285.62
5,3,1,tx,vpp,256,filter,linux,0,707050.12
6,3,1,tx,vpp,256,filter,linux,0,703437.75
7,3,1,tx,vpp,256,filter,linux,0,710095.44
8,3,1,tx,vpp,256,filter,linux,0,703882.75
9,3,1,tx,vpp,256,filter,linux,0,710160.56
10,3,1,tx,vpp,256,filter,linux,0,712020.69
11,3,1,tx,vpp,256,filter,linux,0,703635.19
12,3,1,tx,vpp,256,filter,linux,0,709573.88
13,3,1,tx,vpp,256,filter,linux,0,712495.88
14,3,1,tx,vpp,256,filter,linux,0,704909.38
15,3,1,tx,vpp,256,filter,linux,0,711644.62
16,3,1,tx,vpp,256,filter,linux,0,713620.88
17,3,1,tx,vpp,256,filter,linux,0,712738.0
18,3,1,tx,vpp,256,filter,linux,0,703909.5
19,3,1,tx,vpp,256,filter,linux,0,711633.19
20,3,1,tx,vpp,256,filter,linux,0,715267.81
21,3,1,tx,vpp,256,filter,linux,0,706364.44
22,3,1,tx,vpp,256,filter,linux,0,713034.38
23,3,1,tx,vpp,256,filter,linux,0,712875.38
24,3,1,tx,vpp,256,filter,linux,0,703789.88
25,3,1,tx,vpp,256,filter,linux,0,711083.25
26,3,1,tx,vpp,256,filter,linux,0,713633.81
27,3,1,tx,vpp,256,filter,linux,0,715048.44
28,3,1,tx,vpp,256,filter,linux,0,714377.88
29,3,1,tx,vpp,256,filter,linux,0,713531.62
30,3,1,tx,vpp,256,filter,linux,0,713632.5
31,3,1,tx,vpp,256,filter,linux,0,714947.38
32,3,1,tx,vpp,256,filter,linux,0,716198.25
33,3,1,tx,vpp,256,filter,linux,0,715685.31
34,3,1,tx,vpp,256,filter,linux,0,713544.81
35,3,1,tx,vpp,256,filter,linux,0,710794.19
36,3,1,tx,vpp,256,filter,linux,0,709433.44
37,3,1,tx,vpp,256,filter,linux,0,709199.44
38,3,1,tx,vpp,256,filter,linux,0,709139.88
39,3,1,tx,vpp,256,filter,linux,0,708164.5
40,3,1,tx,vpp,256,filter,linux,0,709887.0
41,3,1,tx,vpp,256,filter,linux,0,712913.38
42,3,1,tx,vpp,256,filter,linux,0,714388.38
43,3,1,tx,vpp,256,filter,linux,0,715765.12
44,3,1,tx,vpp,256,filter,linux,0,716541.25
45,3,1,tx,vpp,256,filter,linux,0,713434.56
46,3,1,tx,vpp,256,filter,linux,0,714493.75
47,3,1,tx,vpp,256,filter,linux,0,714208.0
48,3,1,tx,vpp,256,filter,linux,0,714328.0
49,3,1,tx,vpp,256,filter,linux,0,713446.0
50,3,1,tx,vpp,256,filter,linux,0,714182.31
51,3,1,tx,vpp,256,filter,linux,0,714658.62
52,3,1,tx,vpp,256,filter,linux,0,714199.62
53,3,1,tx,vpp,256,filter,linux,0,713119.25
54,3,1,tx,vpp,256,filter,linux,0,714629.69
55,3,1,tx,vpp,256,filter,linux,0,713206.12
56,3,1,tx,vpp,256,filter,linux,0,715720.88
57,3,1,tx,vpp,256,filter,linux,0,714996.0
58,3,1,tx,vpp,256,filter,linux,0,714432.25
59,3,1,tx,vpp,256,filter,linux,0,714427.81
60,3,1,tx,vpp,256,filter,linux,0,713113.62
61,3,1,tx,vpp,256,filter,linux,0,714483.75
62,3,1,tx,vpp,256,filter,linux,0,714924.94
63,3,1,tx,vpp,256,filter,linux,0,713835.25
64,3,1,tx,vpp,256,filter,linux,0,714042.31
65,3,1,tx,vpp,256,filter,linux,0,712622.88
66,3,1,tx,vpp,256,filter,linux,0,714066.5
67,3,1,tx,vpp,256,filter,linux,0,714815.88
