/tmp/linux.click:26: While initializing 'fd :: FromDevice':
  warning: ens7: no IPv4 address assigned
Number of packets sent : 187636.363636
Number of packets sent : 178818.093385
Number of packets sent : 180206.591244
Number of packets sent : 181778.508051
Number of packets sent : 182207.715134
Number of packets sent : 182658.483469
Number of packets sent : 182370.951751
Number of packets sent : 182565.05102
Number of packets sent : 182874.891399
Number of packets sent : 182569.157744
Number of packets sent : 182898.121459
Number of packets sent : 183065.44337
Number of packets sent : 182978.695184
Number of packets sent : 183300.237311
Number of packets sent : 183370.378271
Number of packets sent : 183323.486458
Number of packets sent : 183349.206349
Number of packets sent : 183384.646938
Number of packets sent : 183398.870807
Number of packets sent : 183315.466513
Number of packets sent : 183358.349529
Number of packets sent : 183429.486875
Number of packets sent : 183357.25938
Number of packets sent : 183439.049766
Number of packets sent : 183474.261498
Number of packets sent : 183400.773864
Number of packets sent : 183563.734704
Number of packets sent : 183566.605098
Number of packets sent : 183491.147448
Number of packets sent : 183498.761695
Number of packets sent : 183576.649375
Number of packets sent : 183613.703656
Number of packets sent : 183670.875815
Number of packets sent : 183652.13316
Number of packets sent : 183689.675412
Number of packets sent : 183737.668929
Number of packets sent : 183781.288981
Number of packets sent : 183831.18004
Number of packets sent : 183854.734077
Number of packets sent : 183877.264817
Number of packets sent : 183923.048132
Number of packets sent : 183970.908294
Number of packets sent : 184034.888419
Number of packets sent : 184061.678815
Number of packets sent : 184079.72231
Number of packets sent : 184102.688673
Number of packets sent : 184123.461881
Number of packets sent : 184149.939463
Number of packets sent : 184166.181364
Number of packets sent : 184165.624172
Number of packets sent : 184170.483816
Number of packets sent : 184190.419326
Number of packets sent : 184205.694866
Number of packets sent : 184215.534456
Number of packets sent : 184240.685613
Number of packets sent : 184256.558285
Number of packets sent : 184276.465239
Number of packets sent : 184271.161797
Number of packets sent : 184262.529052
Number of packets sent : 184272.810358
Number of packets sent : 184258.213228
Number of packets sent : 184259.568477
Number of packets sent : 184271.268885
Number of packets sent : 184282.598358
Number of packets sent : 184296.737248
Number of packets sent : 184309.309079
Number of packets sent : 184293.336158
Number of packets sent : 184298.876103
Number of packets sent : 184312.75702
Number of packets sent : 184313.306026
Number of packets sent : 184315.798485
Number of packets sent : 184331.706288
AUTOTEST_DONE
