,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,nat,uk,2,3197644.0
1,3,1,rx,vpp,256,nat,uk,2,3187941.0
2,3,1,rx,vpp,256,nat,uk,2,3162615.0
3,3,1,rx,vpp,256,nat,uk,2,3190539.0
4,3,1,rx,vpp,256,nat,uk,2,3155270.0
5,3,1,rx,vpp,256,nat,uk,2,2994390.0
6,3,1,rx,vpp,256,nat,uk,2,2884135.0
7,3,1,rx,vpp,256,nat,uk,2,3435037.0
8,3,1,rx,vpp,256,nat,uk,2,2821416.0
9,3,1,rx,vpp,256,nat,uk,2,3479817.0
10,3,1,rx,vpp,256,nat,uk,2,1582953.0
11,3,1,rx,vpp,256,nat,uk,2,3158200.0
12,3,1,rx,vpp,256,nat,uk,2,2041305.0
13,3,1,rx,vpp,256,nat,uk,2,3156837.0
14,3,1,rx,vpp,256,nat,uk,2,2702903.0
15,3,1,rx,vpp,256,nat,uk,2,3288877.0
16,3,1,rx,vpp,256,nat,uk,2,2506707.0
17,3,1,rx,vpp,256,nat,uk,2,2571084.0
18,3,1,rx,vpp,256,nat,uk,2,4287248.0
19,3,1,rx,vpp,256,nat,uk,2,3162318.0
20,3,1,rx,vpp,256,nat,uk,2,3166930.0
21,3,1,rx,vpp,256,nat,uk,2,453988.0
22,3,1,rx,vpp,256,nat,uk,2,3038171.0
23,3,1,rx,vpp,256,nat,uk,2,3165069.0
24,3,1,rx,vpp,256,nat,uk,2,2044872.0
25,3,1,rx,vpp,256,nat,uk,2,2693599.0
26,3,1,rx,vpp,256,nat,uk,2,3300230.0
27,3,1,rx,vpp,256,nat,uk,2,3040348.0
28,3,1,rx,vpp,256,nat,uk,2,2040127.0
29,3,1,rx,vpp,256,nat,uk,2,3173248.0
30,3,1,rx,vpp,256,nat,uk,2,2884129.0
