,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1024,empty,ukebpfjit,2,1193005.99401
1,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195931.0
2,3,1,rx,vpp,1024,empty,ukebpfjit,2,1196194.57735
3,3,1,rx,vpp,1024,empty,ukebpfjit,2,1194796.2038
4,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195988.0
5,3,1,rx,vpp,1024,empty,ukebpfjit,2,1193530.0
6,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195959.0
7,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195887.0
8,3,1,rx,vpp,1024,empty,ukebpfjit,2,1194702.2977
9,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195930.0
10,3,1,rx,vpp,1024,empty,ukebpfjit,2,1194152.0
11,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195949.0
12,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195965.0
13,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195969.0
14,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195915.0
15,3,1,rx,vpp,1024,empty,ukebpfjit,2,1192306.69331
16,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195955.0
17,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195961.0
18,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195909.0
19,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195908.0
20,3,1,rx,vpp,1024,empty,ukebpfjit,2,1192918.08192
21,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195952.0
22,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195905.0
23,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195952.0
24,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195937.0
25,3,1,rx,vpp,1024,empty,ukebpfjit,2,1194760.23976
26,3,1,rx,vpp,1024,empty,ukebpfjit,2,1193820.0
27,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195956.0
28,3,1,rx,vpp,1024,empty,ukebpfjit,2,1194699.0
29,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195926.0
30,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195184.0
31,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195901.0
32,3,1,rx,vpp,1024,empty,ukebpfjit,2,1194757.24276
33,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195894.0
34,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195951.0
35,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195869.0
36,3,1,rx,vpp,1024,empty,ukebpfjit,2,1193437.0
37,3,1,rx,vpp,1024,empty,ukebpfjit,2,1194714.28571
38,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195942.0
39,3,1,rx,vpp,1024,empty,ukebpfjit,2,1192415.0
40,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195071.0
41,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195886.0
42,3,1,rx,vpp,1024,empty,ukebpfjit,2,1194693.30669
43,3,1,rx,vpp,1024,empty,ukebpfjit,2,1194730.0
44,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195938.0
45,3,1,rx,vpp,1024,empty,ukebpfjit,2,1194707.29271
46,3,1,rx,vpp,1024,empty,ukebpfjit,2,1193456.0
47,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195881.0
48,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195894.0
49,3,1,rx,vpp,1024,empty,ukebpfjit,2,1194879.0
50,3,1,rx,vpp,1024,empty,ukebpfjit,2,1193968.03197
51,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195932.0
52,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195900.0
53,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195874.0
54,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195912.0
55,3,1,rx,vpp,1024,empty,ukebpfjit,2,1194704.2957
56,3,1,rx,vpp,1024,empty,ukebpfjit,2,1193770.0
57,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195940.0
58,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195925.0
59,3,1,rx,vpp,1024,empty,ukebpfjit,2,1194858.0
60,3,1,rx,vpp,1024,empty,ukebpfjit,2,1193896.1039
61,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195964.0
62,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195901.0
63,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195823.0
64,3,1,rx,vpp,1024,empty,ukebpfjit,2,1195872.0
65,3,1,rx,vpp,1024,empty,ukebpfjit,2,1194779.22078
66,3,1,rx,vpp,1024,empty,ukebpfjit,2,1193397.0
