,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,256,ids,ukebpfjit,1,863635.271192
1,3,1,rx,vpp,256,ids,ukebpfjit,1,865485.220441
2,3,1,rx,vpp,256,ids,ukebpfjit,1,864632.581454
3,3,1,rx,vpp,256,ids,ukebpfjit,1,864265.162907
4,3,1,rx,vpp,256,ids,ukebpfjit,1,864963.620615
5,3,1,rx,vpp,256,ids,ukebpfjit,1,864540.060852
6,3,1,rx,vpp,256,ids,ukebpfjit,1,864779.784269
7,3,1,rx,vpp,256,ids,ukebpfjit,1,862992.494226
8,3,1,rx,vpp,256,ids,ukebpfjit,1,864683.745583
9,3,1,rx,vpp,256,ids,ukebpfjit,1,864027.461487
10,3,1,rx,vpp,256,ids,ukebpfjit,1,863605.198627
11,3,1,rx,vpp,256,ids,ukebpfjit,1,864855.452786
12,3,1,rx,vpp,256,ids,ukebpfjit,1,866471.667997
