,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1518,empty,ukebpfjit,0,671501.69
1,3,1,tx,vpp,1518,empty,ukebpfjit,0,698675.94
2,3,1,tx,vpp,1518,empty,ukebpfjit,0,702045.0
3,3,1,tx,vpp,1518,empty,ukebpfjit,0,702358.75
4,3,1,tx,vpp,1518,empty,ukebpfjit,0,702774.19
5,3,1,tx,vpp,1518,empty,ukebpfjit,0,703167.69
6,3,1,tx,vpp,1518,empty,ukebpfjit,0,703069.31
7,3,1,tx,vpp,1518,empty,ukebpfjit,0,707271.31
8,3,1,tx,vpp,1518,empty,ukebpfjit,0,706737.81
9,3,1,tx,vpp,1518,empty,ukebpfjit,0,708188.44
10,3,1,tx,vpp,1518,empty,ukebpfjit,0,708457.81
11,3,1,tx,vpp,1518,empty,ukebpfjit,0,709047.75
12,3,1,tx,vpp,1518,empty,ukebpfjit,0,709149.94
13,3,1,tx,vpp,1518,empty,ukebpfjit,0,710087.5
14,3,1,tx,vpp,1518,empty,ukebpfjit,0,710081.88
15,3,1,tx,vpp,1518,empty,ukebpfjit,0,709744.5
16,3,1,tx,vpp,1518,empty,ukebpfjit,0,709708.69
17,3,1,tx,vpp,1518,empty,ukebpfjit,0,710467.19
18,3,1,tx,vpp,1518,empty,ukebpfjit,0,712194.44
19,3,1,tx,vpp,1518,empty,ukebpfjit,0,711230.5
20,3,1,tx,vpp,1518,empty,ukebpfjit,0,711039.62
21,3,1,tx,vpp,1518,empty,ukebpfjit,0,711759.88
22,3,1,tx,vpp,1518,empty,ukebpfjit,0,710980.5
23,3,1,tx,vpp,1518,empty,ukebpfjit,0,710448.62
24,3,1,tx,vpp,1518,empty,ukebpfjit,0,709403.12
25,3,1,tx,vpp,1518,empty,ukebpfjit,0,709143.88
26,3,1,tx,vpp,1518,empty,ukebpfjit,0,709178.25
27,3,1,tx,vpp,1518,empty,ukebpfjit,0,708314.31
28,3,1,tx,vpp,1518,empty,ukebpfjit,0,708486.56
29,3,1,tx,vpp,1518,empty,ukebpfjit,0,707281.62
30,3,1,tx,vpp,1518,empty,ukebpfjit,0,708323.88
31,3,1,tx,vpp,1518,empty,ukebpfjit,0,708633.5
32,3,1,tx,vpp,1518,empty,ukebpfjit,0,707850.88
33,3,1,tx,vpp,1518,empty,ukebpfjit,0,705538.75
34,3,1,tx,vpp,1518,empty,ukebpfjit,0,702368.19
35,3,1,tx,vpp,1518,empty,ukebpfjit,0,701914.69
36,3,1,tx,vpp,1518,empty,ukebpfjit,0,702420.56
37,3,1,tx,vpp,1518,empty,ukebpfjit,0,702741.12
38,3,1,tx,vpp,1518,empty,ukebpfjit,0,704693.25
39,3,1,tx,vpp,1518,empty,ukebpfjit,0,707389.31
40,3,1,tx,vpp,1518,empty,ukebpfjit,0,710463.88
41,3,1,tx,vpp,1518,empty,ukebpfjit,0,711375.5
42,3,1,tx,vpp,1518,empty,ukebpfjit,0,711651.88
43,3,1,tx,vpp,1518,empty,ukebpfjit,0,710569.5
44,3,1,tx,vpp,1518,empty,ukebpfjit,0,709625.88
45,3,1,tx,vpp,1518,empty,ukebpfjit,0,709486.5
46,3,1,tx,vpp,1518,empty,ukebpfjit,0,709355.62
47,3,1,tx,vpp,1518,empty,ukebpfjit,0,709034.88
48,3,1,tx,vpp,1518,empty,ukebpfjit,0,708428.88
49,3,1,tx,vpp,1518,empty,ukebpfjit,0,707217.12
50,3,1,tx,vpp,1518,empty,ukebpfjit,0,708643.75
51,3,1,tx,vpp,1518,empty,ukebpfjit,0,709529.5
52,3,1,tx,vpp,1518,empty,ukebpfjit,0,709461.31
53,3,1,tx,vpp,1518,empty,ukebpfjit,0,709209.56
54,3,1,tx,vpp,1518,empty,ukebpfjit,0,708755.19
55,3,1,tx,vpp,1518,empty,ukebpfjit,0,708120.5
56,3,1,tx,vpp,1518,empty,ukebpfjit,0,708290.38
57,3,1,tx,vpp,1518,empty,ukebpfjit,0,709009.62
58,3,1,tx,vpp,1518,empty,ukebpfjit,0,708994.75
59,3,1,tx,vpp,1518,empty,ukebpfjit,0,710483.88
60,3,1,tx,vpp,1518,empty,ukebpfjit,0,709030.62
61,3,1,tx,vpp,1518,empty,ukebpfjit,0,710586.25
62,3,1,tx,vpp,1518,empty,ukebpfjit,0,711065.19
63,3,1,tx,vpp,1518,empty,ukebpfjit,0,710261.06
64,3,1,tx,vpp,1518,empty,ukebpfjit,0,709837.25
65,3,1,tx,vpp,1518,empty,ukebpfjit,0,706712.06
66,3,1,tx,vpp,1518,empty,ukebpfjit,0,704150.5
67,3,1,tx,vpp,1518,empty,ukebpfjit,0,703455.88
