,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,tx,vpp,1518,filter,ukebpfjit,1,693993.0
1,3,1,tx,vpp,1518,filter,ukebpfjit,1,708457.75
2,3,1,tx,vpp,1518,filter,ukebpfjit,1,711692.56
3,3,1,tx,vpp,1518,filter,ukebpfjit,1,710721.0
4,3,1,tx,vpp,1518,filter,ukebpfjit,1,711728.81
5,3,1,tx,vpp,1518,filter,ukebpfjit,1,712507.69
6,3,1,tx,vpp,1518,filter,ukebpfjit,1,711454.94
7,3,1,tx,vpp,1518,filter,ukebpfjit,1,711049.88
8,3,1,tx,vpp,1518,filter,ukebpfjit,1,711232.88
9,3,1,tx,vpp,1518,filter,ukebpfjit,1,710898.38
10,3,1,tx,vpp,1518,filter,ukebpfjit,1,710761.88
11,3,1,tx,vpp,1518,filter,ukebpfjit,1,710683.0
12,3,1,tx,vpp,1518,filter,ukebpfjit,1,710134.75
13,3,1,tx,vpp,1518,filter,ukebpfjit,1,708941.69
14,3,1,tx,vpp,1518,filter,ukebpfjit,1,710082.94
15,3,1,tx,vpp,1518,filter,ukebpfjit,1,710800.75
16,3,1,tx,vpp,1518,filter,ukebpfjit,1,710884.75
17,3,1,tx,vpp,1518,filter,ukebpfjit,1,710760.12
18,3,1,tx,vpp,1518,filter,ukebpfjit,1,710638.75
19,3,1,tx,vpp,1518,filter,ukebpfjit,1,710839.44
20,3,1,tx,vpp,1518,filter,ukebpfjit,1,711568.56
21,3,1,tx,vpp,1518,filter,ukebpfjit,1,711170.0
22,3,1,tx,vpp,1518,filter,ukebpfjit,1,710399.44
23,3,1,tx,vpp,1518,filter,ukebpfjit,1,709301.25
24,3,1,tx,vpp,1518,filter,ukebpfjit,1,711465.06
25,3,1,tx,vpp,1518,filter,ukebpfjit,1,711961.75
26,3,1,tx,vpp,1518,filter,ukebpfjit,1,710311.0
27,3,1,tx,vpp,1518,filter,ukebpfjit,1,711239.5
28,3,1,tx,vpp,1518,filter,ukebpfjit,1,712049.88
29,3,1,tx,vpp,1518,filter,ukebpfjit,1,712108.5
30,3,1,tx,vpp,1518,filter,ukebpfjit,1,711499.12
31,3,1,tx,vpp,1518,filter,ukebpfjit,1,711202.25
32,3,1,tx,vpp,1518,filter,ukebpfjit,1,710984.56
33,3,1,tx,vpp,1518,filter,ukebpfjit,1,711172.25
34,3,1,tx,vpp,1518,filter,ukebpfjit,1,710303.44
35,3,1,tx,vpp,1518,filter,ukebpfjit,1,711049.5
36,3,1,tx,vpp,1518,filter,ukebpfjit,1,711856.25
37,3,1,tx,vpp,1518,filter,ukebpfjit,1,712011.0
38,3,1,tx,vpp,1518,filter,ukebpfjit,1,712243.81
39,3,1,tx,vpp,1518,filter,ukebpfjit,1,712636.94
40,3,1,tx,vpp,1518,filter,ukebpfjit,1,713167.81
41,3,1,tx,vpp,1518,filter,ukebpfjit,1,712965.56
42,3,1,tx,vpp,1518,filter,ukebpfjit,1,713247.75
43,3,1,tx,vpp,1518,filter,ukebpfjit,1,710103.44
44,3,1,tx,vpp,1518,filter,ukebpfjit,1,706442.12
45,3,1,tx,vpp,1518,filter,ukebpfjit,1,706286.88
46,3,1,tx,vpp,1518,filter,ukebpfjit,1,706348.75
47,3,1,tx,vpp,1518,filter,ukebpfjit,1,704341.31
48,3,1,tx,vpp,1518,filter,ukebpfjit,1,706006.94
49,3,1,tx,vpp,1518,filter,ukebpfjit,1,708727.88
50,3,1,tx,vpp,1518,filter,ukebpfjit,1,709595.25
51,3,1,tx,vpp,1518,filter,ukebpfjit,1,710106.5
52,3,1,tx,vpp,1518,filter,ukebpfjit,1,711190.62
53,3,1,tx,vpp,1518,filter,ukebpfjit,1,711601.38
54,3,1,tx,vpp,1518,filter,ukebpfjit,1,710703.0
55,3,1,tx,vpp,1518,filter,ukebpfjit,1,711385.06
56,3,1,tx,vpp,1518,filter,ukebpfjit,1,713478.25
57,3,1,tx,vpp,1518,filter,ukebpfjit,1,712060.88
58,3,1,tx,vpp,1518,filter,ukebpfjit,1,710430.12
59,3,1,tx,vpp,1518,filter,ukebpfjit,1,710599.5
60,3,1,tx,vpp,1518,filter,ukebpfjit,1,711558.69
61,3,1,tx,vpp,1518,filter,ukebpfjit,1,711409.19
62,3,1,tx,vpp,1518,filter,ukebpfjit,1,710408.06
63,3,1,tx,vpp,1518,filter,ukebpfjit,1,710642.0
64,3,1,tx,vpp,1518,filter,ukebpfjit,1,709744.75
65,3,1,tx,vpp,1518,filter,ukebpfjit,1,710711.94
66,3,1,tx,vpp,1518,filter,ukebpfjit,1,711630.56
67,3,1,tx,vpp,1518,filter,ukebpfjit,1,711957.25
