,repetitions,num_vms,direction,interface,size,vnf,system,fw_size,repetition,pps
0,3,1,rx,vpp,64,firewall,linux,2,0,851590.0
1,3,1,rx,vpp,64,firewall,linux,2,0,845894.0
2,3,1,rx,vpp,64,firewall,linux,2,0,826678.321678
3,3,1,rx,vpp,64,firewall,linux,2,0,846472.527473
4,3,1,rx,vpp,64,firewall,linux,2,0,815073.0
5,3,1,rx,vpp,64,firewall,linux,2,0,813175.0
6,3,1,rx,vpp,64,firewall,linux,2,0,843233.0
7,3,1,rx,vpp,64,firewall,linux,2,0,848484.0
8,3,1,rx,vpp,64,firewall,linux,2,0,815970.02997
9,3,1,rx,vpp,64,firewall,linux,2,0,840326.0
10,3,1,rx,vpp,64,firewall,linux,2,0,843754.245754
11,3,1,rx,vpp,64,firewall,linux,2,0,837993.0
12,3,1,rx,vpp,64,firewall,linux,2,0,836569.0
13,3,1,rx,vpp,64,firewall,linux,2,0,850556.0
14,3,1,rx,vpp,64,firewall,linux,2,0,843302.0
15,3,1,rx,vpp,64,firewall,linux,2,0,811845.309381
16,3,1,rx,vpp,64,firewall,linux,2,0,842031.0
17,3,1,rx,vpp,64,firewall,linux,2,0,842979.020979
18,3,1,rx,vpp,64,firewall,linux,2,0,797419.0
19,3,1,rx,vpp,64,firewall,linux,2,0,845115.0
20,3,1,rx,vpp,64,firewall,linux,2,0,837025.974026
21,3,1,rx,vpp,64,firewall,linux,2,0,783467.532468
22,3,1,rx,vpp,64,firewall,linux,2,0,841232.0
23,3,1,rx,vpp,64,firewall,linux,2,0,841944.055944
24,3,1,rx,vpp,64,firewall,linux,2,0,764308.0
25,3,1,rx,vpp,64,firewall,linux,2,0,849326.0
26,3,1,rx,vpp,64,firewall,linux,2,0,841828.343313
27,3,1,rx,vpp,64,firewall,linux,2,0,844726.0
28,3,1,rx,vpp,64,firewall,linux,2,0,843057.0
29,3,1,rx,vpp,64,firewall,linux,2,0,835016.0
30,3,1,rx,vpp,64,firewall,linux,2,0,836510.48951
31,3,1,rx,vpp,64,firewall,linux,2,0,833146.853147
32,3,1,rx,vpp,64,firewall,linux,2,0,828282.0
33,3,1,rx,vpp,64,firewall,linux,2,0,833591.0
34,3,1,rx,vpp,64,firewall,linux,2,0,837088.0
35,3,1,rx,vpp,64,firewall,linux,2,0,837000.0
36,3,1,rx,vpp,64,firewall,linux,2,0,837998.0
37,3,1,rx,vpp,64,firewall,linux,2,0,834957.042957
38,3,1,rx,vpp,64,firewall,linux,2,0,832685.0
39,3,1,rx,vpp,64,firewall,linux,2,0,822354.645355
40,3,1,rx,vpp,64,firewall,linux,2,0,824397.0
41,3,1,rx,vpp,64,firewall,linux,2,0,830818.181818
42,3,1,rx,vpp,64,firewall,linux,2,0,826727.0
43,3,1,rx,vpp,64,firewall,linux,2,0,833203.0
44,3,1,rx,vpp,64,firewall,linux,2,0,833590.0
45,3,1,rx,vpp,64,firewall,linux,2,0,834188.0
46,3,1,rx,vpp,64,firewall,linux,2,0,833765.0
47,3,1,rx,vpp,64,firewall,linux,2,0,839417.0
48,3,1,rx,vpp,64,firewall,linux,2,0,834439.56044
49,3,1,rx,vpp,64,firewall,linux,2,0,834101.0
50,3,1,rx,vpp,64,firewall,linux,2,0,829835.0
51,3,1,rx,vpp,64,firewall,linux,2,0,826468.0
52,3,1,rx,vpp,64,firewall,linux,2,0,839096.903097
53,3,1,rx,vpp,64,firewall,linux,2,0,831833.833834
54,3,1,rx,vpp,64,firewall,linux,2,0,798756.0
55,3,1,rx,vpp,64,firewall,linux,2,0,825293.0
56,3,1,rx,vpp,64,firewall,linux,2,0,837556.0
57,3,1,rx,vpp,64,firewall,linux,2,0,828023.0
58,3,1,rx,vpp,64,firewall,linux,2,0,832426.0
59,3,1,rx,vpp,64,firewall,linux,2,0,824785.0
60,3,1,rx,vpp,64,firewall,linux,2,0,834440.559441
61,3,1,rx,vpp,64,firewall,linux,2,0,832167.0
62,3,1,rx,vpp,64,firewall,linux,2,0,831131.0
63,3,1,rx,vpp,64,firewall,linux,2,0,832110.889111
64,3,1,rx,vpp,64,firewall,linux,2,0,829318.0
65,3,1,rx,vpp,64,firewall,linux,2,0,836065.0
66,3,1,rx,vpp,64,firewall,linux,2,0,830460.0
67,3,1,rx,vpp,64,firewall,linux,2,0,830095.0
68,3,1,rx,vpp,64,firewall,linux,2,0,835275.0
69,3,1,rx,vpp,64,firewall,linux,2,0,827660.0
70,3,1,rx,vpp,64,firewall,linux,2,0,829707.0
71,3,1,rx,vpp,64,firewall,linux,2,0,838383.0
72,3,1,rx,vpp,64,firewall,linux,2,0,835016.0
73,3,1,rx,vpp,64,firewall,linux,2,0,838839.160839
