,repetitions,num_vms,direction,interface,size,vnf,system,fw_size,repetition,pps
0,3,1,rx,vpp,64,firewall,uk,10,1,1550282.27022
1,3,1,rx,vpp,64,firewall,uk,10,1,1549689.10095
2,3,1,rx,vpp,64,firewall,uk,10,1,1547693.08176
3,3,1,rx,vpp,64,firewall,uk,10,1,1546047.85077
4,3,1,rx,vpp,64,firewall,uk,10,1,1538483.53096
5,3,1,rx,vpp,64,firewall,uk,10,1,1540387.5502
6,3,1,rx,vpp,64,firewall,uk,10,1,1540670.01507
7,3,1,rx,vpp,64,firewall,uk,10,1,1532432.22892
8,3,1,rx,vpp,64,firewall,uk,10,1,1532210.49493
9,3,1,rx,vpp,64,firewall,uk,10,1,1531522.87918
10,3,1,rx,vpp,64,firewall,uk,10,1,1526737.4498
11,3,1,rx,vpp,64,firewall,uk,10,1,1525282.77248
12,3,1,rx,vpp,64,firewall,uk,10,1,1545547.96585
13,3,1,rx,vpp,64,firewall,uk,10,1,1548971.37117
14,3,1,rx,vpp,64,firewall,uk,10,1,1535481.53619
15,3,1,rx,vpp,64,firewall,uk,10,1,1541616.65646
16,3,1,rx,vpp,64,firewall,uk,10,1,1528386.12368
17,3,1,rx,vpp,64,firewall,uk,10,1,1532102.91165
18,3,1,rx,vpp,64,firewall,uk,10,1,1526030.63787
19,3,1,rx,vpp,64,firewall,uk,10,1,1521692.34973
20,3,1,rx,vpp,64,firewall,uk,10,1,1520277.52142
21,3,1,rx,vpp,64,firewall,uk,10,1,1521532.89804
22,3,1,rx,vpp,64,firewall,uk,10,1,1517560.02009
23,3,1,rx,vpp,64,firewall,uk,10,1,1517597.89157
24,3,1,rx,vpp,64,firewall,uk,10,1,1508589.74359
25,3,1,rx,vpp,64,firewall,uk,10,1,1515155.78406
26,3,1,rx,vpp,64,firewall,uk,10,1,1517486.85857
27,3,1,rx,vpp,64,firewall,uk,10,1,1508265.30612
28,3,1,rx,vpp,64,firewall,uk,10,1,1517737.55656
29,3,1,rx,vpp,64,firewall,uk,10,1,1514142.64189
30,3,1,rx,vpp,64,firewall,uk,10,1,1515424.58101
31,3,1,rx,vpp,64,firewall,uk,10,1,1511423.07692
32,3,1,rx,vpp,64,firewall,uk,10,1,1511604.72125
33,3,1,rx,vpp,64,firewall,uk,10,1,1510474.8996
34,3,1,rx,vpp,64,firewall,uk,10,1,1507034.23608
35,3,1,rx,vpp,64,firewall,uk,10,1,1501747.66355
36,3,1,rx,vpp,64,firewall,uk,10,1,1507068.38632
37,3,1,rx,vpp,64,firewall,uk,10,1,1504864.94689
38,3,1,rx,vpp,64,firewall,uk,10,1,1508716.86747
39,3,1,rx,vpp,64,firewall,uk,10,1,1511609.79463
40,3,1,rx,vpp,64,firewall,uk,10,1,1509805.83501
41,3,1,rx,vpp,64,firewall,uk,10,1,1500809.73896
42,3,1,rx,vpp,64,firewall,uk,10,1,1503237.43017
43,3,1,rx,vpp,64,firewall,uk,10,1,1499204.28462
44,3,1,rx,vpp,64,firewall,uk,10,1,1504357.78894
45,3,1,rx,vpp,64,firewall,uk,10,1,1505343.13725
46,3,1,rx,vpp,64,firewall,uk,10,1,1502379.17485
47,3,1,rx,vpp,64,firewall,uk,10,1,1501647.22069
48,3,1,rx,vpp,64,firewall,uk,10,1,1500934.23695
49,3,1,rx,vpp,64,firewall,uk,10,1,1501442.67321
50,3,1,rx,vpp,64,firewall,uk,10,1,1504865.39427
51,3,1,rx,vpp,64,firewall,uk,10,1,1496978.41365
52,3,1,rx,vpp,64,firewall,uk,10,1,1500094.92717
53,3,1,rx,vpp,64,firewall,uk,10,1,1502081.78844
54,3,1,rx,vpp,64,firewall,uk,10,1,1496739.10172
55,3,1,rx,vpp,64,firewall,uk,10,1,1503612.95419
56,3,1,rx,vpp,64,firewall,uk,10,1,1500210.15586
57,3,1,rx,vpp,64,firewall,uk,10,1,1503054.71888
58,3,1,rx,vpp,64,firewall,uk,10,1,1505484.93976
59,3,1,rx,vpp,64,firewall,uk,10,1,1495390.85546
60,3,1,rx,vpp,64,firewall,uk,10,1,1505072.96137
61,3,1,rx,vpp,64,firewall,uk,10,1,1498649.92466
62,3,1,rx,vpp,64,firewall,uk,10,1,1497583.83534
63,3,1,rx,vpp,64,firewall,uk,10,1,1500614.76645
64,3,1,rx,vpp,64,firewall,uk,10,1,1500541.43948
65,3,1,rx,vpp,64,firewall,uk,10,1,1494596.83225
66,3,1,rx,vpp,64,firewall,uk,10,1,1498989.28571
67,3,1,rx,vpp,64,firewall,uk,10,1,1498979.41767
68,3,1,rx,vpp,64,firewall,uk,10,1,1499211.45153
69,3,1,rx,vpp,64,firewall,uk,10,1,1498221.38554
70,3,1,rx,vpp,64,firewall,uk,10,1,1490420.68273
71,3,1,rx,vpp,64,firewall,uk,10,1,1496408.33752
72,3,1,rx,vpp,64,firewall,uk,10,1,1494702.30924
73,3,1,rx,vpp,64,firewall,uk,10,1,1494299.54842
74,3,1,rx,vpp,64,firewall,uk,10,1,1497687.73006
75,3,1,rx,vpp,64,firewall,uk,10,1,1497737.0431
76,3,1,rx,vpp,64,firewall,uk,10,1,1496110.43478
77,3,1,rx,vpp,64,firewall,uk,10,1,1497899.44696
78,3,1,rx,vpp,64,firewall,uk,10,1,1494746.98795
79,3,1,rx,vpp,64,firewall,uk,10,1,1497258.03213
80,3,1,rx,vpp,64,firewall,uk,10,1,1491541.16466
81,3,1,rx,vpp,64,firewall,uk,10,1,1488210.17699
82,3,1,rx,vpp,64,firewall,uk,10,1,1496587.6444
83,3,1,rx,vpp,64,firewall,uk,10,1,1492656.29704
84,3,1,rx,vpp,64,firewall,uk,10,1,1497667.83743
85,3,1,rx,vpp,64,firewall,uk,10,1,1496589.65344
86,3,1,rx,vpp,64,firewall,uk,10,1,1495318.27309
87,3,1,rx,vpp,64,firewall,uk,10,1,1495926.10837
