,repetitions,num_vms,direction,interface,size,vnf,system,fw_size,repetition,pps
0,3,1,rx,vpp,64,firewall,ukebpf,100,2,1032024.25876
1,3,1,rx,vpp,64,firewall,ukebpf,100,2,1030198.69543
2,3,1,rx,vpp,64,firewall,ukebpf,100,2,1032300.55193
3,3,1,rx,vpp,64,firewall,ukebpf,100,2,1033602.32681
4,3,1,rx,vpp,64,firewall,ukebpf,100,2,1035013.67366
5,3,1,rx,vpp,64,firewall,ukebpf,100,2,1024153.61446
6,3,1,rx,vpp,64,firewall,ukebpf,100,2,1028932.40557
7,3,1,rx,vpp,64,firewall,ukebpf,100,2,1023185.18519
8,3,1,rx,vpp,64,firewall,ukebpf,100,2,1020527.37318
9,3,1,rx,vpp,64,firewall,ukebpf,100,2,1021724.03412
10,3,1,rx,vpp,64,firewall,ukebpf,100,2,1021647.44233
11,3,1,rx,vpp,64,firewall,ukebpf,100,2,1023117.31844
12,3,1,rx,vpp,64,firewall,ukebpf,100,2,1020994.91649
13,3,1,rx,vpp,64,firewall,ukebpf,100,2,1023098.29488
14,3,1,rx,vpp,64,firewall,ukebpf,100,2,1015120.52117
15,3,1,rx,vpp,64,firewall,ukebpf,100,2,1021572.80928
16,3,1,rx,vpp,64,firewall,ukebpf,100,2,1021543.10345
17,3,1,rx,vpp,64,firewall,ukebpf,100,2,1015488.68176
18,3,1,rx,vpp,64,firewall,ukebpf,100,2,1012416.08579
19,3,1,rx,vpp,64,firewall,ukebpf,100,2,1014880.40201
20,3,1,rx,vpp,64,firewall,ukebpf,100,2,1013504.0
21,3,1,rx,vpp,64,firewall,ukebpf,100,2,1014165.32663
22,3,1,rx,vpp,64,firewall,ukebpf,100,2,1013582.99227
23,3,1,rx,vpp,64,firewall,ukebpf,100,2,1011046.94168
24,3,1,rx,vpp,64,firewall,ukebpf,100,2,1007360.80402
25,3,1,rx,vpp,64,firewall,ukebpf,100,2,1012388.81988
26,3,1,rx,vpp,64,firewall,ukebpf,100,2,1015850.80645
27,3,1,rx,vpp,64,firewall,ukebpf,100,2,1012489.20141
28,3,1,rx,vpp,64,firewall,ukebpf,100,2,1008409.93477
29,3,1,rx,vpp,64,firewall,ukebpf,100,2,1008350.49628
30,3,1,rx,vpp,64,firewall,ukebpf,100,2,1009668.84094
31,3,1,rx,vpp,64,firewall,ukebpf,100,2,1010548.64594
32,3,1,rx,vpp,64,firewall,ukebpf,100,2,1007410.7322
33,3,1,rx,vpp,64,firewall,ukebpf,100,2,1009783.7431
34,3,1,rx,vpp,64,firewall,ukebpf,100,2,1002679.24528
35,3,1,rx,vpp,64,firewall,ukebpf,100,2,1006520.17381
36,3,1,rx,vpp,64,firewall,ukebpf,100,2,1007275.96224
37,3,1,rx,vpp,64,firewall,ukebpf,100,2,1004019.06673
38,3,1,rx,vpp,64,firewall,ukebpf,100,2,1005227.29553
39,3,1,rx,vpp,64,firewall,ukebpf,100,2,1004524.37147
40,3,1,rx,vpp,64,firewall,ukebpf,100,2,1006476.72253
41,3,1,rx,vpp,64,firewall,ukebpf,100,2,1008358.27521
42,3,1,rx,vpp,64,firewall,ukebpf,100,2,1006063.69107
43,3,1,rx,vpp,64,firewall,ukebpf,100,2,1007716.58291
44,3,1,rx,vpp,64,firewall,ukebpf,100,2,1005097.94073
45,3,1,rx,vpp,64,firewall,ukebpf,100,2,995356.677524
46,3,1,rx,vpp,64,firewall,ukebpf,100,2,1007305.38922
47,3,1,rx,vpp,64,firewall,ukebpf,100,2,1002637.33906
48,3,1,rx,vpp,64,firewall,ukebpf,100,2,1006651.76909
49,3,1,rx,vpp,64,firewall,ukebpf,100,2,1002522.32815
50,3,1,rx,vpp,64,firewall,ukebpf,100,2,1006389.86453
51,3,1,rx,vpp,64,firewall,ukebpf,100,2,1002034.09759
52,3,1,rx,vpp,64,firewall,ukebpf,100,2,1002753.88199
53,3,1,rx,vpp,64,firewall,ukebpf,100,2,1000897.13999
54,3,1,rx,vpp,64,firewall,ukebpf,100,2,1002178.96799
55,3,1,rx,vpp,64,firewall,ukebpf,100,2,1001650.0
56,3,1,rx,vpp,64,firewall,ukebpf,100,2,1003006.53595
57,3,1,rx,vpp,64,firewall,ukebpf,100,2,1003444.05594
58,3,1,rx,vpp,64,firewall,ukebpf,100,2,1003972.41822
59,3,1,rx,vpp,64,firewall,ukebpf,100,2,1007241.84646
60,3,1,rx,vpp,64,firewall,ukebpf,100,2,1005747.27669
61,3,1,rx,vpp,64,firewall,ukebpf,100,2,999252.383342
62,3,1,rx,vpp,64,firewall,ukebpf,100,2,1003339.33002
63,3,1,rx,vpp,64,firewall,ukebpf,100,2,1000414.90433
64,3,1,rx,vpp,64,firewall,ukebpf,100,2,1005439.40336
65,3,1,rx,vpp,64,firewall,ukebpf,100,2,1000929.64824
66,3,1,rx,vpp,64,firewall,ukebpf,100,2,997989.452536
67,3,1,rx,vpp,64,firewall,ukebpf,100,2,1000569.33116
68,3,1,rx,vpp,64,firewall,ukebpf,100,2,999761.689291
69,3,1,rx,vpp,64,firewall,ukebpf,100,2,1004254.55614
70,3,1,rx,vpp,64,firewall,ukebpf,100,2,1001637.26059
71,3,1,rx,vpp,64,firewall,ukebpf,100,2,997037.132543
72,3,1,rx,vpp,64,firewall,ukebpf,100,2,994952.2036
73,3,1,rx,vpp,64,firewall,ukebpf,100,2,1003518.05416
74,3,1,rx,vpp,64,firewall,ukebpf,100,2,999860.511791
75,3,1,rx,vpp,64,firewall,ukebpf,100,2,999309.933775
76,3,1,rx,vpp,64,firewall,ukebpf,100,2,997069.64165
77,3,1,rx,vpp,64,firewall,ukebpf,100,2,997296.10951
78,3,1,rx,vpp,64,firewall,ukebpf,100,2,1003429.93952
79,3,1,rx,vpp,64,firewall,ukebpf,100,2,1000394.88209
80,3,1,rx,vpp,64,firewall,ukebpf,100,2,1003097.29188
81,3,1,rx,vpp,64,firewall,ukebpf,100,2,998819.366853
82,3,1,rx,vpp,64,firewall,ukebpf,100,2,1000050.2008
83,3,1,rx,vpp,64,firewall,ukebpf,100,2,1003104.91637
84,3,1,rx,vpp,64,firewall,ukebpf,100,2,995847.389558
85,3,1,rx,vpp,64,firewall,ukebpf,100,2,1007888.44086
86,3,1,rx,vpp,64,firewall,ukebpf,100,2,1000094.71154
87,3,1,rx,vpp,64,firewall,ukebpf,100,2,998025.210084
88,3,1,rx,vpp,64,firewall,ukebpf,100,2,1004200.16474
89,3,1,rx,vpp,64,firewall,ukebpf,100,2,1000904.73506
90,3,1,rx,vpp,64,firewall,ukebpf,100,2,999671.934866
91,3,1,rx,vpp,64,firewall,ukebpf,100,2,1004953.57834
92,3,1,rx,vpp,64,firewall,ukebpf,100,2,1001519.09548
93,3,1,rx,vpp,64,firewall,ukebpf,100,2,1005150.33113
94,3,1,rx,vpp,64,firewall,ukebpf,100,2,1003039.78495
95,3,1,rx,vpp,64,firewall,ukebpf,100,2,1002043.45127
96,3,1,rx,vpp,64,firewall,ukebpf,100,2,1002068.47936
97,3,1,rx,vpp,64,firewall,ukebpf,100,2,1001120.60302
98,3,1,rx,vpp,64,firewall,ukebpf,100,2,1001234.70411
99,3,1,rx,vpp,64,firewall,ukebpf,100,2,1000891.43921
100,3,1,rx,vpp,64,firewall,ukebpf,100,2,998417.209909
101,3,1,rx,vpp,64,firewall,ukebpf,100,2,998388.465724
102,3,1,rx,vpp,64,firewall,ukebpf,100,2,1001119.80137
