    2.003116] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.009525] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.015840] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.022156] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.028464] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.034778] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.041088] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.047400] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.053706] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.060009] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.066318] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.072623] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.078933] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.085241] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.091555] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.097860] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.104170] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.110472] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.116769] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.123071] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.129372] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.135680] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.141976] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.148278] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.154576] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.160874] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.167178] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.173479] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.179783] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.186084] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.192394] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.198691] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.204991] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.211289] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
[    2.217587] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bef0 caller is 0x102106
[    2.223886] CRIT: [libkvmplat] <trace.c @   86> base is 0x60bf40 caller is 0x10f1c5
