,repetitions,num_vms,direction,interface,size,vnf,system,fw_size,repetition,pps
0,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,3056687.59979
1,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,3051253.65854
2,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,3031896.9697
3,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,3032684.13098
4,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,3033693.81599
5,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,3007120.43796
6,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,3009425.85829
7,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2996373.88193
8,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2992078.54985
9,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2973002.57511
10,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2976744.22111
11,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2968033.68527
12,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2957387.33252
13,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2944288.0
14,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2946342.88587
15,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2929032.92683
16,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2927835.44304
17,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2926007.43187
18,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2921931.59977
19,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2927821.51835
20,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2924667.00201
21,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2907916.75854
22,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2909121.34945
23,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2908408.87693
24,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2895554.49102
25,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2889727.63819
26,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2883959.81919
27,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2878523.17073
28,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2885876.81714
29,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2890082.92683
30,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2880518.1962
31,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2884794.28904
32,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2873994.95459
33,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2872093.02326
34,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2862445.45455
35,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2871907.50529
36,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2872732.12487
37,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2863621.83021
38,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2868488.91129
39,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2862759.51462
40,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2855186.6969
41,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2848722.40437
42,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2850942.71357
43,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2855278.04878
44,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2850614.15525
45,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2851691.33938
46,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2843060.36217
47,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2843350.4902
48,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2847134.2155
49,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2850700.99119
50,3,1,rx,vpp,64,firewall,ukebpfjit,2,1,2846781.69014
