,repetitions,num_vms,direction,interface,size,vnf,system,rate,repetition,pps
0,3,1,rx,vpp,64,mirror,linux,100,0,0.0
1,3,1,rx,vpp,64,mirror,linux,100,0,0.0
2,3,1,rx,vpp,64,mirror,linux,100,0,96527.1966527
3,3,1,rx,vpp,64,mirror,linux,100,0,100296.0
4,3,1,rx,vpp,64,mirror,linux,100,0,100268.0
5,3,1,rx,vpp,64,mirror,linux,100,0,100300.0
6,3,1,rx,vpp,64,mirror,linux,100,0,100307.0
7,3,1,rx,vpp,64,mirror,linux,100,0,96122.0
8,3,1,rx,vpp,64,mirror,linux,100,0,100291.0
9,3,1,rx,vpp,64,mirror,linux,100,0,100301.0
10,3,1,rx,vpp,64,mirror,linux,100,0,100269.0
11,3,1,rx,vpp,64,mirror,linux,100,0,100391.391391
12,3,1,rx,vpp,64,mirror,linux,100,0,100312.0
13,3,1,rx,vpp,64,mirror,linux,100,0,100296.0
14,3,1,rx,vpp,64,mirror,linux,100,0,100291.0
15,3,1,rx,vpp,64,mirror,linux,100,0,100372.372372
16,3,1,rx,vpp,64,mirror,linux,100,0,100305.0
17,3,1,rx,vpp,64,mirror,linux,100,0,100279.0
18,3,1,rx,vpp,64,mirror,linux,100,0,100283.0
19,3,1,rx,vpp,64,mirror,linux,100,0,100286.0
20,3,1,rx,vpp,64,mirror,linux,100,0,100321.0
21,3,1,rx,vpp,64,mirror,linux,100,0,100365.365365
22,3,1,rx,vpp,64,mirror,linux,100,0,100310.0
23,3,1,rx,vpp,64,mirror,linux,100,0,100269.0
24,3,1,rx,vpp,64,mirror,linux,100,0,100302.0
25,3,1,rx,vpp,64,mirror,linux,100,0,100303.0
26,3,1,rx,vpp,64,mirror,linux,100,0,100290.0
27,3,1,rx,vpp,64,mirror,linux,100,0,100282.0
28,3,1,rx,vpp,64,mirror,linux,100,0,100300.0
29,3,1,rx,vpp,64,mirror,linux,100,0,100281.0
30,3,1,rx,vpp,64,mirror,linux,100,0,100305.0
31,3,1,rx,vpp,64,mirror,linux,100,0,100379.379379
32,3,1,rx,vpp,64,mirror,linux,100,0,100371.371371
33,3,1,rx,vpp,64,mirror,linux,100,0,100301.0
34,3,1,rx,vpp,64,mirror,linux,100,0,100295.0
35,3,1,rx,vpp,64,mirror,linux,100,0,100279.0
36,3,1,rx,vpp,64,mirror,linux,100,0,100398.398398
37,3,1,rx,vpp,64,mirror,linux,100,0,100381.381381
38,3,1,rx,vpp,64,mirror,linux,100,0,100304.0
39,3,1,rx,vpp,64,mirror,linux,100,0,100306.0
40,3,1,rx,vpp,64,mirror,linux,100,0,100274.0
41,3,1,rx,vpp,64,mirror,linux,100,0,100310.0
42,3,1,rx,vpp,64,mirror,linux,100,0,100278.0
43,3,1,rx,vpp,64,mirror,linux,100,0,100292.0
44,3,1,rx,vpp,64,mirror,linux,100,0,100292.0
45,3,1,rx,vpp,64,mirror,linux,100,0,100274.0
46,3,1,rx,vpp,64,mirror,linux,100,0,100293.0
47,3,1,rx,vpp,64,mirror,linux,100,0,100377.377377
48,3,1,rx,vpp,64,mirror,linux,100,0,100295.0
49,3,1,rx,vpp,64,mirror,linux,100,0,100300.0
50,3,1,rx,vpp,64,mirror,linux,100,0,100269.0
51,3,1,rx,vpp,64,mirror,linux,100,0,100319.0
52,3,1,rx,vpp,64,mirror,linux,100,0,100379.379379
53,3,1,rx,vpp,64,mirror,linux,100,0,100381.381381
54,3,1,rx,vpp,64,mirror,linux,100,0,100307.0
55,3,1,rx,vpp,64,mirror,linux,100,0,100280.0
56,3,1,rx,vpp,64,mirror,linux,100,0,100297.0
57,3,1,rx,vpp,64,mirror,linux,100,0,100289.0
58,3,1,rx,vpp,64,mirror,linux,100,0,100381.381381
59,3,1,rx,vpp,64,mirror,linux,100,0,100312.0
60,3,1,rx,vpp,64,mirror,linux,100,0,100281.0
61,3,1,rx,vpp,64,mirror,linux,100,0,100270.0
62,3,1,rx,vpp,64,mirror,linux,100,0,100304.0
63,3,1,rx,vpp,64,mirror,linux,100,0,100395.395395
64,3,1,rx,vpp,64,mirror,linux,100,0,100296.0
65,3,1,rx,vpp,64,mirror,linux,100,0,100279.0
66,3,1,rx,vpp,64,mirror,linux,100,0,100300.0
67,3,1,rx,vpp,64,mirror,linux,100,0,100271.0
68,3,1,rx,vpp,64,mirror,linux,100,0,100304.0
69,3,1,rx,vpp,64,mirror,linux,100,0,100286.0
70,3,1,rx,vpp,64,mirror,linux,100,0,100283.0
71,3,1,rx,vpp,64,mirror,linux,100,0,100294.0
72,3,1,rx,vpp,64,mirror,linux,100,0,100301.0
73,3,1,rx,vpp,64,mirror,linux,100,0,100397.397397
74,3,1,rx,vpp,64,mirror,linux,100,0,100351.351351
75,3,1,rx,vpp,64,mirror,linux,100,0,100377.377377
76,3,1,rx,vpp,64,mirror,linux,100,0,100312.0
77,3,1,rx,vpp,64,mirror,linux,100,0,100297.0
78,3,1,rx,vpp,64,mirror,linux,100,0,100114.555256
79,3,1,rx,vpp,64,mirror,linux,100,0,0.0
80,3,1,rx,vpp,64,mirror,linux,100,0,0.0
81,3,1,rx,vpp,64,mirror,linux,100,0,0.0
