,repetitions,num_vms,direction,interface,size,vnf,system,rate,repetition,pps
0,3,1,rx,vpp,64,mirror,uk,100,0,0.0
1,3,1,rx,vpp,64,mirror,uk,100,0,0.0
2,3,1,rx,vpp,64,mirror,uk,100,0,0.0
3,3,1,rx,vpp,64,mirror,uk,100,0,98096.8586387
4,3,1,rx,vpp,64,mirror,uk,100,0,100649.0
5,3,1,rx,vpp,64,mirror,uk,100,0,100654.0
6,3,1,rx,vpp,64,mirror,uk,100,0,100642.0
7,3,1,rx,vpp,64,mirror,uk,100,0,100660.0
8,3,1,rx,vpp,64,mirror,uk,100,0,96146.0
9,3,1,rx,vpp,64,mirror,uk,100,0,100674.0
10,3,1,rx,vpp,64,mirror,uk,100,0,100648.0
11,3,1,rx,vpp,64,mirror,uk,100,0,100631.078224
12,3,1,rx,vpp,64,mirror,uk,100,0,100676.0
13,3,1,rx,vpp,64,mirror,uk,100,0,100654.0
14,3,1,rx,vpp,64,mirror,uk,100,0,100663.0
15,3,1,rx,vpp,64,mirror,uk,100,0,100662.0
16,3,1,rx,vpp,64,mirror,uk,100,0,100573.0
17,3,1,rx,vpp,64,mirror,uk,100,0,100672.0
18,3,1,rx,vpp,64,mirror,uk,100,0,100667.0
19,3,1,rx,vpp,64,mirror,uk,100,0,100672.0
20,3,1,rx,vpp,64,mirror,uk,100,0,100660.0
21,3,1,rx,vpp,64,mirror,uk,100,0,100674.0
22,3,1,rx,vpp,64,mirror,uk,100,0,100674.0
23,3,1,rx,vpp,64,mirror,uk,100,0,100644.0
24,3,1,rx,vpp,64,mirror,uk,100,0,100651.0
25,3,1,rx,vpp,64,mirror,uk,100,0,100577.422577
26,3,1,rx,vpp,64,mirror,uk,100,0,100586.0
27,3,1,rx,vpp,64,mirror,uk,100,0,100667.0
28,3,1,rx,vpp,64,mirror,uk,100,0,100652.0
29,3,1,rx,vpp,64,mirror,uk,100,0,100650.0
30,3,1,rx,vpp,64,mirror,uk,100,0,100651.0
31,3,1,rx,vpp,64,mirror,uk,100,0,100632.0
32,3,1,rx,vpp,64,mirror,uk,100,0,100676.0
33,3,1,rx,vpp,64,mirror,uk,100,0,100676.0
34,3,1,rx,vpp,64,mirror,uk,100,0,100745.745746
35,3,1,rx,vpp,64,mirror,uk,100,0,100651.0
36,3,1,rx,vpp,64,mirror,uk,100,0,100629.0
37,3,1,rx,vpp,64,mirror,uk,100,0,100744.744745
38,3,1,rx,vpp,64,mirror,uk,100,0,100654.0
39,3,1,rx,vpp,64,mirror,uk,100,0,100649.0
40,3,1,rx,vpp,64,mirror,uk,100,0,100649.0
41,3,1,rx,vpp,64,mirror,uk,100,0,100549.0
42,3,1,rx,vpp,64,mirror,uk,100,0,100668.0
43,3,1,rx,vpp,64,mirror,uk,100,0,100638.0
44,3,1,rx,vpp,64,mirror,uk,100,0,100668.0
45,3,1,rx,vpp,64,mirror,uk,100,0,100664.0
46,3,1,rx,vpp,64,mirror,uk,100,0,100650.0
47,3,1,rx,vpp,64,mirror,uk,100,0,100471.0
48,3,1,rx,vpp,64,mirror,uk,100,0,100641.0
49,3,1,rx,vpp,64,mirror,uk,100,0,100708.708709
50,3,1,rx,vpp,64,mirror,uk,100,0,100638.0
51,3,1,rx,vpp,64,mirror,uk,100,0,100616.0
52,3,1,rx,vpp,64,mirror,uk,100,0,100652.0
53,3,1,rx,vpp,64,mirror,uk,100,0,100653.0
54,3,1,rx,vpp,64,mirror,uk,100,0,100744.744745
55,3,1,rx,vpp,64,mirror,uk,100,0,100654.0
56,3,1,rx,vpp,64,mirror,uk,100,0,100647.0
57,3,1,rx,vpp,64,mirror,uk,100,0,100575.0
58,3,1,rx,vpp,64,mirror,uk,100,0,100652.0
59,3,1,rx,vpp,64,mirror,uk,100,0,100647.0
60,3,1,rx,vpp,64,mirror,uk,100,0,100665.0
61,3,1,rx,vpp,64,mirror,uk,100,0,100642.0
62,3,1,rx,vpp,64,mirror,uk,100,0,100660.0
63,3,1,rx,vpp,64,mirror,uk,100,0,100656.0
64,3,1,rx,vpp,64,mirror,uk,100,0,100664.0
65,3,1,rx,vpp,64,mirror,uk,100,0,100654.0
66,3,1,rx,vpp,64,mirror,uk,100,0,100649.0
67,3,1,rx,vpp,64,mirror,uk,100,0,100597.0
68,3,1,rx,vpp,64,mirror,uk,100,0,100563.436563
69,3,1,rx,vpp,64,mirror,uk,100,0,100643.0
70,3,1,rx,vpp,64,mirror,uk,100,0,100664.0
71,3,1,rx,vpp,64,mirror,uk,100,0,100622.0
72,3,1,rx,vpp,64,mirror,uk,100,0,100662.0
73,3,1,rx,vpp,64,mirror,uk,100,0,100660.0
74,3,1,rx,vpp,64,mirror,uk,100,0,100660.0
75,3,1,rx,vpp,64,mirror,uk,100,0,100650.0
76,3,1,rx,vpp,64,mirror,uk,100,0,100670.0
77,3,1,rx,vpp,64,mirror,uk,100,0,100530.0
78,3,1,rx,vpp,64,mirror,uk,100,0,100665.0
79,3,1,rx,vpp,64,mirror,uk,100,0,101200.0
80,3,1,rx,vpp,64,mirror,uk,100,0,0.0
81,3,1,rx,vpp,64,mirror,uk,100,0,0.0
