Time,Device,Direction,PacketRate,Mbit,MbitWithFraming,TotalPackets,TotalBytes
1743087973,Device: id=0,RX,0.00057401346842563,0.35818440429759,0.45002655924569,578,45084
1743087973,Device: id=0,TX,0.00083996426358828,0.45694055939202,0.59133484156615,1297,88196
1743087974,Device: id=0,RX,0.00090094993714799,0.56219276078035,0.70634475072402,1482,115596
1743087974,Device: id=0,TX,0.00087040563214024,0.47350066388429,0.61276556502673,2172,147696
1743087975,Device: id=0,RX,0.00064759773593154,0.40285950953396,0.50647514728301,2133,166218
1743087975,Device: id=0,TX,0.00065754053212709,0.35770204947714,0.46290853461747,2833,192644
1743087976,Device: id=0,RX,0.00068138451292885,0.4251839360676,0.53420545813622,2818,219648
1743087976,Device: id=0,TX,0.00066249308320521,0.36039623726364,0.46639513057647,3499,237932
1743087977,Device: id=0,RX,0.00064560853407337,0.40472194278996,0.5080193082417,3467,270504
1743087977,Device: id=0,TX,0.00066048961199982,0.35714185285002,0.46282019077,4163,282812
1743087978,Device: id=0,RX,0.00075217769272417,0.46935888025988,0.58970731109575,4224,329550
1743087978,Device: id=0,TX,0.00076712341557641,0.41731513807357,0.5400548845658,4935,335308
1743087979,Device: id=0,RX,0.0007520486617688,0.46927836494373,0.58960615082674,4980,388518
1743087979,Device: id=0,TX,0.0007718889703516,0.41990759987127,0.54340983512753,5711,388076
1743087980,Device: id=0,RX,0.00079076298344963,0.4940567760143,0.62057885336624,5775,450606
1743087980,Device: id=0,TX,0.000772923125734,0.41992903473597,0.54359673485341,6488,440844
1743087981,Device: id=0,RX,0.00078985058371515,0.49286676423825,0.61924285763268,6569,512538
1743087981,Device: id=0,TX,0.00076294867226639,0.41558520428099,0.53765699184362,7255,493068
1743087982,Device: id=0,RX,0.00075296516293822,0.46985026167345,0.59032468774357,7326,571584
1743087982,Device: id=0,TX,0.0007509455457629,0.40851437689502,0.52866566421708,8010,544408
1743087983,Device: id=0,RX,0.0007479923965465,0.46736792998683,0.58704671343427,8078,630318
1743087983,Device: id=0,TX,0.00075303814550411,0.40965275115424,0.5301388544349,8767,595884
1743087984,Device: id=0,RX,0.00075403855219575,0.47052005657015,0.59116622492147,8836,689442
1743087984,Device: id=0,TX,0.00074904185342572,0.40801990872609,0.52786660527421,9520,647156
1743087985,Device: id=0,RX,0.00073211515840766,0.45621915251643,0.57335757786165,9572,746772
1743087985,Device: id=0,TX,0.00075005810188764,0.40803160742688,0.5280409037289,10274,698428
1743087986,Device: id=0,RX,0.00075204928465413,0.46927875362418,0.58960663916884,10328,805740
1743087986,Device: id=0,TX,0.00075301987725898,0.40964281322889,0.53012599359032,11031,749904
1743087987,Device: id=0,RX,0.00075503404370375,0.47114124327114,0.59194669026374,11087,864942
1743087987,Device: id=0,TX,0.00075206115311592,0.40912126729506,0.52945105179361,11787,801312
1743087988,Device: id=0,RX,0.00075204876488621,0.469278429289,0.58960623167079,11843,923910
1743087988,Device: id=0,TX,0.00073513427953608,0.39991304806763,0.5175345327934,12526,851564
1743087989,Device: id=0,RX,0.00075204856840577,0.4692783066852,0.58960607763012,12599,982878
1743087989,Device: id=0,TX,0.00073515394924122,0.3993825795802,0.5170072114588,13265,901748
1743087990,Device: id=0,RX,0.00068528918584938,0.4263791734447,0.5360254431806,13288,1036464
1743087990,Device: id=0,TX,0.00070019164056925,0.38090425246967,0.49293491496075,13969,949620
1743087991,Device: id=0,RX,0.00079006336835313,0.49299954185235,0.61940968078885,14083,1098474
1743087991,Device: id=0,TX,0.00079801525737721,0.4341203000132,0.56180274119356,14772,1004224
1743087992,Device: id=0,RX,0.00078976768531018,0.49281503563355,0.61917786528318,14877,1160406
1743087992,Device: id=0,TX,0.00079571016212836,0.43232524528758,0.55963887122812,15572,1058556
1743087993,Device: id=0,RX,0.00079179871463244,0.49408239793064,0.62077019227183,15673,1222494
1743087993,Device: id=0,TX,0.00079381641406751,0.43237727728437,0.55938790353517,16370,1112888
1743087994,Device: id=0,RX,0.00078885609178451,0.49224620127354,0.61846317595906,16466,1284348
1743087994,Device: id=0,TX,0.00079678603649008,0.43399274193281,0.56147850777122,17171,1167424
1743087995,Device: id=0,RX,0.00078881405608832,0.49221997099911,0.61843021997324,17259,1346202
1743087995,Device: id=0,TX,0.00079283582838594,0.43130269064195,0.5581564231837,17968,1221620
1743087996,Device: id=0,RX,0.00078985146036632,0.49286731126858,0.61924354492719,18053,1408134
1743087996,Device: id=0,TX,0.00079480542066666,0.43237414884266,0.55954301614933,18767,1275952
1743087997,Device: id=0,RX,0.00078985113692718,0.49286710944256,0.61924329135091,18847,1470066
1743087997,Device: id=0,TX,0.00083822055063754,0.45599197954682,0.59010726764883,19610,1333276
1743087998,Device: id=0,RX,0.00082527285030858,0.51497025859255,0.64701391464192,19677,1534806
1743087998,Device: id=0,TX,0.00084155962719962,0.45780843719659,0.59245797754853,20456,1390804
1743087999,Device: id=0,RX,0.00082665693963814,0.5158339303342,0.6480990406763,20508,1599624
1743087999,Device: id=0,TX,0.0008405859254174,0.45727874342707,0.59177249149385,21301,1448264
1743088000,Device: id=0,RX,0.00083959006952603,0.52328346380677,0.65761787493094,21352,1665378
1743088000,Device: id=0,TX,0.00084256947817454,0.45835779612695,0.59316891263488,22148,1505860
1743088001,Device: id=0,RX,0.00093117651173836,0.58105414332474,0.73004238520288,22289,1738464
1743088001,Device: id=0,TX,0.00093915103911973,0.51089816528113,0.66116233154029,23093,1570120
1743088002,Device: id=0,RX,0.0009330988988425,0.58225371287772,0.73154953669252,23227,1811628
1743088002,Device: id=0,TX,0.00094104098343749,0.51192629498999,0.66249285233999,24039,1634448
1743088003,Device: id=0,RX,0.00096891008055208,0.6045998902645,0.75962550315283,24201,1887600
1743088003,Device: id=0,TX,0.00094603048407107,0.51464058333466,0.66600546078603,24990,1699116
1743088004,Device: id=0,RX,0.0009490131350905,0.59280493444773,0.74464703606221,25155,1962090
1743088004,Device: id=0,TX,0.00095597565462817,0.52005075611772,0.67300686085823,25951,1764464
1743088005,Device: id=0,RX,0.00095995742037984,0.59839269101099,0.75198587827176,26120,2037282
1743088005,Device: id=0,TX,0.00096790933056603,0.52654267582792,0.68140816871848,26924,1830628
1743088006,Device: id=0,RX,0.0010057176468943,0.62756781166206,0.78848263516515,27131,2116140
1743088006,Device: id=0,TX,0.00098383759645923,0.53520765247382,0.6926216679073,27913,1897880
1743088007,Device: id=0,RX,0.0010196344437598,0.63687262646015,0.80001413746172,28156,2196168
1743088007,Device: id=0,TX,0.0010027392169304,0.54549013401014,0.705928408719,28921,1966424
1743088008,Device: id=0,RX,0.0010405320383323,0.64929199191939,0.81577711805256,29202,2277756
1743088008,Device: id=0,TX,0.0010017467301756,0.54495022121553,0.70522969804363,29928,2034900
1743088009,Device: id=0,RX,0.0010047289240803,0.6269508486261,0.78770747647894,30212,2356536
1743088009,Device: id=0,TX,0.0010017348360131,0.54494375079111,0.70522132455321,30935,2103376
1743088010,Device: id=0,RX,0.001004719150321,0.62694474980028,0.78769981385163,31222,2435316
1743088010,Device: id=0,TX,0.0010037236665794,0.54602567461918,0.70662146127188,31944,2171988
1743088011,Device: id=0,RX,0.001003724629959,0.62632416909443,0.78692010988787,32231,2514018
1743088011,Device: id=0,TX,0.0010027303301975,0.54548529962745,0.70592215245905,32952,2240532
1743088012,Device: id=0,RX,0.0010047195840857,0.62694502046946,0.78770015392317,33241,2592798
1743088012,Device: id=0,TX,0.0010017451895612,0.54549054437565,0.70576977470545,33959,2309076
1743088013,Device: id=0,RX,0.0010037341671453,0.62633012029867,0.78692758704191,34250,2671500
1743088013,Device: id=0,TX,0.0010027296446083,0.54548492666692,0.70592166980426,34967,2377620
1743088014,Device: id=0,RX,0.00099178765274572,0.61825475760489,0.77694078204421,35247,2749188
1743088014,Device: id=0,TX,0.0010027292897373,0.5454847336171,0.70592141997507,35975,2446164
1743088015,Device: id=0,RX,0.00098382894834283,0.61328852639104,0.77070115812589,36236,2826252
