,repetitions,num_vms,direction,interface,size,vnf,system,rate,repetition,pps
0,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,0.0
1,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,0.0
2,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,0.0
3,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,98523.8095238
4,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100794.366197
5,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100653.0
6,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100650.0
7,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100647.0
8,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,96207.0
9,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100646.0
10,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100568.431568
11,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100641.0
12,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100631.0
13,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100665.0
14,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100571.428571
15,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100672.0
16,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100667.0
17,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100653.0
18,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100639.0
19,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100659.0
20,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100571.0
21,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100645.0
22,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100659.0
23,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100514.0
24,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100649.0
25,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100669.0
26,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100662.0
27,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100670.0
28,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100745.745746
29,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100674.0
30,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100599.0
31,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100627.0
32,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100662.0
33,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100642.0
34,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100671.0
35,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100644.0
36,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100663.0
37,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100672.0
38,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100567.432567
39,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100649.0
40,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100565.0
41,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100751.751752
42,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100672.0
43,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100655.0
44,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100740.740741
45,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100650.0
46,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100665.0
47,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100656.0
48,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100653.0
49,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100664.0
50,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100619.0
51,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100640.0
52,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100673.0
53,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100662.0
54,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100662.0
55,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100667.0
56,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100673.0
57,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100642.0
58,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100663.0
59,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100646.0
60,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100601.0
61,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100635.0
62,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100647.0
63,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100654.0
64,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100669.0
65,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100670.0
66,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100657.0
67,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100675.0
68,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100667.0
69,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100672.0
70,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100645.0
71,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100671.0
72,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100648.0
73,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100650.0
74,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100647.0
75,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100644.0
76,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100646.0
77,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100672.0
78,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,100644.0
79,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,127000.0
80,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,0.0
81,3,1,rx,vpp,64,mirror,ukebpfjit,100,2,0.0
