,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,empty,linux,0,main,2149940723209100
1,3,1,empty,linux,0,init done,2149940724082808
2,3,1,empty,linux,0,first packet,2149940724105054
3,3,1,empty,linux,0,total startup time,15675574
4,3,1,empty,linux,0,main,2149946539686549
5,3,1,empty,linux,0,init done,2149946540567730
6,3,1,empty,linux,0,first packet,2149946540588785
7,3,1,empty,linux,0,total startup time,16314843
8,3,1,empty,linux,0,main,2149952366879182
9,3,1,empty,linux,0,init done,2149952367478207
10,3,1,empty,linux,0,first packet,2149952367499282
11,3,1,empty,linux,0,total startup time,14975362
12,3,1,empty,linux,0,main,2149958188077172
13,3,1,empty,linux,0,init done,2149958188944659
14,3,1,empty,linux,0,first packet,2149958188967249
15,3,1,empty,linux,0,total startup time,15338592
16,3,1,empty,linux,0,main,2149964068739869
17,3,1,empty,linux,0,init done,2149964069330486
18,3,1,empty,linux,0,first packet,2149964069351326
19,3,1,empty,linux,0,total startup time,15416049
20,3,1,empty,linux,0,main,2149969876301843
21,3,1,empty,linux,0,init done,2149969877194572
22,3,1,empty,linux,0,first packet,2149969877216351
23,3,1,empty,linux,0,total startup time,15615539
24,3,1,empty,linux,0,main,2149975735379990
25,3,1,empty,linux,0,init done,2149975735956290
26,3,1,empty,linux,0,first packet,2149975735975223
27,3,1,empty,linux,0,total startup time,15159637
28,3,1,empty,linux,0,main,2149981542931841
29,3,1,empty,linux,0,init done,2149981543801993
30,3,1,empty,linux,0,first packet,2149981543823928
31,3,1,empty,linux,0,total startup time,15572731
32,3,1,empty,linux,0,main,2149987392778609
33,3,1,empty,linux,0,init done,2149987393683947
34,3,1,empty,linux,0,first packet,2149987393705992
35,3,1,empty,linux,0,total startup time,16921568
36,3,1,empty,linux,0,main,2149993230163219
37,3,1,empty,linux,0,init done,2149993231079759
38,3,1,empty,linux,0,first packet,2149993231101290
39,3,1,empty,linux,0,total startup time,15816657
