,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,filter,linux,1,main,2735819625566030
1,3,1,filter,linux,1,init done,2735819626497329
2,3,1,filter,linux,1,first packet,2735819626519805
3,3,1,filter,linux,1,total startup time,15836311
4,3,1,filter,linux,1,main,2735825450481553
5,3,1,filter,linux,1,init done,2735825451126140
6,3,1,filter,linux,1,first packet,2735825451146327
7,3,1,filter,linux,1,total startup time,15594342
8,3,1,filter,linux,1,main,2735831292224222
9,3,1,filter,linux,1,init done,2735831293152677
10,3,1,filter,linux,1,first packet,2735831293179460
11,3,1,filter,linux,1,total startup time,15741936
12,3,1,filter,linux,1,main,2735837139193474
13,3,1,filter,linux,1,init done,2735837140107399
14,3,1,filter,linux,1,first packet,2735837140157939
15,3,1,filter,linux,1,total startup time,16581012
16,3,1,filter,linux,1,main,2735842985224115
17,3,1,filter,linux,1,init done,2735842986146782
18,3,1,filter,linux,1,first packet,2735842986195407
19,3,1,filter,linux,1,total startup time,15635370
20,3,1,filter,linux,1,main,2735848831086569
21,3,1,filter,linux,1,init done,2735848832020138
22,3,1,filter,linux,1,first packet,2735848832042901
23,3,1,filter,linux,1,total startup time,16555674
24,3,1,filter,linux,1,main,2735854651698079
25,3,1,filter,linux,1,init done,2735854652625986
26,3,1,filter,linux,1,first packet,2735854652647016
27,3,1,filter,linux,1,total startup time,15668612
28,3,1,filter,linux,1,main,2735860514541618
29,3,1,filter,linux,1,init done,2735860515470151
30,3,1,filter,linux,1,first packet,2735860515492070
31,3,1,filter,linux,1,total startup time,15491694
32,3,1,filter,linux,1,main,2735866342008337
33,3,1,filter,linux,1,init done,2735866342932428
34,3,1,filter,linux,1,first packet,2735866342956088
35,3,1,filter,linux,1,total startup time,16508630
36,3,1,filter,linux,1,main,2735872180117721
37,3,1,filter,linux,1,init done,2735872181036419
38,3,1,filter,linux,1,first packet,2735872181091344
39,3,1,filter,linux,1,total startup time,16744132
