,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,firewall-2,linux,0,main,2153028946922105
1,3,1,firewall-2,linux,0,init done,2153028947995659
2,3,1,firewall-2,linux,0,first packet,2153028948025945
3,3,1,firewall-2,linux,0,total startup time,16294339
4,3,1,firewall-2,linux,0,main,2153034754609858
5,3,1,firewall-2,linux,0,init done,2153034755684314
6,3,1,firewall-2,linux,0,first packet,2153034755706802
7,3,1,firewall-2,linux,0,total startup time,16183090
8,3,1,firewall-2,linux,0,main,2153040601327477
9,3,1,firewall-2,linux,0,init done,2153040602398885
10,3,1,firewall-2,linux,0,first packet,2153040602420705
11,3,1,firewall-2,linux,0,total startup time,15616044
12,3,1,firewall-2,linux,0,main,2153046436157046
13,3,1,firewall-2,linux,0,init done,2153046437110610
14,3,1,firewall-2,linux,0,first packet,2153046437133566
15,3,1,firewall-2,linux,0,total startup time,15609599
16,3,1,firewall-2,linux,0,main,2153052293718007
17,3,1,firewall-2,linux,0,init done,2153052294690007
18,3,1,firewall-2,linux,0,first packet,2153052294712507
19,3,1,firewall-2,linux,0,total startup time,15981869
20,3,1,firewall-2,linux,0,main,2153058102226310
21,3,1,firewall-2,linux,0,init done,2153058103145707
22,3,1,firewall-2,linux,0,first packet,2153058103196677
23,3,1,firewall-2,linux,0,total startup time,1015581362
24,3,1,firewall-2,linux,0,main,2153063974137513
25,3,1,firewall-2,linux,0,init done,2153063975134566
26,3,1,firewall-2,linux,0,first packet,2153063975186682
27,3,1,firewall-2,linux,0,total startup time,1016039274
28,3,1,firewall-2,linux,0,main,2153069861708504
29,3,1,firewall-2,linux,0,init done,2153069862851144
30,3,1,firewall-2,linux,0,first packet,2153069862874299
31,3,1,firewall-2,linux,0,total startup time,16202044
32,3,1,firewall-2,linux,0,main,2153075656162162
33,3,1,firewall-2,linux,0,init done,2153075657314331
34,3,1,firewall-2,linux,0,first packet,2153075657337178
35,3,1,firewall-2,linux,0,total startup time,16171911
36,3,1,firewall-2,linux,0,main,2153081457061062
37,3,1,firewall-2,linux,0,init done,2153081458234005
38,3,1,firewall-2,linux,0,first packet,2153081458256659
39,3,1,firewall-2,linux,0,total startup time,15970773
