,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,ids,linux,0,main,2151182634662963
1,3,1,ids,linux,0,init done,2151182635864592
2,3,1,ids,linux,0,first packet,2151182635887196
3,3,1,ids,linux,0,total startup time,15624898
4,3,1,ids,linux,0,main,2151188470276827
5,3,1,ids,linux,0,init done,2151188471421933
6,3,1,ids,linux,0,first packet,2151188471444462
7,3,1,ids,linux,0,total startup time,15765409
8,3,1,ids,linux,0,main,2151194333076292
9,3,1,ids,linux,0,init done,2151194334090551
10,3,1,ids,linux,0,first packet,2151194334111665
11,3,1,ids,linux,0,total startup time,15623736
12,3,1,ids,linux,0,main,2151200170503624
13,3,1,ids,linux,0,init done,2151200171521249
14,3,1,ids,linux,0,first packet,2151200171544424
15,3,1,ids,linux,0,total startup time,15636425
16,3,1,ids,linux,0,main,2151206046687155
17,3,1,ids,linux,0,init done,2151206047584288
18,3,1,ids,linux,0,first packet,2151206047635857
19,3,1,ids,linux,0,total startup time,1015934485
20,3,1,ids,linux,0,main,2151211868868749
21,3,1,ids,linux,0,init done,2151211869871776
22,3,1,ids,linux,0,first packet,2151211869894034
23,3,1,ids,linux,0,total startup time,15556394
24,3,1,ids,linux,0,main,2151217704449252
25,3,1,ids,linux,0,init done,2151217705453036
26,3,1,ids,linux,0,first packet,2151217705474909
27,3,1,ids,linux,0,total startup time,15324882
28,3,1,ids,linux,0,main,2151223583850470
29,3,1,ids,linux,0,init done,2151223584857463
30,3,1,ids,linux,0,first packet,2151223584881248
31,3,1,ids,linux,0,total startup time,16680817
32,3,1,ids,linux,0,main,2151229404159767
33,3,1,ids,linux,0,init done,2151229404764145
34,3,1,ids,linux,0,first packet,2151229404783325
35,3,1,ids,linux,0,total startup time,14608609
36,3,1,ids,linux,0,main,2151235253112709
37,3,1,ids,linux,0,init done,2151235254105502
38,3,1,ids,linux,0,first packet,2151235254131825
39,3,1,ids,linux,0,total startup time,15820035
