,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,mirror,linux,2,main,2151930901295124
1,3,1,mirror,linux,2,init done,2151930902182948
2,3,1,mirror,linux,2,first packet,2151930902211949
3,3,1,mirror,linux,2,total startup time,15838952
4,3,1,mirror,linux,2,main,2151936726604200
5,3,1,mirror,linux,2,init done,2151936727502451
6,3,1,mirror,linux,2,first packet,2151936727527888
7,3,1,mirror,linux,2,total startup time,15564018
8,3,1,mirror,linux,2,main,2151942544084747
9,3,1,mirror,linux,2,init done,2151942544976177
10,3,1,mirror,linux,2,first packet,2151942545006957
11,3,1,mirror,linux,2,total startup time,15627859
12,3,1,mirror,linux,2,main,2151948387202483
13,3,1,mirror,linux,2,init done,2151948388097160
14,3,1,mirror,linux,2,first packet,2151948388124234
15,3,1,mirror,linux,2,total startup time,15872936
16,3,1,mirror,linux,2,main,2151954231860798
17,3,1,mirror,linux,2,init done,2151954232769629
18,3,1,mirror,linux,2,first packet,2151954232795863
19,3,1,mirror,linux,2,total startup time,15415679
20,3,1,mirror,linux,2,main,2151960068694592
21,3,1,mirror,linux,2,init done,2151960069313886
22,3,1,mirror,linux,2,first packet,2151960069336477
23,3,1,mirror,linux,2,total startup time,14902319
24,3,1,mirror,linux,2,main,2151965899317894
25,3,1,mirror,linux,2,init done,2151965900236519
26,3,1,mirror,linux,2,first packet,2151965900265457
27,3,1,mirror,linux,2,total startup time,15360000
28,3,1,mirror,linux,2,main,2151971768503418
29,3,1,mirror,linux,2,init done,2151971769419705
30,3,1,mirror,linux,2,first packet,2151971769446055
31,3,1,mirror,linux,2,total startup time,16091084
32,3,1,mirror,linux,2,main,2151977597355020
33,3,1,mirror,linux,2,init done,2151977598243239
34,3,1,mirror,linux,2,first packet,2151977598268326
35,3,1,mirror,linux,2,total startup time,15578056
36,3,1,mirror,linux,2,main,2151983449880770
37,3,1,mirror,linux,2,init done,2151983450782803
38,3,1,mirror,linux,2,first packet,2151983450808592
39,3,1,mirror,linux,2,total startup time,15858062
