,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,empty,uk,0,click main(),107331719
1,3,1,empty,uk,0,print config,108745709
2,3,1,empty,uk,0,print config done,126113518
3,3,1,empty,uk,0,initialize elements,129331870
4,3,1,empty,uk,0,initialize elements done,132954126
5,3,1,empty,uk,0,first packet,143101458
6,3,1,empty,uk,0,total startup time,279001337
7,3,1,empty,uk,0,click main(),107221061
8,3,1,empty,uk,0,print config,108628299
9,3,1,empty,uk,0,print config done,125877989
10,3,1,empty,uk,0,initialize elements,129073884
11,3,1,empty,uk,0,initialize elements done,132661999
12,3,1,empty,uk,0,first packet,142800794
13,3,1,empty,uk,0,total startup time,278183569
14,3,1,empty,uk,0,click main(),107299797
15,3,1,empty,uk,0,print config,108709300
16,3,1,empty,uk,0,print config done,125977106
17,3,1,empty,uk,0,initialize elements,129177157
18,3,1,empty,uk,0,initialize elements done,132733247
19,3,1,empty,uk,0,first packet,142786413
20,3,1,empty,uk,0,total startup time,276555759
21,3,1,empty,uk,0,click main(),107309712
22,3,1,empty,uk,0,print config,108722950
23,3,1,empty,uk,0,print config done,126009964
24,3,1,empty,uk,0,initialize elements,129206140
25,3,1,empty,uk,0,initialize elements done,132820789
26,3,1,empty,uk,0,first packet,142934409
27,3,1,empty,uk,0,total startup time,279373664
28,3,1,empty,uk,0,click main(),107308221
29,3,1,empty,uk,0,print config,108723064
30,3,1,empty,uk,0,print config done,126109416
31,3,1,empty,uk,0,initialize elements,129315859
32,3,1,empty,uk,0,initialize elements done,132857416
33,3,1,empty,uk,0,first packet,142935407
34,3,1,empty,uk,0,total startup time,276918726
35,3,1,empty,uk,0,click main(),107295713
36,3,1,empty,uk,0,print config,108707515
37,3,1,empty,uk,0,print config done,126036263
38,3,1,empty,uk,0,initialize elements,129252469
39,3,1,empty,uk,0,initialize elements done,132777472
40,3,1,empty,uk,0,first packet,142879279
41,3,1,empty,uk,0,total startup time,276820336
42,3,1,empty,uk,0,click main(),107290906
43,3,1,empty,uk,0,print config,108706835
44,3,1,empty,uk,0,print config done,126128452
45,3,1,empty,uk,0,initialize elements,129355316
46,3,1,empty,uk,0,initialize elements done,132911641
47,3,1,empty,uk,0,first packet,143009455
48,3,1,empty,uk,0,total startup time,276776479
49,3,1,empty,uk,0,click main(),107259036
50,3,1,empty,uk,0,print config,108684874
51,3,1,empty,uk,0,print config done,126028021
52,3,1,empty,uk,0,initialize elements,129253796
53,3,1,empty,uk,0,initialize elements done,132895091
54,3,1,empty,uk,0,first packet,143076530
55,3,1,empty,uk,0,total startup time,278606191
56,3,1,empty,uk,0,click main(),107296679
57,3,1,empty,uk,0,print config,108727260
58,3,1,empty,uk,0,print config done,126077890
59,3,1,empty,uk,0,initialize elements,129297441
60,3,1,empty,uk,0,initialize elements done,132929149
61,3,1,empty,uk,0,first packet,143040308
62,3,1,empty,uk,0,total startup time,280665053
63,3,1,empty,uk,0,click main(),107268121
64,3,1,empty,uk,0,print config,108676054
65,3,1,empty,uk,0,print config done,125853001
66,3,1,empty,uk,0,initialize elements,129044459
67,3,1,empty,uk,0,initialize elements done,132643178
68,3,1,empty,uk,0,first packet,142764476
69,3,1,empty,uk,0,total startup time,277702131
