,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,filter,uk,1,click main(),107272029
1,3,1,filter,uk,1,print config,108699481
2,3,1,filter,uk,1,print config done,152757888
3,3,1,filter,uk,1,initialize elements,156015846
4,3,1,filter,uk,1,initialize elements done,159605355
5,3,1,filter,uk,1,first packet,169713145
6,3,1,filter,uk,1,total startup time,307706123
7,3,1,filter,uk,1,click main(),107315697
8,3,1,filter,uk,1,print config,108747534
9,3,1,filter,uk,1,print config done,152892338
10,3,1,filter,uk,1,initialize elements,156138125
11,3,1,filter,uk,1,initialize elements done,159731278
12,3,1,filter,uk,1,first packet,169880989
13,3,1,filter,uk,1,total startup time,304298091
14,3,1,filter,uk,1,click main(),107380437
15,3,1,filter,uk,1,print config,108809791
16,3,1,filter,uk,1,print config done,153422592
17,3,1,filter,uk,1,initialize elements,156703001
18,3,1,filter,uk,1,initialize elements done,160266352
19,3,1,filter,uk,1,first packet,170729823
20,3,1,filter,uk,1,total startup time,306029798
21,3,1,filter,uk,1,click main(),107296948
22,3,1,filter,uk,1,print config,108705386
23,3,1,filter,uk,1,print config done,152694545
24,3,1,filter,uk,1,initialize elements,155940590
25,3,1,filter,uk,1,initialize elements done,159466982
26,3,1,filter,uk,1,first packet,169796898
27,3,1,filter,uk,1,total startup time,304620250
28,3,1,filter,uk,1,click main(),107294509
29,3,1,filter,uk,1,print config,108712746
30,3,1,filter,uk,1,print config done,152578677
31,3,1,filter,uk,1,initialize elements,155813411
32,3,1,filter,uk,1,initialize elements done,159380667
33,3,1,filter,uk,1,first packet,169417233
34,3,1,filter,uk,1,total startup time,303666404
35,3,1,filter,uk,1,click main(),107275681
36,3,1,filter,uk,1,print config,108699820
37,3,1,filter,uk,1,print config done,152593290
38,3,1,filter,uk,1,initialize elements,155822607
39,3,1,filter,uk,1,initialize elements done,159344294
40,3,1,filter,uk,1,first packet,169630020
41,3,1,filter,uk,1,total startup time,304000585
42,3,1,filter,uk,1,click main(),107339777
43,3,1,filter,uk,1,print config,108764912
44,3,1,filter,uk,1,print config done,152754832
45,3,1,filter,uk,1,initialize elements,156017454
46,3,1,filter,uk,1,initialize elements done,159547920
47,3,1,filter,uk,1,first packet,169759074
48,3,1,filter,uk,1,total startup time,303593350
49,3,1,filter,uk,1,click main(),107275582
50,3,1,filter,uk,1,print config,108695832
51,3,1,filter,uk,1,print config done,152542795
52,3,1,filter,uk,1,initialize elements,155799469
53,3,1,filter,uk,1,initialize elements done,159383531
54,3,1,filter,uk,1,first packet,169425596
55,3,1,filter,uk,1,total startup time,305000726
56,3,1,filter,uk,1,click main(),107258164
57,3,1,filter,uk,1,print config,108679146
58,3,1,filter,uk,1,print config done,152562353
59,3,1,filter,uk,1,initialize elements,155819508
60,3,1,filter,uk,1,initialize elements done,159428642
61,3,1,filter,uk,1,first packet,169489963
62,3,1,filter,uk,1,total startup time,303515977
63,3,1,filter,uk,1,click main(),107234914
64,3,1,filter,uk,1,print config,108644411
65,3,1,filter,uk,1,print config done,152326435
66,3,1,filter,uk,1,initialize elements,155565032
67,3,1,filter,uk,1,initialize elements done,159130183
68,3,1,filter,uk,1,first packet,169173497
69,3,1,filter,uk,1,total startup time,302254266
