,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,firewall-10000,uk,1,click main(),107199335
1,3,1,firewall-10000,uk,1,print config,108640121
2,3,1,firewall-10000,uk,1,print config done,25038644913
3,3,1,firewall-10000,uk,1,initialize elements,25042451633
4,3,1,firewall-10000,uk,1,initialize elements done,28116914641
5,3,1,firewall-10000,uk,1,first packet,28127122196
6,3,1,firewall-10000,uk,1,total startup time,28265720502
7,3,1,firewall-10000,uk,1,click main(),107286051
8,3,1,firewall-10000,uk,1,print config,108731045
9,3,1,firewall-10000,uk,1,print config done,25186932484
10,3,1,firewall-10000,uk,1,initialize elements,25190836288
11,3,1,firewall-10000,uk,1,initialize elements done,28259885347
12,3,1,firewall-10000,uk,1,first packet,28270119531
13,3,1,firewall-10000,uk,1,total startup time,28407471411
14,3,1,firewall-10000,uk,1,click main(),107301635
15,3,1,firewall-10000,uk,1,print config,108747051
16,3,1,firewall-10000,uk,1,print config done,25043786714
17,3,1,firewall-10000,uk,1,initialize elements,25047585430
18,3,1,firewall-10000,uk,1,initialize elements done,28116256878
19,3,1,firewall-10000,uk,1,first packet,28126420842
20,3,1,firewall-10000,uk,1,total startup time,28264215447
21,3,1,firewall-10000,uk,1,click main(),107254004
22,3,1,firewall-10000,uk,1,print config,108704463
23,3,1,firewall-10000,uk,1,print config done,25051268382
24,3,1,firewall-10000,uk,1,initialize elements,25055071294
25,3,1,firewall-10000,uk,1,initialize elements done,28129394124
26,3,1,firewall-10000,uk,1,first packet,28139624464
27,3,1,firewall-10000,uk,1,total startup time,28276902673
28,3,1,firewall-10000,uk,1,click main(),107243052
29,3,1,firewall-10000,uk,1,print config,108687158
30,3,1,firewall-10000,uk,1,print config done,25190440177
31,3,1,firewall-10000,uk,1,initialize elements,25194346459
32,3,1,firewall-10000,uk,1,initialize elements done,28262649785
33,3,1,firewall-10000,uk,1,first packet,28272836675
34,3,1,firewall-10000,uk,1,total startup time,28409170082
35,3,1,firewall-10000,uk,1,click main(),107281883
36,3,1,firewall-10000,uk,1,print config,108741469
37,3,1,firewall-10000,uk,1,print config done,25088823587
38,3,1,firewall-10000,uk,1,initialize elements,25092673711
39,3,1,firewall-10000,uk,1,initialize elements done,28169167809
40,3,1,firewall-10000,uk,1,first packet,28179420694
41,3,1,firewall-10000,uk,1,total startup time,28314943112
42,3,1,firewall-10000,uk,1,click main(),107286987
43,3,1,firewall-10000,uk,1,print config,108730891
44,3,1,firewall-10000,uk,1,print config done,25041063824
45,3,1,firewall-10000,uk,1,initialize elements,25044868529
46,3,1,firewall-10000,uk,1,initialize elements done,28118354235
47,3,1,firewall-10000,uk,1,first packet,28128475829
48,3,1,firewall-10000,uk,1,total startup time,28264732027
49,3,1,firewall-10000,uk,1,click main(),107295019
50,3,1,firewall-10000,uk,1,print config,108741841
51,3,1,firewall-10000,uk,1,print config done,25028048983
52,3,1,firewall-10000,uk,1,initialize elements,25031940610
53,3,1,firewall-10000,uk,1,initialize elements done,28099764968
54,3,1,firewall-10000,uk,1,first packet,28109966279
55,3,1,firewall-10000,uk,1,total startup time,28246701745
56,3,1,firewall-10000,uk,1,click main(),107227341
57,3,1,firewall-10000,uk,1,print config,108670187
58,3,1,firewall-10000,uk,1,print config done,25007338327
59,3,1,firewall-10000,uk,1,initialize elements,25011152450
60,3,1,firewall-10000,uk,1,initialize elements done,28087954044
61,3,1,firewall-10000,uk,1,first packet,28098201120
62,3,1,firewall-10000,uk,1,total startup time,28233652452
63,3,1,firewall-10000,uk,1,click main(),107226238
64,3,1,firewall-10000,uk,1,print config,108669461
65,3,1,firewall-10000,uk,1,print config done,25051810251
66,3,1,firewall-10000,uk,1,initialize elements,25055614693
67,3,1,firewall-10000,uk,1,initialize elements done,28129002035
68,3,1,firewall-10000,uk,1,first packet,28139221810
69,3,1,firewall-10000,uk,1,total startup time,28274083940
