,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,ids,uk,1,click main(),107308745
1,3,1,ids,uk,1,print config,108737760
2,3,1,ids,uk,1,print config done,126994341
3,3,1,ids,uk,1,initialize elements,130222053
4,3,1,ids,uk,1,initialize elements done,133868157
5,3,1,ids,uk,1,first packet,144043302
6,3,1,ids,uk,1,total startup time,280719702
7,3,1,ids,uk,1,click main(),107321953
8,3,1,ids,uk,1,print config,108742031
9,3,1,ids,uk,1,print config done,126971345
10,3,1,ids,uk,1,initialize elements,130184886
11,3,1,ids,uk,1,initialize elements done,133812361
12,3,1,ids,uk,1,first packet,143925886
13,3,1,ids,uk,1,total startup time,280989333
14,3,1,ids,uk,1,click main(),107315905
15,3,1,ids,uk,1,print config,108739886
16,3,1,ids,uk,1,print config done,126955995
17,3,1,ids,uk,1,initialize elements,130167859
18,3,1,ids,uk,1,initialize elements done,133801181
19,3,1,ids,uk,1,first packet,143931750
20,3,1,ids,uk,1,total startup time,278048200
21,3,1,ids,uk,1,click main(),107252001
22,3,1,ids,uk,1,print config,108678601
23,3,1,ids,uk,1,print config done,126778190
24,3,1,ids,uk,1,initialize elements,129989204
25,3,1,ids,uk,1,initialize elements done,133591209
26,3,1,ids,uk,1,first packet,143704405
27,3,1,ids,uk,1,total startup time,280280577
28,3,1,ids,uk,1,click main(),107287539
29,3,1,ids,uk,1,print config,108701468
30,3,1,ids,uk,1,print config done,126839847
31,3,1,ids,uk,1,initialize elements,130042536
32,3,1,ids,uk,1,initialize elements done,133693069
33,3,1,ids,uk,1,first packet,143791458
34,3,1,ids,uk,1,total startup time,280560107
35,3,1,ids,uk,1,click main(),107312216
36,3,1,ids,uk,1,print config,108716606
37,3,1,ids,uk,1,print config done,126807892
38,3,1,ids,uk,1,initialize elements,130008959
39,3,1,ids,uk,1,initialize elements done,133645182
40,3,1,ids,uk,1,first packet,143753808
41,3,1,ids,uk,1,total startup time,278591696
42,3,1,ids,uk,1,click main(),107246274
43,3,1,ids,uk,1,print config,108666644
44,3,1,ids,uk,1,print config done,126832815
45,3,1,ids,uk,1,initialize elements,130038470
46,3,1,ids,uk,1,initialize elements done,133647111
47,3,1,ids,uk,1,first packet,143746186
48,3,1,ids,uk,1,total startup time,280651806
49,3,1,ids,uk,1,click main(),107273460
50,3,1,ids,uk,1,print config,108680147
51,3,1,ids,uk,1,print config done,126811440
52,3,1,ids,uk,1,initialize elements,130009583
53,3,1,ids,uk,1,initialize elements done,133642523
54,3,1,ids,uk,1,first packet,143723472
55,3,1,ids,uk,1,total startup time,279805090
56,3,1,ids,uk,1,click main(),107235117
57,3,1,ids,uk,1,print config,108642125
58,3,1,ids,uk,1,print config done,126853962
59,3,1,ids,uk,1,initialize elements,130084358
60,3,1,ids,uk,1,initialize elements done,133728089
61,3,1,ids,uk,1,first packet,143811037
62,3,1,ids,uk,1,total startup time,280452230
63,3,1,ids,uk,1,click main(),107254489
64,3,1,ids,uk,1,print config,108671542
65,3,1,ids,uk,1,print config done,126942914
66,3,1,ids,uk,1,initialize elements,130162576
67,3,1,ids,uk,1,initialize elements done,133781300
68,3,1,ids,uk,1,first packet,143923591
69,3,1,ids,uk,1,total startup time,278198114
