,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,mirror,uk,2,click main(),107298740
1,3,1,mirror,uk,2,print config,108716539
2,3,1,mirror,uk,2,print config done,126531278
3,3,1,mirror,uk,2,initialize elements,129741003
4,3,1,mirror,uk,2,initialize elements done,133348136
5,3,1,mirror,uk,2,first packet,143556192
6,3,1,mirror,uk,2,total startup time,280472276
7,3,1,mirror,uk,2,click main(),107303259
8,3,1,mirror,uk,2,print config,108717057
9,3,1,mirror,uk,2,print config done,126451696
10,3,1,mirror,uk,2,initialize elements,129669820
11,3,1,mirror,uk,2,initialize elements done,133282365
12,3,1,mirror,uk,2,first packet,143399246
13,3,1,mirror,uk,2,total startup time,277244347
14,3,1,mirror,uk,2,click main(),107259773
15,3,1,mirror,uk,2,print config,108685895
16,3,1,mirror,uk,2,print config done,126393268
17,3,1,mirror,uk,2,initialize elements,129603798
18,3,1,mirror,uk,2,initialize elements done,133137693
19,3,1,mirror,uk,2,first packet,143200502
20,3,1,mirror,uk,2,total startup time,278573007
21,3,1,mirror,uk,2,click main(),107293385
22,3,1,mirror,uk,2,print config,108712487
23,3,1,mirror,uk,2,print config done,126379098
24,3,1,mirror,uk,2,initialize elements,129576987
25,3,1,mirror,uk,2,initialize elements done,133188129
26,3,1,mirror,uk,2,first packet,143287483
27,3,1,mirror,uk,2,total startup time,278545055
28,3,1,mirror,uk,2,click main(),107166684
29,3,1,mirror,uk,2,print config,108571615
30,3,1,mirror,uk,2,print config done,126136588
31,3,1,mirror,uk,2,initialize elements,129336800
32,3,1,mirror,uk,2,initialize elements done,132952985
33,3,1,mirror,uk,2,first packet,143036120
34,3,1,mirror,uk,2,total startup time,276327021
35,3,1,mirror,uk,2,click main(),107320668
36,3,1,mirror,uk,2,print config,108743351
37,3,1,mirror,uk,2,print config done,126465403
38,3,1,mirror,uk,2,initialize elements,129677602
39,3,1,mirror,uk,2,initialize elements done,133296147
40,3,1,mirror,uk,2,first packet,143406130
41,3,1,mirror,uk,2,total startup time,277035504
42,3,1,mirror,uk,2,click main(),107300024
43,3,1,mirror,uk,2,print config,108720545
44,3,1,mirror,uk,2,print config done,126501988
45,3,1,mirror,uk,2,initialize elements,129725085
46,3,1,mirror,uk,2,initialize elements done,133357128
47,3,1,mirror,uk,2,first packet,143516864
48,3,1,mirror,uk,2,total startup time,278444865
49,3,1,mirror,uk,2,click main(),107287006
50,3,1,mirror,uk,2,print config,108715715
51,3,1,mirror,uk,2,print config done,126468873
52,3,1,mirror,uk,2,initialize elements,129680637
53,3,1,mirror,uk,2,initialize elements done,133163199
54,3,1,mirror,uk,2,first packet,143310609
55,3,1,mirror,uk,2,total startup time,278814864
56,3,1,mirror,uk,2,click main(),107253403
57,3,1,mirror,uk,2,print config,108672147
58,3,1,mirror,uk,2,print config done,126413249
59,3,1,mirror,uk,2,initialize elements,129619030
60,3,1,mirror,uk,2,initialize elements done,133327615
61,3,1,mirror,uk,2,first packet,143404912
62,3,1,mirror,uk,2,total startup time,277704417
63,3,1,mirror,uk,2,click main(),107318028
64,3,1,mirror,uk,2,print config,108737950
65,3,1,mirror,uk,2,print config done,126467419
66,3,1,mirror,uk,2,initialize elements,129683525
67,3,1,mirror,uk,2,initialize elements done,133299701
68,3,1,mirror,uk,2,first packet,143471960
69,3,1,mirror,uk,2,total startup time,278401931
