,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,nat,uk,2,click main(),107283786
1,3,1,nat,uk,2,print config,108691246
2,3,1,nat,uk,2,print config done,520322682
3,3,1,nat,uk,2,initialize elements,523672262
4,3,1,nat,uk,2,initialize elements done,527510349
5,3,1,nat,uk,2,first packet,537581359
6,3,1,nat,uk,2,total startup time,672435487
7,3,1,nat,uk,2,click main(),107287498
8,3,1,nat,uk,2,print config,108713593
9,3,1,nat,uk,2,print config done,521983079
10,3,1,nat,uk,2,initialize elements,525344284
11,3,1,nat,uk,2,initialize elements done,529150419
12,3,1,nat,uk,2,first packet,539469500
13,3,1,nat,uk,2,total startup time,676508072
14,3,1,nat,uk,2,click main(),107237732
15,3,1,nat,uk,2,print config,108646822
16,3,1,nat,uk,2,print config done,521377362
17,3,1,nat,uk,2,initialize elements,524734032
18,3,1,nat,uk,2,initialize elements done,528666939
19,3,1,nat,uk,2,first packet,538830412
20,3,1,nat,uk,2,total startup time,675813683
21,3,1,nat,uk,2,click main(),107288427
22,3,1,nat,uk,2,print config,108704007
23,3,1,nat,uk,2,print config done,522438634
24,3,1,nat,uk,2,initialize elements,525810569
25,3,1,nat,uk,2,initialize elements done,529746268
26,3,1,nat,uk,2,first packet,539869008
27,3,1,nat,uk,2,total startup time,674739885
28,3,1,nat,uk,2,click main(),107234092
29,3,1,nat,uk,2,print config,108642131
30,3,1,nat,uk,2,print config done,519860189
31,3,1,nat,uk,2,initialize elements,523207624
32,3,1,nat,uk,2,initialize elements done,527111760
33,3,1,nat,uk,2,first packet,537185455
34,3,1,nat,uk,2,total startup time,673600350
35,3,1,nat,uk,2,click main(),107285750
36,3,1,nat,uk,2,print config,108709516
37,3,1,nat,uk,2,print config done,521374536
38,3,1,nat,uk,2,initialize elements,524730096
39,3,1,nat,uk,2,initialize elements done,528678329
40,3,1,nat,uk,2,first packet,538810804
41,3,1,nat,uk,2,total startup time,673880692
42,3,1,nat,uk,2,click main(),107388717
43,3,1,nat,uk,2,print config,108827872
44,3,1,nat,uk,2,print config done,523165029
45,3,1,nat,uk,2,initialize elements,526531267
46,3,1,nat,uk,2,initialize elements done,530469752
47,3,1,nat,uk,2,first packet,540665070
48,3,1,nat,uk,2,total startup time,677352955
49,3,1,nat,uk,2,click main(),107249788
50,3,1,nat,uk,2,print config,108669646
51,3,1,nat,uk,2,print config done,520099450
52,3,1,nat,uk,2,initialize elements,523442277
53,3,1,nat,uk,2,initialize elements done,527363237
54,3,1,nat,uk,2,first packet,537477900
55,3,1,nat,uk,2,total startup time,674299855
56,3,1,nat,uk,2,click main(),107291238
57,3,1,nat,uk,2,print config,108711742
58,3,1,nat,uk,2,print config done,520938500
59,3,1,nat,uk,2,initialize elements,524300986
60,3,1,nat,uk,2,initialize elements done,528221333
61,3,1,nat,uk,2,first packet,538331978
62,3,1,nat,uk,2,total startup time,672944864
63,3,1,nat,uk,2,click main(),107274157
64,3,1,nat,uk,2,print config,108681826
65,3,1,nat,uk,2,print config done,521612364
66,3,1,nat,uk,2,initialize elements,524992835
67,3,1,nat,uk,2,initialize elements done,528864819
68,3,1,nat,uk,2,first packet,538923937
69,3,1,nat,uk,2,total startup time,675997233
