group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
live-reconfigure,,empty-jit,,,73853574.0,ns,3
live-reconfigure,,empty-jit,,,73908929.0,ns,3
live-reconfigure,,empty-jit,,,74144167.0,ns,3
live-reconfigure,,empty-jit,,,73963541.0,ns,3
live-reconfigure,,empty-jit,,,73848379.0,ns,3
live-reconfigure,,empty-jit,,,73896101.0,ns,3
live-reconfigure,,empty-jit,,,73888732.0,ns,3
live-reconfigure,,empty-jit,,,74099785.0,ns,3
live-reconfigure,,empty-jit,,,73977680.0,ns,3
live-reconfigure,,empty-jit,,,73914882.0,ns,3
live-reconfigure,,empty-jit,,,74046925.0,ns,3
live-reconfigure,,empty-jit,,,73937293.0,ns,3
live-reconfigure,,empty-jit,,,73957198.0,ns,3
live-reconfigure,,empty-jit,,,73915809.0,ns,3
live-reconfigure,,empty-jit,,,73904352.0,ns,3
live-reconfigure,,empty-jit,,,73949731.0,ns,3
live-reconfigure,,empty-jit,,,74184606.0,ns,3
live-reconfigure,,empty-jit,,,73939268.0,ns,3
live-reconfigure,,empty-jit,,,73972152.0,ns,3
live-reconfigure,,empty-jit,,,74096779.0,ns,3
live-reconfigure,,empty-jit,,,73924983.0,ns,3
live-reconfigure,,empty-jit,,,73938264.0,ns,3
live-reconfigure,,empty-jit,,,73911875.0,ns,3
live-reconfigure,,empty-jit,,,73974596.0,ns,3
live-reconfigure,,empty-jit,,,73980888.0,ns,3
live-reconfigure,,empty-jit,,,74119073.0,ns,3
live-reconfigure,,empty-jit,,,74005775.0,ns,3
live-reconfigure,,empty-jit,,,73972123.0,ns,3
live-reconfigure,,empty-jit,,,73956700.0,ns,3
live-reconfigure,,empty-jit,,,74011273.0,ns,3
live-reconfigure,,empty-jit,,,74048477.0,ns,3
live-reconfigure,,empty-jit,,,73855015.0,ns,3
live-reconfigure,,empty-jit,,,73860653.0,ns,3
live-reconfigure,,empty-jit,,,73921281.0,ns,3
live-reconfigure,,empty-jit,,,73951655.0,ns,3
live-reconfigure,,empty-jit,,,73944594.0,ns,3
live-reconfigure,,empty-jit,,,73921960.0,ns,3
live-reconfigure,,empty-jit,,,73855284.0,ns,3
live-reconfigure,,empty-jit,,,73949186.0,ns,3
live-reconfigure,,empty-jit,,,73893462.0,ns,3
live-reconfigure,,empty-jit,,,73880638.0,ns,3
live-reconfigure,,empty-jit,,,73889037.0,ns,3
live-reconfigure,,empty-jit,,,73939015.0,ns,3
live-reconfigure,,empty-jit,,,74314569.0,ns,3
live-reconfigure,,empty-jit,,,73920962.0,ns,3
live-reconfigure,,empty-jit,,,73882579.0,ns,3
live-reconfigure,,empty-jit,,,73889765.0,ns,3
live-reconfigure,,empty-jit,,,74000144.0,ns,3
live-reconfigure,,empty-jit,,,73810254.0,ns,3
live-reconfigure,,empty-jit,,,73843457.0,ns,3
live-reconfigure,,empty-jit,,,73792708.0,ns,3
live-reconfigure,,empty-jit,,,73899839.0,ns,3
live-reconfigure,,empty-jit,,,73865805.0,ns,3
live-reconfigure,,empty-jit,,,73871162.0,ns,3
live-reconfigure,,empty-jit,,,73858798.0,ns,3
live-reconfigure,,empty-jit,,,73810786.0,ns,3
live-reconfigure,,empty-jit,,,73809759.0,ns,3
live-reconfigure,,empty-jit,,,73964563.0,ns,3
live-reconfigure,,empty-jit,,,73723972.0,ns,3
live-reconfigure,,empty-jit,,,73763992.0,ns,3
live-reconfigure,,empty-jit,,,73766272.0,ns,3
live-reconfigure,,empty-jit,,,73788529.0,ns,3
live-reconfigure,,empty-jit,,,73740935.0,ns,3
live-reconfigure,,empty-jit,,,73809829.0,ns,3
live-reconfigure,,empty-jit,,,73809045.0,ns,3
live-reconfigure,,empty-jit,,,73811255.0,ns,3
live-reconfigure,,empty-jit,,,73791147.0,ns,3
live-reconfigure,,empty-jit,,,73725897.0,ns,3
live-reconfigure,,empty-jit,,,73839146.0,ns,3
live-reconfigure,,empty-jit,,,73795513.0,ns,3
live-reconfigure,,empty-jit,,,74001543.0,ns,3
live-reconfigure,,empty-jit,,,73751506.0,ns,3
live-reconfigure,,empty-jit,,,73847457.0,ns,3
live-reconfigure,,empty-jit,,,73864939.0,ns,3
live-reconfigure,,empty-jit,,,73851162.0,ns,3
live-reconfigure,,empty-jit,,,73840073.0,ns,3
live-reconfigure,,empty-jit,,,73809777.0,ns,3
live-reconfigure,,empty-jit,,,73815137.0,ns,3
live-reconfigure,,empty-jit,,,73874260.0,ns,3
live-reconfigure,,empty-jit,,,73945057.0,ns,3
live-reconfigure,,empty-jit,,,73807510.0,ns,3
live-reconfigure,,empty-jit,,,73799665.0,ns,3
live-reconfigure,,empty-jit,,,73833400.0,ns,3
live-reconfigure,,empty-jit,,,74026336.0,ns,3
live-reconfigure,,empty-jit,,,73811829.0,ns,3
live-reconfigure,,empty-jit,,,73787469.0,ns,3
live-reconfigure,,empty-jit,,,73818851.0,ns,3
live-reconfigure,,empty-jit,,,73779666.0,ns,3
live-reconfigure,,empty-jit,,,73696921.0,ns,3
live-reconfigure,,empty-jit,,,73795114.0,ns,3
