group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
live-reconfigure,,firewall-10000-jit,,,51147284.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51152895.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51104140.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51061358.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51074695.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51030331.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51049956.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51035701.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51075616.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50948365.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50926371.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50934182.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51022088.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50959749.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50920168.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50926026.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50989532.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50997625.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51126842.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51117459.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51129813.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51034413.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51090022.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51167622.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51144016.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51120850.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51164555.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51072216.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50936341.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50963008.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50968256.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50982977.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51028630.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50978281.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51142944.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51131461.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51115240.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51073766.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51070851.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50962220.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51095768.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51148857.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51020991.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51076415.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51018641.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51002031.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51006434.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50881535.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50898106.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51000147.0,ns,5
live-reconfigure,,firewall-10000-jit,,,53502710.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50953126.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50945534.0,ns,5
live-reconfigure,,firewall-10000-jit,,,52152860.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50989742.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50956521.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50945910.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50989851.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51020178.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50922165.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50930470.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50913367.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50909506.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50923574.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51001373.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50956393.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50968093.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50994891.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51079289.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50997600.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51001583.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51143905.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51133749.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51037796.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51043207.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51019419.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50919793.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50955230.0,ns,5
live-reconfigure,,firewall-10000-jit,,,50975964.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51437973.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51364996.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51312842.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51342928.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51350409.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51259414.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51208957.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51306816.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51376877.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51261615.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51527286.0,ns,5
live-reconfigure,,firewall-10000-jit,,,170561986.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51782531.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51754773.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51799098.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51892610.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51970231.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51945906.0,ns,5
live-reconfigure,,firewall-10000-jit,,,52032301.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51994353.0,ns,5
live-reconfigure,,firewall-10000-jit,,,51894358.0,ns,5
