,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,firewall-2,ukebpfjit,2,click main(),108510558
1,3,1,firewall-2,ukebpfjit,2,print config,110172817
2,3,1,firewall-2,ukebpfjit,2,print config done,172861385
3,3,1,firewall-2,ukebpfjit,2,initialize elements,176348200
4,3,1,firewall-2,ukebpfjit,2,init ebpf vm,179858048
5,3,1,firewall-2,ukebpfjit,2,init ebpf done,185445203
6,3,1,firewall-2,ukebpfjit,2,read program,6077
7,3,1,firewall-2,ukebpfjit,2,lock,20061
8,3,1,firewall-2,ukebpfjit,2,load elf,2207
9,3,1,firewall-2,ukebpfjit,2,signature,1408352
10,3,1,firewall-2,ukebpfjit,2,jit,912228
11,3,1,firewall-2,ukebpfjit,2,print,18261685
12,3,1,firewall-2,ukebpfjit,2,initialize elements done,207258219
13,3,1,firewall-2,ukebpfjit,2,init ebpf vm,243003993
14,3,1,firewall-2,ukebpfjit,2,init ebpf done,246705476
15,3,1,firewall-2,ukebpfjit,2,read program,8422
16,3,1,firewall-2,ukebpfjit,2,lock,151
17,3,1,firewall-2,ukebpfjit,2,load elf,8067
18,3,1,firewall-2,ukebpfjit,2,signature,160025
19,3,1,firewall-2,ukebpfjit,2,jit,292290
20,3,1,firewall-2,ukebpfjit,2,print,18190147
21,3,1,firewall-2,ukebpfjit,2,init ebpf vm,267915991
22,3,1,firewall-2,ukebpfjit,2,init ebpf done,271529402
23,3,1,firewall-2,ukebpfjit,2,read program,5763
24,3,1,firewall-2,ukebpfjit,2,lock,61
25,3,1,firewall-2,ukebpfjit,2,load elf,2268
26,3,1,firewall-2,ukebpfjit,2,signature,139671
27,3,1,firewall-2,ukebpfjit,2,jit,228527
28,3,1,firewall-2,ukebpfjit,2,print,18159573
29,3,1,firewall-2,ukebpfjit,2,init ebpf vm,292713169
30,3,1,firewall-2,ukebpfjit,2,init ebpf done,296258176
31,3,1,firewall-2,ukebpfjit,2,read program,5182
32,3,1,firewall-2,ukebpfjit,2,lock,59
33,3,1,firewall-2,ukebpfjit,2,load elf,2135
34,3,1,firewall-2,ukebpfjit,2,signature,143577
35,3,1,firewall-2,ukebpfjit,2,jit,169073
36,3,1,firewall-2,ukebpfjit,2,print,18096681
