,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,ids,ukebpfjit,0,click main(),108521080
1,3,1,ids,ukebpfjit,0,print config,110177123
2,3,1,ids,ukebpfjit,0,print config done,172740842
3,3,1,ids,ukebpfjit,0,initialize elements,176219520
4,3,1,ids,ukebpfjit,0,init ebpf vm,179718055
5,3,1,ids,ukebpfjit,0,init ebpf done,185283406
6,3,1,ids,ukebpfjit,0,read program,5873
7,3,1,ids,ukebpfjit,0,lock,21800
8,3,1,ids,ukebpfjit,0,load elf,1909
9,3,1,ids,ukebpfjit,0,signature,1414488
10,3,1,ids,ukebpfjit,0,jit,879192
11,3,1,ids,ukebpfjit,0,print,18217720
12,3,1,ids,ukebpfjit,0,initialize elements done,207028626
13,3,1,ids,ukebpfjit,0,init ebpf vm,255357458
14,3,1,ids,ukebpfjit,0,init ebpf done,258987677
15,3,1,ids,ukebpfjit,0,read program,6945
16,3,1,ids,ukebpfjit,0,lock,137
17,3,1,ids,ukebpfjit,0,load elf,7183
18,3,1,ids,ukebpfjit,0,signature,154885
19,3,1,ids,ukebpfjit,0,jit,231060
20,3,1,ids,ukebpfjit,0,print,18292591
21,3,1,ids,ukebpfjit,0,init ebpf vm,280299590
22,3,1,ids,ukebpfjit,0,init ebpf done,283865845
23,3,1,ids,ukebpfjit,0,read program,5677
24,3,1,ids,ukebpfjit,0,lock,110
25,3,1,ids,ukebpfjit,0,load elf,1769
26,3,1,ids,ukebpfjit,0,signature,140558
27,3,1,ids,ukebpfjit,0,jit,180621
28,3,1,ids,ukebpfjit,0,print,18269349
29,3,1,ids,ukebpfjit,0,init ebpf vm,305149686
30,3,1,ids,ukebpfjit,0,init ebpf done,308749617
31,3,1,ids,ukebpfjit,0,read program,6050
32,3,1,ids,ukebpfjit,0,lock,105
33,3,1,ids,ukebpfjit,0,load elf,1607
34,3,1,ids,ukebpfjit,0,signature,141474
35,3,1,ids,ukebpfjit,0,jit,209824
36,3,1,ids,ukebpfjit,0,print,18954519
37,3,1,ids,ukebpfjit,0,init ebpf vm,330712648
38,3,1,ids,ukebpfjit,0,init ebpf done,334277939
39,3,1,ids,ukebpfjit,0,read program,5396
40,3,1,ids,ukebpfjit,0,lock,66
41,3,1,ids,ukebpfjit,0,load elf,1337
42,3,1,ids,ukebpfjit,0,signature,136131
43,3,1,ids,ukebpfjit,0,jit,184851
44,3,1,ids,ukebpfjit,0,print,18138179
45,3,1,ids,ukebpfjit,0,init ebpf vm,355425235
46,3,1,ids,ukebpfjit,0,init ebpf done,358964220
47,3,1,ids,ukebpfjit,0,read program,4948
48,3,1,ids,ukebpfjit,0,lock,53
49,3,1,ids,ukebpfjit,0,load elf,1265
50,3,1,ids,ukebpfjit,0,signature,134884
51,3,1,ids,ukebpfjit,0,jit,159908
52,3,1,ids,ukebpfjit,0,print,18214249
53,3,1,ids,ukebpfjit,0,init ebpf vm,380200758
54,3,1,ids,ukebpfjit,0,init ebpf done,383734315
55,3,1,ids,ukebpfjit,0,read program,4763
56,3,1,ids,ukebpfjit,0,lock,59
57,3,1,ids,ukebpfjit,0,load elf,1158
58,3,1,ids,ukebpfjit,0,signature,132114
59,3,1,ids,ukebpfjit,0,jit,156161
60,3,1,ids,ukebpfjit,0,print,18119926
61,3,1,ids,ukebpfjit,0,init ebpf vm,404864721
62,3,1,ids,ukebpfjit,0,init ebpf done,408401844
63,3,1,ids,ukebpfjit,0,read program,4391
64,3,1,ids,ukebpfjit,0,lock,51
65,3,1,ids,ukebpfjit,0,load elf,1082
66,3,1,ids,ukebpfjit,0,signature,136113
67,3,1,ids,ukebpfjit,0,jit,155653
68,3,1,ids,ukebpfjit,0,print,18164185
69,3,1,ids,ukebpfjit,0,init ebpf vm,429578961
70,3,1,ids,ukebpfjit,0,init ebpf done,433110173
71,3,1,ids,ukebpfjit,0,read program,4702
72,3,1,ids,ukebpfjit,0,lock,55
73,3,1,ids,ukebpfjit,0,load elf,1133
74,3,1,ids,ukebpfjit,0,signature,129780
75,3,1,ids,ukebpfjit,0,jit,155616
76,3,1,ids,ukebpfjit,0,print,18184331
77,3,1,ids,ukebpfjit,0,init ebpf vm,454309612
78,3,1,ids,ukebpfjit,0,init ebpf done,457842782
79,3,1,ids,ukebpfjit,0,read program,4629
80,3,1,ids,ukebpfjit,0,lock,61
81,3,1,ids,ukebpfjit,0,load elf,1201
82,3,1,ids,ukebpfjit,0,signature,129807
83,3,1,ids,ukebpfjit,0,jit,155326
84,3,1,ids,ukebpfjit,0,print,18158222
85,3,1,ids,ukebpfjit,0,init ebpf vm,479013562
86,3,1,ids,ukebpfjit,0,init ebpf done,482545857
87,3,1,ids,ukebpfjit,0,read program,4759
88,3,1,ids,ukebpfjit,0,lock,53
89,3,1,ids,ukebpfjit,0,load elf,1243
90,3,1,ids,ukebpfjit,0,signature,127353
91,3,1,ids,ukebpfjit,0,jit,155118
92,3,1,ids,ukebpfjit,0,print,18141979
93,3,1,ids,ukebpfjit,0,init ebpf vm,503693569
94,3,1,ids,ukebpfjit,0,init ebpf done,507230923
95,3,1,ids,ukebpfjit,0,read program,4666
96,3,1,ids,ukebpfjit,0,lock,57
97,3,1,ids,ukebpfjit,0,load elf,1184
98,3,1,ids,ukebpfjit,0,signature,129159
99,3,1,ids,ukebpfjit,0,jit,162628
100,3,1,ids,ukebpfjit,0,print,18204237
101,3,1,ids,ukebpfjit,0,init ebpf vm,528451961
102,3,1,ids,ukebpfjit,0,init ebpf done,531983231
103,3,1,ids,ukebpfjit,0,read program,4836
104,3,1,ids,ukebpfjit,0,lock,57
105,3,1,ids,ukebpfjit,0,load elf,1223
106,3,1,ids,ukebpfjit,0,signature,127813
