group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
live-reconfigure,,ids-jit,,,74102238.0,ns,3
live-reconfigure,,ids-jit,,,74125199.0,ns,3
live-reconfigure,,ids-jit,,,74130777.0,ns,3
live-reconfigure,,ids-jit,,,74152517.0,ns,3
live-reconfigure,,ids-jit,,,74204164.0,ns,3
live-reconfigure,,ids-jit,,,74253224.0,ns,3
live-reconfigure,,ids-jit,,,74166323.0,ns,3
live-reconfigure,,ids-jit,,,74127964.0,ns,3
live-reconfigure,,ids-jit,,,74136813.0,ns,3
live-reconfigure,,ids-jit,,,74147356.0,ns,3
live-reconfigure,,ids-jit,,,74112108.0,ns,3
live-reconfigure,,ids-jit,,,74102527.0,ns,3
live-reconfigure,,ids-jit,,,74113823.0,ns,3
live-reconfigure,,ids-jit,,,73987965.0,ns,3
live-reconfigure,,ids-jit,,,73988062.0,ns,3
live-reconfigure,,ids-jit,,,74018618.0,ns,3
live-reconfigure,,ids-jit,,,73886354.0,ns,3
live-reconfigure,,ids-jit,,,73946708.0,ns,3
live-reconfigure,,ids-jit,,,73956965.0,ns,3
live-reconfigure,,ids-jit,,,73966813.0,ns,3
live-reconfigure,,ids-jit,,,74000715.0,ns,3
live-reconfigure,,ids-jit,,,74043763.0,ns,3
live-reconfigure,,ids-jit,,,74161460.0,ns,3
live-reconfigure,,ids-jit,,,74107889.0,ns,3
live-reconfigure,,ids-jit,,,74001302.0,ns,3
live-reconfigure,,ids-jit,,,74032892.0,ns,3
live-reconfigure,,ids-jit,,,74069704.0,ns,3
live-reconfigure,,ids-jit,,,74028064.0,ns,3
live-reconfigure,,ids-jit,,,74004712.0,ns,3
live-reconfigure,,ids-jit,,,74040842.0,ns,3
live-reconfigure,,ids-jit,,,74024155.0,ns,3
live-reconfigure,,ids-jit,,,74056631.0,ns,3
live-reconfigure,,ids-jit,,,74039847.0,ns,3
live-reconfigure,,ids-jit,,,74055338.0,ns,3
live-reconfigure,,ids-jit,,,74055867.0,ns,3
live-reconfigure,,ids-jit,,,73995351.0,ns,3
live-reconfigure,,ids-jit,,,73929729.0,ns,3
live-reconfigure,,ids-jit,,,73931866.0,ns,3
live-reconfigure,,ids-jit,,,73929570.0,ns,3
live-reconfigure,,ids-jit,,,73966495.0,ns,3
live-reconfigure,,ids-jit,,,74027381.0,ns,3
live-reconfigure,,ids-jit,,,73931918.0,ns,3
live-reconfigure,,ids-jit,,,73957508.0,ns,3
live-reconfigure,,ids-jit,,,73942274.0,ns,3
live-reconfigure,,ids-jit,,,73912661.0,ns,3
