group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
live-reconfigure,,mirror-jit,,,59625060.0,ns,6
live-reconfigure,,mirror-jit,,,59629361.0,ns,6
live-reconfigure,,mirror-jit,,,59642369.0,ns,6
live-reconfigure,,mirror-jit,,,59627862.0,ns,6
live-reconfigure,,mirror-jit,,,59614609.0,ns,6
live-reconfigure,,mirror-jit,,,59643445.0,ns,6
live-reconfigure,,mirror-jit,,,59650612.0,ns,6
live-reconfigure,,mirror-jit,,,59648354.0,ns,6
live-reconfigure,,mirror-jit,,,59616115.0,ns,6
live-reconfigure,,mirror-jit,,,59534835.0,ns,6
live-reconfigure,,mirror-jit,,,59901971.0,ns,6
live-reconfigure,,mirror-jit,,,59603294.0,ns,6
live-reconfigure,,mirror-jit,,,59568369.0,ns,6
live-reconfigure,,mirror-jit,,,59537839.0,ns,6
live-reconfigure,,mirror-jit,,,59558844.0,ns,6
live-reconfigure,,mirror-jit,,,59542443.0,ns,6
live-reconfigure,,mirror-jit,,,59539995.0,ns,6
live-reconfigure,,mirror-jit,,,59555399.0,ns,6
live-reconfigure,,mirror-jit,,,59513982.0,ns,6
live-reconfigure,,mirror-jit,,,59596959.0,ns,6
live-reconfigure,,mirror-jit,,,59550680.0,ns,6
live-reconfigure,,mirror-jit,,,59521195.0,ns,6
live-reconfigure,,mirror-jit,,,59520376.0,ns,6
live-reconfigure,,mirror-jit,,,59564458.0,ns,6
live-reconfigure,,mirror-jit,,,59537511.0,ns,6
live-reconfigure,,mirror-jit,,,59536696.0,ns,6
live-reconfigure,,mirror-jit,,,59689247.0,ns,6
live-reconfigure,,mirror-jit,,,59634577.0,ns,6
live-reconfigure,,mirror-jit,,,59592856.0,ns,6
live-reconfigure,,mirror-jit,,,59655193.0,ns,6
live-reconfigure,,mirror-jit,,,59720936.0,ns,6
live-reconfigure,,mirror-jit,,,59674322.0,ns,6
live-reconfigure,,mirror-jit,,,59699111.0,ns,6
live-reconfigure,,mirror-jit,,,59692539.0,ns,6
live-reconfigure,,mirror-jit,,,59596656.0,ns,6
