,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,nat,ukebpfjit,2,click main(),108487524
1,3,1,nat,ukebpfjit,2,print config,110147627
2,3,1,nat,ukebpfjit,2,print config done,172149156
3,3,1,nat,ukebpfjit,2,initialize elements,175616583
4,3,1,nat,ukebpfjit,2,init ebpf vm,179122745
5,3,1,nat,ukebpfjit,2,load elf > relocate map,1548
6,3,1,nat,ukebpfjit,2,load elf > relocate map,503
7,3,1,nat,ukebpfjit,2,init ebpf done,191493158
8,3,1,nat,ukebpfjit,2,read program,7066
9,3,1,nat,ukebpfjit,2,lock,20114
10,3,1,nat,ukebpfjit,2,load elf,6792445
11,3,1,nat,ukebpfjit,2,signature,1406270
12,3,1,nat,ukebpfjit,2,jit,912351
13,3,1,nat,ukebpfjit,2,print,18363774
14,3,1,nat,ukebpfjit,2,initialize elements done,213371108
15,3,1,nat,ukebpfjit,2,init ebpf vm,332753663
16,3,1,nat,ukebpfjit,2,init ebpf done,336482038
17,3,1,nat,ukebpfjit,2,read program,9453
18,3,1,nat,ukebpfjit,2,lock,195
19,3,1,nat,ukebpfjit,2,load elf,12835
20,3,1,nat,ukebpfjit,2,signature,171722
21,3,1,nat,ukebpfjit,2,jit,306870
22,3,1,nat,ukebpfjit,2,print,18167339
23,3,1,nat,ukebpfjit,2,init ebpf vm,357655593
24,3,1,nat,ukebpfjit,2,init ebpf done,361273799
25,3,1,nat,ukebpfjit,2,read program,6156
26,3,1,nat,ukebpfjit,2,lock,56
27,3,1,nat,ukebpfjit,2,load elf,5575
28,3,1,nat,ukebpfjit,2,signature,142378
29,3,1,nat,ukebpfjit,2,jit,232612
30,3,1,nat,ukebpfjit,2,print,18079341
31,3,1,nat,ukebpfjit,2,init ebpf vm,382355494
32,3,1,nat,ukebpfjit,2,init ebpf done,385895585
33,3,1,nat,ukebpfjit,2,read program,5719
34,3,1,nat,ukebpfjit,2,lock,53
35,3,1,nat,ukebpfjit,2,load elf,4960
36,3,1,nat,ukebpfjit,2,signature,140490
37,3,1,nat,ukebpfjit,2,jit,166984
38,3,1,nat,ukebpfjit,2,print,18097386
39,3,1,nat,ukebpfjit,2,init ebpf vm,407004250
40,3,1,nat,ukebpfjit,2,init ebpf done,410543082
41,3,1,nat,ukebpfjit,2,read program,5828
