,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,empty,uktrace,0,click main(),107694291
1,3,1,empty,uktrace,0,print config,109182581
2,3,1,empty,uktrace,0,print config done,137354548
3,3,1,empty,uktrace,0,initialize elements,140698522
4,3,1,empty,uktrace,0,initialize elements done,144480755
5,3,1,empty,uktrace,0,first packet,154968267
6,3,1,empty,uktrace,0,total startup time,291900587
7,3,1,empty,uktrace,0,click main(),107665588
8,3,1,empty,uktrace,0,print config,109154015
9,3,1,empty,uktrace,0,print config done,137366698
10,3,1,empty,uktrace,0,initialize elements,140700216
11,3,1,empty,uktrace,0,initialize elements done,144475481
12,3,1,empty,uktrace,0,first packet,154984711
13,3,1,empty,uktrace,0,total startup time,292812366
14,3,1,empty,uktrace,0,click main(),107641064
15,3,1,empty,uktrace,0,print config,109135955
16,3,1,empty,uktrace,0,print config done,137202551
17,3,1,empty,uktrace,0,initialize elements,140515843
18,3,1,empty,uktrace,0,initialize elements done,144274675
19,3,1,empty,uktrace,0,first packet,154709071
20,3,1,empty,uktrace,0,total startup time,290190006
21,3,1,empty,uktrace,0,click main(),107655589
22,3,1,empty,uktrace,0,print config,109146316
23,3,1,empty,uktrace,0,print config done,137298492
24,3,1,empty,uktrace,0,initialize elements,140626170
25,3,1,empty,uktrace,0,initialize elements done,144207366
26,3,1,empty,uktrace,0,first packet,154894762
27,3,1,empty,uktrace,0,total startup time,292857167
28,3,1,empty,uktrace,0,click main(),107694567
29,3,1,empty,uktrace,0,print config,109188776
30,3,1,empty,uktrace,0,print config done,137410621
31,3,1,empty,uktrace,0,initialize elements,140745833
32,3,1,empty,uktrace,0,initialize elements done,144536050
33,3,1,empty,uktrace,0,first packet,155056840
34,3,1,empty,uktrace,0,total startup time,290743854
35,3,1,empty,uktrace,0,click main(),107712597
36,3,1,empty,uktrace,0,print config,109202024
37,3,1,empty,uktrace,0,print config done,137471969
38,3,1,empty,uktrace,0,initialize elements,140814894
39,3,1,empty,uktrace,0,initialize elements done,144640978
40,3,1,empty,uktrace,0,first packet,155134777
41,3,1,empty,uktrace,0,total startup time,293175019
42,3,1,empty,uktrace,0,click main(),107667458
43,3,1,empty,uktrace,0,print config,109152985
44,3,1,empty,uktrace,0,print config done,137316322
45,3,1,empty,uktrace,0,initialize elements,140643975
46,3,1,empty,uktrace,0,initialize elements done,144295614
47,3,1,empty,uktrace,0,first packet,154857340
48,3,1,empty,uktrace,0,total startup time,293154004
49,3,1,empty,uktrace,0,click main(),107703480
50,3,1,empty,uktrace,0,print config,109201257
51,3,1,empty,uktrace,0,print config done,137553961
52,3,1,empty,uktrace,0,initialize elements,140913324
53,3,1,empty,uktrace,0,initialize elements done,144596260
54,3,1,empty,uktrace,0,first packet,155071834
55,3,1,empty,uktrace,0,total startup time,291470144
56,3,1,empty,uktrace,0,click main(),107687763
57,3,1,empty,uktrace,0,print config,109172032
