,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,filter,uktrace,2,click main(),107656652
1,3,1,filter,uktrace,2,print config,109153596
2,3,1,filter,uktrace,2,print config done,154737619
3,3,1,filter,uktrace,2,initialize elements,158096655
4,3,1,filter,uktrace,2,initialize elements done,161745616
5,3,1,filter,uktrace,2,first packet,172355971
6,3,1,filter,uktrace,2,total startup time,310993932
7,3,1,filter,uktrace,2,click main(),107708367
8,3,1,filter,uktrace,2,print config,109209831
9,3,1,filter,uktrace,2,print config done,154996117
10,3,1,filter,uktrace,2,initialize elements,158349995
11,3,1,filter,uktrace,2,initialize elements done,162188238
12,3,1,filter,uktrace,2,first packet,172682487
13,3,1,filter,uktrace,2,total startup time,310296131
14,3,1,filter,uktrace,2,click main(),107648234
15,3,1,filter,uktrace,2,print config,109137593
16,3,1,filter,uktrace,2,print config done,154864596
17,3,1,filter,uktrace,2,initialize elements,158216240
18,3,1,filter,uktrace,2,initialize elements done,162019875
19,3,1,filter,uktrace,2,first packet,172484948
20,3,1,filter,uktrace,2,total startup time,310247776
21,3,1,filter,uktrace,2,click main(),107665916
22,3,1,filter,uktrace,2,print config,109153012
23,3,1,filter,uktrace,2,print config done,154669301
24,3,1,filter,uktrace,2,initialize elements,158007578
25,3,1,filter,uktrace,2,initialize elements done,161704323
26,3,1,filter,uktrace,2,first packet,172100070
27,3,1,filter,uktrace,2,total startup time,309967560
28,3,1,filter,uktrace,2,click main(),107646176
29,3,1,filter,uktrace,2,print config,109143911
30,3,1,filter,uktrace,2,print config done,154716735
31,3,1,filter,uktrace,2,initialize elements,158066522
32,3,1,filter,uktrace,2,initialize elements done,161948681
33,3,1,filter,uktrace,2,first packet,172396244
34,3,1,filter,uktrace,2,total startup time,310641104
35,3,1,filter,uktrace,2,click main(),107635147
36,3,1,filter,uktrace,2,print config,109129547
37,3,1,filter,uktrace,2,print config done,154759657
38,3,1,filter,uktrace,2,initialize elements,158118372
39,3,1,filter,uktrace,2,initialize elements done,161941800
40,3,1,filter,uktrace,2,first packet,172420841
41,3,1,filter,uktrace,2,total startup time,308997917
42,3,1,filter,uktrace,2,click main(),107610475
43,3,1,filter,uktrace,2,print config,109096916
44,3,1,filter,uktrace,2,print config done,154463667
45,3,1,filter,uktrace,2,initialize elements,157788127
46,3,1,filter,uktrace,2,initialize elements done,161401414
47,3,1,filter,uktrace,2,first packet,171992966
48,3,1,filter,uktrace,2,total startup time,309181067
49,3,1,filter,uktrace,2,click main(),107627513
50,3,1,filter,uktrace,2,print config,109128706
51,3,1,filter,uktrace,2,print config done,154858710
52,3,1,filter,uktrace,2,initialize elements,158224476
53,3,1,filter,uktrace,2,initialize elements done,162053515
54,3,1,filter,uktrace,2,first packet,172464052
55,3,1,filter,uktrace,2,total startup time,309715504
56,3,1,filter,uktrace,2,click main(),107614882
57,3,1,filter,uktrace,2,print config,109104908
58,3,1,filter,uktrace,2,print config done,154651862
59,3,1,filter,uktrace,2,initialize elements,157986284
60,3,1,filter,uktrace,2,initialize elements done,161628858
61,3,1,filter,uktrace,2,first packet,172301496
62,3,1,filter,uktrace,2,total startup time,310166108
63,3,1,filter,uktrace,2,click main(),107617209
64,3,1,filter,uktrace,2,print config,109104283
65,3,1,filter,uktrace,2,print config done,154753986
66,3,1,filter,uktrace,2,initialize elements,158116182
67,3,1,filter,uktrace,2,initialize elements done,161820721
68,3,1,filter,uktrace,2,first packet,172435729
69,3,1,filter,uktrace,2,total startup time,310863442
70,3,1,filter,uktrace,2,qemu start,2795172856082866
71,3,1,filter,uktrace,2,qemu kvm entry,2795172923090051
72,3,1,filter,uktrace,2,qemu kvm port 255,2795172969813314
73,3,1,filter,uktrace,2,qemu kvm port 254,2795173088506822
74,3,1,filter,uktrace,2,qemu kvm port 253,2795173142597636
75,3,1,filter,uktrace,2,qemu start,2795178212048854
76,3,1,filter,uktrace,2,qemu kvm entry,2795178277105896
77,3,1,filter,uktrace,2,qemu kvm port 255,2795178323854586
78,3,1,filter,uktrace,2,qemu kvm port 254,2795178443027771
79,3,1,filter,uktrace,2,qemu kvm port 253,2795178497338773
80,3,1,filter,uktrace,2,qemu start,2795183725801593
81,3,1,filter,uktrace,2,qemu kvm entry,2795183791498659
82,3,1,filter,uktrace,2,qemu kvm port 255,2795183837949561
83,3,1,filter,uktrace,2,qemu kvm port 254,2795183956919542
84,3,1,filter,uktrace,2,qemu kvm port 253,2795184011136329
85,3,1,filter,uktrace,2,qemu start,2795189247795079
86,3,1,filter,uktrace,2,qemu kvm entry,2795189313220476
87,3,1,filter,uktrace,2,qemu kvm port 255,2795189359854923
88,3,1,filter,uktrace,2,qemu kvm port 254,2795189478692167
89,3,1,filter,uktrace,2,qemu kvm port 253,2795189532665391
90,3,1,filter,uktrace,2,qemu start,2795194739526315
91,3,1,filter,uktrace,2,qemu kvm entry,2795194805029333
92,3,1,filter,uktrace,2,qemu kvm port 255,2795194851870256
93,3,1,filter,uktrace,2,qemu kvm port 254,2795194970598744
94,3,1,filter,uktrace,2,qemu kvm port 253,2795195024675229
95,3,1,filter,uktrace,2,qemu start,2795200295808982
96,3,1,filter,uktrace,2,qemu kvm entry,2795200361263578
97,3,1,filter,uktrace,2,qemu kvm port 255,2795200406845436
98,3,1,filter,uktrace,2,qemu kvm port 254,2795200525700539
99,3,1,filter,uktrace,2,qemu kvm port 253,2795200579837944
100,3,1,filter,uktrace,2,qemu start,2795205802047828
101,3,1,filter,uktrace,2,qemu kvm entry,2795205867675832
102,3,1,filter,uktrace,2,qemu kvm port 255,2795205913839237
103,3,1,filter,uktrace,2,qemu kvm port 254,2795206032567134
104,3,1,filter,uktrace,2,qemu kvm port 253,2795206086362711
105,3,1,filter,uktrace,2,qemu start,2795211312397492
106,3,1,filter,uktrace,2,qemu kvm entry,2795211377176119
107,3,1,filter,uktrace,2,qemu kvm port 255,2795211423814364
108,3,1,filter,uktrace,2,qemu kvm port 254,2795211542702543
109,3,1,filter,uktrace,2,qemu kvm port 253,2795211597048567
110,3,1,filter,uktrace,2,qemu start,2795216803173217
111,3,1,filter,uktrace,2,qemu kvm entry,2795216868474191
112,3,1,filter,uktrace,2,qemu kvm port 255,2795216914836402
113,3,1,filter,uktrace,2,qemu kvm port 254,2795217034061789
