,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,firewall-2,uktrace,0,click main(),107606523
1,3,1,firewall-2,uktrace,0,print config,109090331
2,3,1,firewall-2,uktrace,0,print config done,147131740
3,3,1,firewall-2,uktrace,0,initialize elements,150443795
4,3,1,firewall-2,uktrace,0,initialize elements done,154079182
5,3,1,firewall-2,uktrace,0,first packet,164499468
6,3,1,firewall-2,uktrace,0,total startup time,299220017
7,3,1,firewall-2,uktrace,0,click main(),107673062
8,3,1,firewall-2,uktrace,0,print config,109171364
9,3,1,firewall-2,uktrace,0,print config done,147572217
10,3,1,firewall-2,uktrace,0,initialize elements,150911051
11,3,1,firewall-2,uktrace,0,initialize elements done,154555961
12,3,1,firewall-2,uktrace,0,first packet,165036179
13,3,1,firewall-2,uktrace,0,total startup time,301753346
14,3,1,firewall-2,uktrace,0,click main(),107680234
15,3,1,firewall-2,uktrace,0,print config,109160992
16,3,1,firewall-2,uktrace,0,print config done,147468635
17,3,1,firewall-2,uktrace,0,initialize elements,150792024
18,3,1,firewall-2,uktrace,0,initialize elements done,154536196
19,3,1,firewall-2,uktrace,0,first packet,164947655
20,3,1,firewall-2,uktrace,0,total startup time,301805945
21,3,1,firewall-2,uktrace,0,click main(),107630640
22,3,1,firewall-2,uktrace,0,print config,109121294
23,3,1,firewall-2,uktrace,0,print config done,147458337
24,3,1,firewall-2,uktrace,0,initialize elements,150783319
25,3,1,firewall-2,uktrace,0,initialize elements done,154483924
26,3,1,firewall-2,uktrace,0,first packet,164926611
27,3,1,firewall-2,uktrace,0,total startup time,300211025
28,3,1,firewall-2,uktrace,0,click main(),107622436
29,3,1,firewall-2,uktrace,0,print config,109100034
30,3,1,firewall-2,uktrace,0,print config done,147261192
31,3,1,firewall-2,uktrace,0,initialize elements,150579907
32,3,1,firewall-2,uktrace,0,initialize elements done,154415881
33,3,1,firewall-2,uktrace,0,first packet,164813057
34,3,1,firewall-2,uktrace,0,total startup time,301427862
35,3,1,firewall-2,uktrace,0,click main(),107671153
36,3,1,firewall-2,uktrace,0,print config,109161464
37,3,1,firewall-2,uktrace,0,print config done,147612094
38,3,1,firewall-2,uktrace,0,initialize elements,151111685
39,3,1,firewall-2,uktrace,0,initialize elements done,154846471
40,3,1,firewall-2,uktrace,0,first packet,165334006
41,3,1,firewall-2,uktrace,0,total startup time,303826719
42,3,1,firewall-2,uktrace,0,click main(),107579253
43,3,1,firewall-2,uktrace,0,print config,109057735
44,3,1,firewall-2,uktrace,0,print config done,147195615
45,3,1,firewall-2,uktrace,0,initialize elements,150513925
46,3,1,firewall-2,uktrace,0,initialize elements done,154225226
47,3,1,firewall-2,uktrace,0,first packet,164607115
48,3,1,firewall-2,uktrace,0,total startup time,301640012
49,3,1,firewall-2,uktrace,0,click main(),107644028
50,3,1,firewall-2,uktrace,0,print config,109140962
51,3,1,firewall-2,uktrace,0,print config done,147618545
52,3,1,firewall-2,uktrace,0,initialize elements,150993488
53,3,1,firewall-2,uktrace,0,initialize elements done,154611473
54,3,1,firewall-2,uktrace,0,first packet,165084777
55,3,1,firewall-2,uktrace,0,total startup time,300876019
56,3,1,firewall-2,uktrace,0,click main(),107632913
57,3,1,firewall-2,uktrace,0,print config,109124603
58,3,1,firewall-2,uktrace,0,print config done,147605822
59,3,1,firewall-2,uktrace,0,initialize elements,151016145
60,3,1,firewall-2,uktrace,0,initialize elements done,154651418
61,3,1,firewall-2,uktrace,0,first packet,165163158
62,3,1,firewall-2,uktrace,0,total startup time,300990096
63,3,1,firewall-2,uktrace,0,click main(),107678058
64,3,1,firewall-2,uktrace,0,print config,109162320
65,3,1,firewall-2,uktrace,0,print config done,147467129
66,3,1,firewall-2,uktrace,0,initialize elements,150809485
67,3,1,firewall-2,uktrace,0,initialize elements done,154439605
68,3,1,firewall-2,uktrace,0,first packet,164940141
69,3,1,firewall-2,uktrace,0,total startup time,303009945
70,3,1,firewall-2,uktrace,0,qemu start,2153408089909007
71,3,1,firewall-2,uktrace,0,qemu kvm entry,2153408154171425
72,3,1,firewall-2,uktrace,0,qemu kvm port 255,2153408199822705
73,3,1,firewall-2,uktrace,0,qemu kvm port 254,2153408318506288
74,3,1,firewall-2,uktrace,0,qemu kvm port 253,2153408364981230
75,3,1,firewall-2,uktrace,0,qemu start,2153413507834239
76,3,1,firewall-2,uktrace,0,qemu kvm entry,2153413573529145
77,3,1,firewall-2,uktrace,0,qemu kvm port 255,2153413618865451
78,3,1,firewall-2,uktrace,0,qemu kvm port 254,2153413737592517
79,3,1,firewall-2,uktrace,0,qemu kvm port 253,2153413784478084
80,3,1,firewall-2,uktrace,0,qemu start,2153419033324789
81,3,1,firewall-2,uktrace,0,qemu kvm entry,2153419097397642
82,3,1,firewall-2,uktrace,0,qemu kvm port 255,2153419144881647
83,3,1,firewall-2,uktrace,0,qemu kvm port 254,2153419263639886
84,3,1,firewall-2,uktrace,0,qemu kvm port 253,2153419310425789
85,3,1,firewall-2,uktrace,0,qemu start,2153424574078400
86,3,1,firewall-2,uktrace,0,qemu kvm entry,2153424638371881
87,3,1,firewall-2,uktrace,0,qemu kvm port 255,2153424683850186
88,3,1,firewall-2,uktrace,0,qemu kvm port 254,2153424802661754
89,3,1,firewall-2,uktrace,0,qemu kvm port 253,2153424849453192
90,3,1,firewall-2,uktrace,0,qemu start,2153430093408232
91,3,1,firewall-2,uktrace,0,qemu kvm entry,2153430158556484
92,3,1,firewall-2,uktrace,0,qemu kvm port 255,2153430204860659
93,3,1,firewall-2,uktrace,0,qemu kvm port 254,2153430323388432
94,3,1,firewall-2,uktrace,0,qemu kvm port 253,2153430370122567
95,3,1,firewall-2,uktrace,0,qemu start,2153435629668511
96,3,1,firewall-2,uktrace,0,qemu kvm entry,2153435694588667
97,3,1,firewall-2,uktrace,0,qemu kvm port 255,2153435742831681
98,3,1,firewall-2,uktrace,0,qemu kvm port 254,2153435861448125
99,3,1,firewall-2,uktrace,0,qemu kvm port 253,2153435908568796
100,3,1,firewall-2,uktrace,0,qemu start,2153441143015249
101,3,1,firewall-2,uktrace,0,qemu kvm entry,2153441207576087
102,3,1,firewall-2,uktrace,0,qemu kvm port 255,2153441254864246
103,3,1,firewall-2,uktrace,0,qemu kvm port 254,2153441373473236
104,3,1,firewall-2,uktrace,0,qemu kvm port 253,2153441420059035
105,3,1,firewall-2,uktrace,0,qemu start,2153446675663358
106,3,1,firewall-2,uktrace,0,qemu kvm entry,2153446740657811
107,3,1,firewall-2,uktrace,0,qemu kvm port 255,2153446785824246
108,3,1,firewall-2,uktrace,0,qemu kvm port 254,2153446904591103
109,3,1,firewall-2,uktrace,0,qemu kvm port 253,2153446951561571
110,3,1,firewall-2,uktrace,0,qemu start,2153452204885858
111,3,1,firewall-2,uktrace,0,qemu kvm entry,2153452269374997
112,3,1,firewall-2,uktrace,0,qemu kvm port 255,2153452314853986
113,3,1,firewall-2,uktrace,0,qemu kvm port 254,2153452433658223
114,3,1,firewall-2,uktrace,0,qemu kvm port 253,2153452480679310
115,3,1,firewall-2,uktrace,0,qemu start,2153457704414958
116,3,1,firewall-2,uktrace,0,qemu kvm entry,2153457770116477
117,3,1,firewall-2,uktrace,0,qemu kvm port 255,2153457816872154
118,3,1,firewall-2,uktrace,0,qemu kvm port 254,2153457935646078
119,3,1,firewall-2,uktrace,0,qemu kvm port 253,2153457982411588
