,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,ids,uktrace,1,click main(),107607780
1,3,1,ids,uktrace,1,print config,109087130
2,3,1,ids,uktrace,1,print config done,138076100
3,3,1,ids,uktrace,1,initialize elements,141402203
4,3,1,ids,uktrace,1,initialize elements done,145054103
5,3,1,ids,uktrace,1,first packet,155476141
6,3,1,ids,uktrace,1,total startup time,290662026
7,3,1,ids,uktrace,1,click main(),107678212
8,3,1,ids,uktrace,1,print config,109166058
9,3,1,ids,uktrace,1,print config done,138313326
10,3,1,ids,uktrace,1,initialize elements,141641402
11,3,1,ids,uktrace,1,initialize elements done,145359754
12,3,1,ids,uktrace,1,first packet,155915104
13,3,1,ids,uktrace,1,total startup time,292625799
14,3,1,ids,uktrace,1,click main(),107668629
15,3,1,ids,uktrace,1,print config,109159952
16,3,1,ids,uktrace,1,print config done,138260578
17,3,1,ids,uktrace,1,initialize elements,141593252
18,3,1,ids,uktrace,1,initialize elements done,145408948
19,3,1,ids,uktrace,1,first packet,155928162
20,3,1,ids,uktrace,1,total startup time,293931728
21,3,1,ids,uktrace,1,click main(),107677085
22,3,1,ids,uktrace,1,print config,109161443
23,3,1,ids,uktrace,1,print config done,138329472
24,3,1,ids,uktrace,1,initialize elements,141671185
25,3,1,ids,uktrace,1,initialize elements done,145374486
26,3,1,ids,uktrace,1,first packet,155932100
27,3,1,ids,uktrace,1,total startup time,293787543
28,3,1,ids,uktrace,1,click main(),107639878
29,3,1,ids,uktrace,1,print config,109130665
30,3,1,ids,uktrace,1,print config done,138151593
31,3,1,ids,uktrace,1,initialize elements,141467309
32,3,1,ids,uktrace,1,initialize elements done,145157732
33,3,1,ids,uktrace,1,first packet,155565137
34,3,1,ids,uktrace,1,total startup time,291954465
35,3,1,ids,uktrace,1,click main(),107650403
36,3,1,ids,uktrace,1,print config,109139350
37,3,1,ids,uktrace,1,print config done,138304884
38,3,1,ids,uktrace,1,initialize elements,141630213
39,3,1,ids,uktrace,1,initialize elements done,145403254
40,3,1,ids,uktrace,1,first packet,155880224
41,3,1,ids,uktrace,1,total startup time,294283061
42,3,1,ids,uktrace,1,click main(),107670356
43,3,1,ids,uktrace,1,print config,109166408
44,3,1,ids,uktrace,1,print config done,138393704
45,3,1,ids,uktrace,1,initialize elements,141747386
46,3,1,ids,uktrace,1,initialize elements done,145355120
47,3,1,ids,uktrace,1,first packet,156078435
48,3,1,ids,uktrace,1,total startup time,294259024
49,3,1,ids,uktrace,1,click main(),107641665
50,3,1,ids,uktrace,1,print config,109133705
51,3,1,ids,uktrace,1,print config done,138306772
52,3,1,ids,uktrace,1,initialize elements,141647199
53,3,1,ids,uktrace,1,initialize elements done,145478209
54,3,1,ids,uktrace,1,first packet,155990726
55,3,1,ids,uktrace,1,total startup time,292246697
56,3,1,ids,uktrace,1,click main(),107616243
57,3,1,ids,uktrace,1,print config,109100476
58,3,1,ids,uktrace,1,print config done,138017753
59,3,1,ids,uktrace,1,initialize elements,141331902
60,3,1,ids,uktrace,1,initialize elements done,145107243
61,3,1,ids,uktrace,1,first packet,155533994
62,3,1,ids,uktrace,1,total startup time,292006633
63,3,1,ids,uktrace,1,click main(),107595784
64,3,1,ids,uktrace,1,print config,109077483
65,3,1,ids,uktrace,1,print config done,138045652
66,3,1,ids,uktrace,1,initialize elements,141373293
67,3,1,ids,uktrace,1,initialize elements done,145145792
68,3,1,ids,uktrace,1,first packet,155596531
69,3,1,ids,uktrace,1,total startup time,291879430
70,3,1,ids,uktrace,1,qemu start,2151625939322374
