,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,mirror,uktrace,1,click main(),107635214
1,3,1,mirror,uktrace,1,print config,109122128
2,3,1,mirror,uktrace,1,print config done,127653359
3,3,1,mirror,uktrace,1,initialize elements,130992623
4,3,1,mirror,uktrace,1,initialize elements done,134758962
5,3,1,mirror,uktrace,1,first packet,145242973
6,3,1,mirror,uktrace,1,total startup time,280400874
7,3,1,mirror,uktrace,1,click main(),107623431
8,3,1,mirror,uktrace,1,print config,109119763
9,3,1,mirror,uktrace,1,print config done,127691519
10,3,1,mirror,uktrace,1,initialize elements,131046917
11,3,1,mirror,uktrace,1,initialize elements done,134694380
12,3,1,mirror,uktrace,1,first packet,145182322
13,3,1,mirror,uktrace,1,total startup time,281857369
14,3,1,mirror,uktrace,1,click main(),107666795
15,3,1,mirror,uktrace,1,print config,109151016
16,3,1,mirror,uktrace,1,print config done,127623507
17,3,1,mirror,uktrace,1,initialize elements,130952332
18,3,1,mirror,uktrace,1,initialize elements done,134538029
19,3,1,mirror,uktrace,1,first packet,145165895
20,3,1,mirror,uktrace,1,total startup time,282337439
21,3,1,mirror,uktrace,1,click main(),107646286
22,3,1,mirror,uktrace,1,print config,109137852
23,3,1,mirror,uktrace,1,print config done,127723713
24,3,1,mirror,uktrace,1,initialize elements,131074088
25,3,1,mirror,uktrace,1,initialize elements done,134762345
26,3,1,mirror,uktrace,1,first packet,145218350
27,3,1,mirror,uktrace,1,total startup time,282021784
28,3,1,mirror,uktrace,1,click main(),107689000
29,3,1,mirror,uktrace,1,print config,109182837
30,3,1,mirror,uktrace,1,print config done,127783429
31,3,1,mirror,uktrace,1,initialize elements,131117315
32,3,1,mirror,uktrace,1,initialize elements done,134872997
33,3,1,mirror,uktrace,1,first packet,145369968
34,3,1,mirror,uktrace,1,total startup time,283673670
35,3,1,mirror,uktrace,1,click main(),107650541
36,3,1,mirror,uktrace,1,print config,109134348
37,3,1,mirror,uktrace,1,print config done,127690098
38,3,1,mirror,uktrace,1,initialize elements,131027514
39,3,1,mirror,uktrace,1,initialize elements done,134797935
40,3,1,mirror,uktrace,1,first packet,145296166
41,3,1,mirror,uktrace,1,total startup time,282042161
42,3,1,mirror,uktrace,1,click main(),107604860
43,3,1,mirror,uktrace,1,print config,109088311
44,3,1,mirror,uktrace,1,print config done,127557373
45,3,1,mirror,uktrace,1,initialize elements,130874835
46,3,1,mirror,uktrace,1,initialize elements done,134605971
47,3,1,mirror,uktrace,1,first packet,145085671
48,3,1,mirror,uktrace,1,total startup time,283281488
49,3,1,mirror,uktrace,1,click main(),107727572
50,3,1,mirror,uktrace,1,print config,109232987
51,3,1,mirror,uktrace,1,print config done,128003447
52,3,1,mirror,uktrace,1,initialize elements,131379099
53,3,1,mirror,uktrace,1,initialize elements done,135155176
54,3,1,mirror,uktrace,1,first packet,145698677
55,3,1,mirror,uktrace,1,total startup time,284675271
56,3,1,mirror,uktrace,1,click main(),107682662
57,3,1,mirror,uktrace,1,print config,109195130
58,3,1,mirror,uktrace,1,print config done,127873957
59,3,1,mirror,uktrace,1,initialize elements,131244726
60,3,1,mirror,uktrace,1,initialize elements done,135093596
61,3,1,mirror,uktrace,1,first packet,145639527
62,3,1,mirror,uktrace,1,total startup time,283734308
63,3,1,mirror,uktrace,1,click main(),107659342
64,3,1,mirror,uktrace,1,print config,109154279
65,3,1,mirror,uktrace,1,print config done,127649444
66,3,1,mirror,uktrace,1,initialize elements,130983427
67,3,1,mirror,uktrace,1,initialize elements done,134555853
68,3,1,mirror,uktrace,1,first packet,145196610
69,3,1,mirror,uktrace,1,total startup time,282494555
70,3,1,mirror,uktrace,1,qemu start,2795493901280746
71,3,1,mirror,uktrace,1,qemu kvm entry,2795493966587644
72,3,1,mirror,uktrace,1,qemu kvm port 255,2795494011856623
73,3,1,mirror,uktrace,1,qemu kvm port 254,2795494130394811
74,3,1,mirror,uktrace,1,qemu kvm port 253,2795494157333460
75,3,1,mirror,uktrace,1,qemu start,2795499283173503
76,3,1,mirror,uktrace,1,qemu kvm entry,2795499348638456
77,3,1,mirror,uktrace,1,qemu kvm port 255,2795499393827629
78,3,1,mirror,uktrace,1,qemu kvm port 254,2795499512789797
79,3,1,mirror,uktrace,1,qemu kvm port 253,2795499539802327
80,3,1,mirror,uktrace,1,qemu start,2795504786938902
81,3,1,mirror,uktrace,1,qemu kvm entry,2795504853054977
82,3,1,mirror,uktrace,1,qemu kvm port 255,2795504898855722
83,3,1,mirror,uktrace,1,qemu kvm port 254,2795505017468073
84,3,1,mirror,uktrace,1,qemu kvm port 253,2795505044340310
85,3,1,mirror,uktrace,1,qemu start,2795510347394457
86,3,1,mirror,uktrace,1,qemu kvm entry,2795510412140216
87,3,1,mirror,uktrace,1,qemu kvm port 255,2795510458831174
88,3,1,mirror,uktrace,1,qemu kvm port 254,2795510577463468
89,3,1,mirror,uktrace,1,qemu kvm port 253,2795510604497633
90,3,1,mirror,uktrace,1,qemu start,2795515900129298
91,3,1,mirror,uktrace,1,qemu kvm entry,2795515967121524
92,3,1,mirror,uktrace,1,qemu kvm port 255,2795516012850027
93,3,1,mirror,uktrace,1,qemu kvm port 254,2795516131682022
94,3,1,mirror,uktrace,1,qemu kvm port 253,2795516158699143
95,3,1,mirror,uktrace,1,qemu start,2795521411453021
96,3,1,mirror,uktrace,1,qemu kvm entry,2795521476803454
97,3,1,mirror,uktrace,1,qemu kvm port 255,2795521522856890
98,3,1,mirror,uktrace,1,qemu kvm port 254,2795521641657637
99,3,1,mirror,uktrace,1,qemu kvm port 253,2795521668636655
100,3,1,mirror,uktrace,1,qemu start,2795526946027447
101,3,1,mirror,uktrace,1,qemu kvm entry,2795527011462363
102,3,1,mirror,uktrace,1,qemu kvm port 255,2795527058848017
103,3,1,mirror,uktrace,1,qemu kvm port 254,2795527177478523
104,3,1,mirror,uktrace,1,qemu kvm port 253,2795527204314755
105,3,1,mirror,uktrace,1,qemu start,2795532473151459
106,3,1,mirror,uktrace,1,qemu kvm entry,2795532539918439
107,3,1,mirror,uktrace,1,qemu kvm port 255,2795532586817841
108,3,1,mirror,uktrace,1,qemu kvm port 254,2795532705649549
109,3,1,mirror,uktrace,1,qemu kvm port 253,2795532732899400
110,3,1,mirror,uktrace,1,qemu start,2795538016495444
111,3,1,mirror,uktrace,1,qemu kvm entry,2795538082722771
112,3,1,mirror,uktrace,1,qemu kvm port 255,2795538128844201
113,3,1,mirror,uktrace,1,qemu kvm port 254,2795538247946871
114,3,1,mirror,uktrace,1,qemu kvm port 253,2795538275134780
115,3,1,mirror,uktrace,1,qemu start,2795543526125599
116,3,1,mirror,uktrace,1,qemu kvm entry,2795543592047862
117,3,1,mirror,uktrace,1,qemu kvm port 255,2795543637842462
118,3,1,mirror,uktrace,1,qemu kvm port 254,2795543756600892
119,3,1,mirror,uktrace,1,qemu kvm port 253,2795543783499351
