,repetitions,num_vms,vnf,system,repetition,label,nsec
0,3,1,nat,uktrace,2,click main(),107690405
1,3,1,nat,uktrace,2,print config,109177533
2,3,1,nat,uktrace,2,print config done,535011466
3,3,1,nat,uktrace,2,initialize elements,538469915
4,3,1,nat,uktrace,2,initialize elements done,542345941
5,3,1,nat,uktrace,2,first packet,552942859
6,3,1,nat,uktrace,2,total startup time,689336055
7,3,1,nat,uktrace,2,click main(),107751647
8,3,1,nat,uktrace,2,print config,109254515
9,3,1,nat,uktrace,2,print config done,541196570
10,3,1,nat,uktrace,2,initialize elements,544705681
11,3,1,nat,uktrace,2,initialize elements done,548827457
12,3,1,nat,uktrace,2,first packet,559411335
13,3,1,nat,uktrace,2,total startup time,695606186
14,3,1,nat,uktrace,2,click main(),107700122
15,3,1,nat,uktrace,2,print config,109193683
16,3,1,nat,uktrace,2,print config done,539381069
17,3,1,nat,uktrace,2,initialize elements,542862750
18,3,1,nat,uktrace,2,initialize elements done,546813642
19,3,1,nat,uktrace,2,first packet,557266289
20,3,1,nat,uktrace,2,total startup time,694042554
21,3,1,nat,uktrace,2,click main(),107590591
22,3,1,nat,uktrace,2,print config,109065122
23,3,1,nat,uktrace,2,print config done,533760790
24,3,1,nat,uktrace,2,initialize elements,537209504
25,3,1,nat,uktrace,2,initialize elements done,541253212
26,3,1,nat,uktrace,2,first packet,551695756
27,3,1,nat,uktrace,2,total startup time,690377526
28,3,1,nat,uktrace,2,click main(),107631135
29,3,1,nat,uktrace,2,print config,109118285
30,3,1,nat,uktrace,2,print config done,537058532
31,3,1,nat,uktrace,2,initialize elements,540558676
32,3,1,nat,uktrace,2,initialize elements done,544564637
33,3,1,nat,uktrace,2,first packet,554975188
34,3,1,nat,uktrace,2,total startup time,693321373
35,3,1,nat,uktrace,2,click main(),107716760
36,3,1,nat,uktrace,2,print config,109211034
37,3,1,nat,uktrace,2,print config done,539162973
38,3,1,nat,uktrace,2,initialize elements,542659300
39,3,1,nat,uktrace,2,initialize elements done,546751572
40,3,1,nat,uktrace,2,first packet,557257474
41,3,1,nat,uktrace,2,total startup time,693750375
42,3,1,nat,uktrace,2,click main(),107680528
43,3,1,nat,uktrace,2,print config,109176100
44,3,1,nat,uktrace,2,print config done,537842123
45,3,1,nat,uktrace,2,initialize elements,541313176
46,3,1,nat,uktrace,2,initialize elements done,545178880
47,3,1,nat,uktrace,2,first packet,555739476
48,3,1,nat,uktrace,2,total startup time,693203541
49,3,1,nat,uktrace,2,click main(),107638557
50,3,1,nat,uktrace,2,print config,109125036
51,3,1,nat,uktrace,2,print config done,535966207
52,3,1,nat,uktrace,2,initialize elements,539441152
53,3,1,nat,uktrace,2,initialize elements done,543512574
54,3,1,nat,uktrace,2,first packet,553982050
55,3,1,nat,uktrace,2,total startup time,691191090
56,3,1,nat,uktrace,2,click main(),107648513
57,3,1,nat,uktrace,2,print config,109135286
58,3,1,nat,uktrace,2,print config done,537085621
59,3,1,nat,uktrace,2,initialize elements,540561481
60,3,1,nat,uktrace,2,initialize elements done,544444560
61,3,1,nat,uktrace,2,first packet,555125890
62,3,1,nat,uktrace,2,total startup time,692895735
63,3,1,nat,uktrace,2,click main(),107630477
64,3,1,nat,uktrace,2,print config,109119708
65,3,1,nat,uktrace,2,print config done,537009388
66,3,1,nat,uktrace,2,initialize elements,540489138
67,3,1,nat,uktrace,2,initialize elements done,544552862
68,3,1,nat,uktrace,2,first packet,555015002
69,3,1,nat,uktrace,2,total startup time,691592031
70,3,1,nat,uktrace,2,qemu start,2152918915706070
71,3,1,nat,uktrace,2,qemu kvm entry,2152918980867486
72,3,1,nat,uktrace,2,qemu kvm port 255,2152919026798753
73,3,1,nat,uktrace,2,qemu kvm port 254,2152919145587187
74,3,1,nat,uktrace,2,qemu kvm port 253,2152919580267899
75,3,1,nat,uktrace,2,qemu start,2152924084266076
76,3,1,nat,uktrace,2,qemu kvm entry,2152924148516961
77,3,1,nat,uktrace,2,qemu kvm port 255,2152924194844186
78,3,1,nat,uktrace,2,qemu kvm port 254,2152924313832004
79,3,1,nat,uktrace,2,qemu kvm port 253,2152924754732187
80,3,1,nat,uktrace,2,qemu start,2152929386531734
81,3,1,nat,uktrace,2,qemu kvm entry,2152929451890022
82,3,1,nat,uktrace,2,qemu kvm port 255,2152929497860640
83,3,1,nat,uktrace,2,qemu kvm port 254,2152929616566641
84,3,1,nat,uktrace,2,qemu kvm port 253,2152930055643317
85,3,1,nat,uktrace,2,qemu start,2152934709506036
86,3,1,nat,uktrace,2,qemu kvm entry,2152934776012387
87,3,1,nat,uktrace,2,qemu kvm port 255,2152934822868597
88,3,1,nat,uktrace,2,qemu kvm port 254,2152934941506709
89,3,1,nat,uktrace,2,qemu kvm port 253,2152935375014650
90,3,1,nat,uktrace,2,qemu start,2152940032037106
91,3,1,nat,uktrace,2,qemu kvm entry,2152940098639226
92,3,1,nat,uktrace,2,qemu kvm port 255,2152940144842658
93,3,1,nat,uktrace,2,qemu kvm port 254,2152940263476992
94,3,1,nat,uktrace,2,qemu kvm port 253,2152940700366118
95,3,1,nat,uktrace,2,qemu start,2152945315776741
96,3,1,nat,uktrace,2,qemu kvm entry,2152945381519402
97,3,1,nat,uktrace,2,qemu kvm port 255,2152945426840807
98,3,1,nat,uktrace,2,qemu kvm port 254,2152945545657727
99,3,1,nat,uktrace,2,qemu kvm port 253,2152945984545540
100,3,1,nat,uktrace,2,qemu start,2152950611946906
101,3,1,nat,uktrace,2,qemu kvm entry,2152950677612856
102,3,1,nat,uktrace,2,qemu kvm port 255,2152950723888746
103,3,1,nat,uktrace,2,qemu kvm port 254,2152950842528435
104,3,1,nat,uktrace,2,qemu kvm port 253,2152951280051773
105,3,1,nat,uktrace,2,qemu start,2152955928250953
106,3,1,nat,uktrace,2,qemu kvm entry,2152955993079829
107,3,1,nat,uktrace,2,qemu kvm port 255,2152956039869308
108,3,1,nat,uktrace,2,qemu kvm port 254,2152956158625469
109,3,1,nat,uktrace,2,qemu kvm port 253,2152956594358208
110,3,1,nat,uktrace,2,qemu start,2152961225573338
111,3,1,nat,uktrace,2,qemu kvm entry,2152961290683039
112,3,1,nat,uktrace,2,qemu kvm port 255,2152961337844057
113,3,1,nat,uktrace,2,qemu kvm port 254,2152961456568207
114,3,1,nat,uktrace,2,qemu kvm port 253,2152961893390602
115,3,1,nat,uktrace,2,qemu start,2152966502526860
116,3,1,nat,uktrace,2,qemu kvm entry,2152966567841790
117,3,1,nat,uktrace,2,qemu kvm port 255,2152966613838526
118,3,1,nat,uktrace,2,qemu kvm port 254,2152966732499327
119,3,1,nat,uktrace,2,qemu kvm port 253,2152967169278372
