,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1024,mirror,linux,1,210532.0
1,3,1,rx,vpp,1024,mirror,linux,1,212346.0
2,3,1,rx,vpp,1024,mirror,linux,1,212293.0
3,3,1,rx,vpp,1024,mirror,linux,1,209580.0
4,3,1,rx,vpp,1024,mirror,linux,1,212158.0
5,3,1,rx,vpp,1024,mirror,linux,1,210268.0
6,3,1,rx,vpp,1024,mirror,linux,1,208074.0
7,3,1,rx,vpp,1024,mirror,linux,1,209585.0
8,3,1,rx,vpp,1024,mirror,linux,1,210186.0
9,3,1,rx,vpp,1024,mirror,linux,1,214697.0
10,3,1,rx,vpp,1024,mirror,linux,1,212307.0
11,3,1,rx,vpp,1024,mirror,linux,1,211235.0
12,3,1,rx,vpp,1024,mirror,linux,1,210816.0
13,3,1,rx,vpp,1024,mirror,linux,1,210017.0
14,3,1,rx,vpp,1024,mirror,linux,1,214545.0
15,3,1,rx,vpp,1024,mirror,linux,1,211251.0
16,3,1,rx,vpp,1024,mirror,linux,1,211270.0
17,3,1,rx,vpp,1024,mirror,linux,1,213118.0
18,3,1,rx,vpp,1024,mirror,linux,1,209835.0
19,3,1,rx,vpp,1024,mirror,linux,1,210136.0
20,3,1,rx,vpp,1024,mirror,linux,1,209849.0
21,3,1,rx,vpp,1024,mirror,linux,1,211733.0
22,3,1,rx,vpp,1024,mirror,linux,1,207363.0
23,3,1,rx,vpp,1024,mirror,linux,1,208740.0
24,3,1,rx,vpp,1024,mirror,linux,1,212582.0
25,3,1,rx,vpp,1024,mirror,linux,1,209738.0
26,3,1,rx,vpp,1024,mirror,linux,1,208163.0
27,3,1,rx,vpp,1024,mirror,linux,1,208576.0
28,3,1,rx,vpp,1024,mirror,linux,1,204659.0
29,3,1,rx,vpp,1024,mirror,linux,1,208139.0
30,3,1,rx,vpp,1024,mirror,linux,1,214327.0
31,3,1,rx,vpp,1024,mirror,linux,1,211539.0
32,3,1,rx,vpp,1024,mirror,linux,1,206258.0
33,3,1,rx,vpp,1024,mirror,linux,1,214687.0
34,3,1,rx,vpp,1024,mirror,linux,1,210394.0
35,3,1,rx,vpp,1024,mirror,linux,1,212948.0
36,3,1,rx,vpp,1024,mirror,linux,1,207372.0
37,3,1,rx,vpp,1024,mirror,linux,1,207078.0
38,3,1,rx,vpp,1024,mirror,linux,1,208339.0
39,3,1,rx,vpp,1024,mirror,linux,1,206737.0
40,3,1,rx,vpp,1024,mirror,linux,1,209088.0
41,3,1,rx,vpp,1024,mirror,linux,1,213249.0
42,3,1,rx,vpp,1024,mirror,linux,1,209792.0
43,3,1,rx,vpp,1024,mirror,linux,1,210031.0
44,3,1,rx,vpp,1024,mirror,linux,1,209847.0
45,3,1,rx,vpp,1024,mirror,linux,1,208173.0
46,3,1,rx,vpp,1024,mirror,linux,1,211785.0
47,3,1,rx,vpp,1024,mirror,linux,1,209978.0
48,3,1,rx,vpp,1024,mirror,linux,1,207718.0
49,3,1,rx,vpp,1024,mirror,linux,1,208602.0
50,3,1,rx,vpp,1024,mirror,linux,1,205144.0
51,3,1,rx,vpp,1024,mirror,linux,1,208360.0
52,3,1,rx,vpp,1024,mirror,linux,1,209082.0
53,3,1,rx,vpp,1024,mirror,linux,1,211044.0
54,3,1,rx,vpp,1024,mirror,linux,1,212985.0
55,3,1,rx,vpp,1024,mirror,linux,1,209495.0
56,3,1,rx,vpp,1024,mirror,linux,1,210471.0
57,3,1,rx,vpp,1024,mirror,linux,1,214292.0
58,3,1,rx,vpp,1024,mirror,linux,1,209225.0
59,3,1,rx,vpp,1024,mirror,linux,1,212669.0
60,3,1,rx,vpp,1024,mirror,linux,1,213855.0
61,3,1,rx,vpp,1024,mirror,linux,1,210901.0
62,3,1,rx,vpp,1024,mirror,linux,1,212323.0
63,3,1,rx,vpp,1024,mirror,linux,1,211274.0
64,3,1,rx,vpp,1024,mirror,linux,1,210654.0
65,3,1,rx,vpp,1024,mirror,linux,1,210428.0
66,3,1,rx,vpp,1024,mirror,linux,1,209243.0
67,3,1,rx,vpp,1024,mirror,linux,1,208293.0
