,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1024,filter,uk,2,1198558.0
1,3,1,rx,vpp,1024,filter,uk,2,1199835.55556
2,3,1,rx,vpp,1024,filter,uk,2,1200503.0
3,3,1,rx,vpp,1024,filter,uk,2,1200337.0
4,3,1,rx,vpp,1024,filter,uk,2,1200372.0
5,3,1,rx,vpp,1024,filter,uk,2,1200428.0
6,3,1,rx,vpp,1024,filter,uk,2,1200385.0
7,3,1,rx,vpp,1024,filter,uk,2,1201125.0
8,3,1,rx,vpp,1024,filter,uk,2,1196926.07393
9,3,1,rx,vpp,1024,filter,uk,2,1200437.0
10,3,1,rx,vpp,1024,filter,uk,2,1198622.0
11,3,1,rx,vpp,1024,filter,uk,2,1200340.0
12,3,1,rx,vpp,1024,filter,uk,2,1200371.0
13,3,1,rx,vpp,1024,filter,uk,2,1200335.0
14,3,1,rx,vpp,1024,filter,uk,2,1199196.8032
15,3,1,rx,vpp,1024,filter,uk,2,1200402.0
16,3,1,rx,vpp,1024,filter,uk,2,1200372.0
17,3,1,rx,vpp,1024,filter,uk,2,1199168.83117
18,3,1,rx,vpp,1024,filter,uk,2,1200383.0
19,3,1,rx,vpp,1024,filter,uk,2,1198214.0
20,3,1,rx,vpp,1024,filter,uk,2,1198545.0
21,3,1,rx,vpp,1024,filter,uk,2,1200438.0
22,3,1,rx,vpp,1024,filter,uk,2,1200507.93651
23,3,1,rx,vpp,1024,filter,uk,2,1198982.0
24,3,1,rx,vpp,1024,filter,uk,2,1200387.0
25,3,1,rx,vpp,1024,filter,uk,2,1200424.0
26,3,1,rx,vpp,1024,filter,uk,2,1199205.79421
27,3,1,rx,vpp,1024,filter,uk,2,1200418.0
28,3,1,rx,vpp,1024,filter,uk,2,1200395.0
29,3,1,rx,vpp,1024,filter,uk,2,1196867.0
30,3,1,rx,vpp,1024,filter,uk,2,1199594.0
31,3,1,rx,vpp,1024,filter,uk,2,1200384.0
32,3,1,rx,vpp,1024,filter,uk,2,1197987.01299
33,3,1,rx,vpp,1024,filter,uk,2,1200354.0
34,3,1,rx,vpp,1024,filter,uk,2,1200366.0
35,3,1,rx,vpp,1024,filter,uk,2,1200386.0
36,3,1,rx,vpp,1024,filter,uk,2,1200295.0
37,3,1,rx,vpp,1024,filter,uk,2,1200399.0
38,3,1,rx,vpp,1024,filter,uk,2,1199125.87413
39,3,1,rx,vpp,1024,filter,uk,2,1195654.34565
40,3,1,rx,vpp,1024,filter,uk,2,1199577.0
41,3,1,rx,vpp,1024,filter,uk,2,1200396.0
42,3,1,rx,vpp,1024,filter,uk,2,1200347.0
43,3,1,rx,vpp,1024,filter,uk,2,1200251.0
44,3,1,rx,vpp,1024,filter,uk,2,1200323.0
45,3,1,rx,vpp,1024,filter,uk,2,1200360.0
46,3,1,rx,vpp,1024,filter,uk,2,1200413.0
47,3,1,rx,vpp,1024,filter,uk,2,1200350.0
48,3,1,rx,vpp,1024,filter,uk,2,1200341.0
49,3,1,rx,vpp,1024,filter,uk,2,1196914.0
50,3,1,rx,vpp,1024,filter,uk,2,1199484.0
51,3,1,rx,vpp,1024,filter,uk,2,1200293.0
52,3,1,rx,vpp,1024,filter,uk,2,1200275.0
53,3,1,rx,vpp,1024,filter,uk,2,1200326.0
54,3,1,rx,vpp,1024,filter,uk,2,1200380.0
55,3,1,rx,vpp,1024,filter,uk,2,1200375.0
56,3,1,rx,vpp,1024,filter,uk,2,1200357.0
57,3,1,rx,vpp,1024,filter,uk,2,1200351.0
58,3,1,rx,vpp,1024,filter,uk,2,1199126.87313
59,3,1,rx,vpp,1024,filter,uk,2,1195960.0
60,3,1,rx,vpp,1024,filter,uk,2,1199572.0
61,3,1,rx,vpp,1024,filter,uk,2,1200345.0
62,3,1,rx,vpp,1024,filter,uk,2,1200383.0
63,3,1,rx,vpp,1024,filter,uk,2,1200342.0
64,3,1,rx,vpp,1024,filter,uk,2,1199201.7982
65,3,1,rx,vpp,1024,filter,uk,2,1200331.0
66,3,1,rx,vpp,1024,filter,uk,2,1200392.0
