,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,64,ids,uk,1,1848763.19759
1,3,1,rx,vpp,64,ids,uk,1,1853284.49574
2,3,1,rx,vpp,64,ids,uk,1,1835497.99197
3,3,1,rx,vpp,64,ids,uk,1,1844080.9452
4,3,1,rx,vpp,64,ids,uk,1,1840833.83534
5,3,1,rx,vpp,64,ids,uk,1,1831271.45008
6,3,1,rx,vpp,64,ids,uk,1,1832661.32859
7,3,1,rx,vpp,64,ids,uk,1,1837561.44393
8,3,1,rx,vpp,64,ids,uk,1,1822015.18987
9,3,1,rx,vpp,64,ids,uk,1,1837311.34752
10,3,1,rx,vpp,64,ids,uk,1,1831000.0
11,3,1,rx,vpp,64,ids,uk,1,1812521.16935
12,3,1,rx,vpp,64,ids,uk,1,1828841.929
13,3,1,rx,vpp,64,ids,uk,1,1812320.68311
14,3,1,rx,vpp,64,ids,uk,1,1822857.44681
15,3,1,rx,vpp,64,ids,uk,1,1820390.86804
16,3,1,rx,vpp,64,ids,uk,1,1816295.61433
17,3,1,rx,vpp,64,ids,uk,1,1817133.33333
18,3,1,rx,vpp,64,ids,uk,1,1808180.07459
19,3,1,rx,vpp,64,ids,uk,1,1811678.95683
20,3,1,rx,vpp,64,ids,uk,1,1816873.55745
21,3,1,rx,vpp,64,ids,uk,1,1804564.97742
22,3,1,rx,vpp,64,ids,uk,1,1812203.81526
23,3,1,rx,vpp,64,ids,uk,1,1815001.12931
24,3,1,rx,vpp,64,ids,uk,1,1791011.51316
25,3,1,rx,vpp,64,ids,uk,1,1809347.38956
26,3,1,rx,vpp,64,ids,uk,1,1814765.82915
27,3,1,rx,vpp,64,ids,uk,1,1797712.49373
28,3,1,rx,vpp,64,ids,uk,1,1810531.30699
29,3,1,rx,vpp,64,ids,uk,1,1806774.91103
30,3,1,rx,vpp,64,ids,uk,1,1803030.75531
31,3,1,rx,vpp,64,ids,uk,1,1811819.86954
32,3,1,rx,vpp,64,ids,uk,1,1808883.70927
33,3,1,rx,vpp,64,ids,uk,1,1801394.07631
