Rx rate: 251255   TxExt rate: 251255   TxInt rate: 251255
Rx rate: 3473072   TxExt rate: 3473072   TxInt rate: 3473072
Rx rate: 309338   TxExt rate: 309338   TxInt rate: 309338
Rx rate: 3776204   TxExt rate: 3776204   TxInt rate: 3776204
Rx rate: 2518710   TxExt rate: 2518710   TxInt rate: 2518710
Rx rate: 2520920   TxExt rate: 2520920   TxInt rate: 2520920
Rx rate: 2527519   TxExt rate: 2527519   TxInt rate: 2527519
Rx rate: 2563347   TxExt rate: 2563347   TxInt rate: 2563347
Rx rate: 2554430   TxExt rate: 2554430   TxInt rate: 2554430
Rx rate: 2560537   TxExt rate: 2560537   TxInt rate: 2560537
Rx rate: 3784000   TxExt rate: 3784000   TxInt rate: 3784000
Rx rate: 2612818   TxExt rate: 2612818   TxInt rate: 2612818
Rx rate: 2558268   TxExt rate: 2558268   TxInt rate: 2558268
Rx rate: 1265666   TxExt rate: 1265666   TxInt rate: 1265666
Rx rate: 2552004   TxExt rate: 2552004   TxInt rate: 2552004
Rx rate: 2561710   TxExt rate: 2561710   TxInt rate: 2561710
Rx rate: 2539576   TxExt rate: 2539576   TxInt rate: 2539576
Rx rate: 2548038   TxExt rate: 2548038   TxInt rate: 2548038
Rx rate: 1265780   TxExt rate: 1265780   TxInt rate: 1265780
Rx rate: 2545229   TxExt rate: 2545229   TxInt rate: 2545229
Rx rate: 2527580   TxExt rate: 2527580   TxInt rate: 2527580
Rx rate: 3497799   TxExt rate: 3497799   TxInt rate: 3497799
Rx rate: 1590682   TxExt rate: 1590682   TxInt rate: 1590682
Rx rate: 3808392   TxExt rate: 3808392   TxInt rate: 3808392
Rx rate: 2535266   TxExt rate: 2535266   TxInt rate: 2535266
Rx rate: 2525434   TxExt rate: 2525434   TxInt rate: 2525434
Rx rate: 2228151   TxExt rate: 2228151   TxInt rate: 2228151
Rx rate: 1570902   TxExt rate: 1570902   TxInt rate: 1570902
Rx rate: 2535209   TxExt rate: 2535209   TxInt rate: 2535209
Rx rate: 2530384   TxExt rate: 2530384   TxInt rate: 2530384
Rx rate: 2536451   TxExt rate: 2536451   TxInt rate: 2536451
Rx rate: 2532603   TxExt rate: 2532603   TxInt rate: 2532603
Rx rate: 2529172   TxExt rate: 2529172   TxInt rate: 2529172
Rx rate: 2533295   TxExt rate: 2533295   TxInt rate: 2533295
Rx rate: 2524649   TxExt rate: 2524649   TxInt rate: 2524649
Rx rate: 2524983   TxExt rate: 2524983   TxInt rate: 2524983
