,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,64,mirror,ukebpfjit,2,1223267.60563
1,3,1,rx,vpp,64,mirror,ukebpfjit,2,1217128.51124
2,3,1,rx,vpp,64,mirror,ukebpfjit,2,1219463.5637
3,3,1,rx,vpp,64,mirror,ukebpfjit,2,1215667.56466
4,3,1,rx,vpp,64,mirror,ukebpfjit,2,1215224.62312
5,3,1,rx,vpp,64,mirror,ukebpfjit,2,1216242.0894
6,3,1,rx,vpp,64,mirror,ukebpfjit,2,1211672.52637
7,3,1,rx,vpp,64,mirror,ukebpfjit,2,1208614.34109
8,3,1,rx,vpp,64,mirror,ukebpfjit,2,1207966.35884
9,3,1,rx,vpp,64,mirror,ukebpfjit,2,1206635.77023
10,3,1,rx,vpp,64,mirror,ukebpfjit,2,1200077.34807
11,3,1,rx,vpp,64,mirror,ukebpfjit,2,1205395.86255
12,3,1,rx,vpp,64,mirror,ukebpfjit,2,1202724.02445
13,3,1,rx,vpp,64,mirror,ukebpfjit,2,1204199.5685
14,3,1,rx,vpp,64,mirror,ukebpfjit,2,1204275.22124
15,3,1,rx,vpp,64,mirror,ukebpfjit,2,1200091.09176
16,3,1,rx,vpp,64,mirror,ukebpfjit,2,1202198.39277
17,3,1,rx,vpp,64,mirror,ukebpfjit,2,1195497.65428
18,3,1,rx,vpp,64,mirror,ukebpfjit,2,1205558.22383
19,3,1,rx,vpp,64,mirror,ukebpfjit,2,1202129.85274
20,3,1,rx,vpp,64,mirror,ukebpfjit,2,1206188.25301
21,3,1,rx,vpp,64,mirror,ukebpfjit,2,1205050.35247
22,3,1,rx,vpp,64,mirror,ukebpfjit,2,1200084.44444
23,3,1,rx,vpp,64,mirror,ukebpfjit,2,1205857.86037
24,3,1,rx,vpp,64,mirror,ukebpfjit,2,1206314.86676
25,3,1,rx,vpp,64,mirror,ukebpfjit,2,1200684.50039
26,3,1,rx,vpp,64,mirror,ukebpfjit,2,1198051.35135
27,3,1,rx,vpp,64,mirror,ukebpfjit,2,1207052.73632
28,3,1,rx,vpp,64,mirror,ukebpfjit,2,1206532.72451
29,3,1,rx,vpp,64,mirror,ukebpfjit,2,1205604.55002
