Rx rate: 1130840.25559   TxExt rate: 1130839.72311   TxInt rate: 1130839.72311
Rx rate: 1223735.52841   TxExt rate: 1223735.52841   TxInt rate: 1223735.52841
Rx rate: 1217113.19648   TxExt rate: 1217113.19648   TxInt rate: 1217113.19648
Rx rate: 1212838.16254   TxExt rate: 1212838.16254   TxInt rate: 1212838.16254
Rx rate: 1223267.60563   TxExt rate: 1223267.60563   TxInt rate: 1223267.60563
Rx rate: 1217128.51124   TxExt rate: 1217128.51124   TxInt rate: 1217128.51124
Rx rate: 1219463.5637   TxExt rate: 1219463.5637   TxInt rate: 1219463.5637
Rx rate: 1215667.56466   TxExt rate: 1215667.56466   TxInt rate: 1215667.56466
Rx rate: 1215224.62312   TxExt rate: 1215224.62312   TxInt rate: 1215224.62312
Rx rate: 1216242.0894   TxExt rate: 1216242.0894   TxInt rate: 1216242.0894
Rx rate: 1211672.52637   TxExt rate: 1211672.52637   TxInt rate: 1211672.52637
Rx rate: 1208614.34109   TxExt rate: 1208614.34109   TxInt rate: 1208614.34109
Rx rate: 1207966.35884   TxExt rate: 1207966.35884   TxInt rate: 1207966.35884
Rx rate: 1206635.77023   TxExt rate: 1206635.77023   TxInt rate: 1206635.77023
Rx rate: 1200077.34807   TxExt rate: 1200077.34807   TxInt rate: 1200077.34807
Rx rate: 1205395.86255   TxExt rate: 1205395.86255   TxInt rate: 1205395.86255
Rx rate: 1202724.02445   TxExt rate: 1202724.02445   TxInt rate: 1202724.02445
Rx rate: 1204199.5685   TxExt rate: 1204199.5685   TxInt rate: 1204199.5685
Rx rate: 1204275.22124   TxExt rate: 1204275.22124   TxInt rate: 1204275.22124
Rx rate: 1200091.09176   TxExt rate: 1200091.09176   TxInt rate: 1200091.09176
Rx rate: 1202198.39277   TxExt rate: 1202198.39277   TxInt rate: 1202198.39277
Rx rate: 1195497.65428   TxExt rate: 1195497.65428   TxInt rate: 1195497.65428
Rx rate: 1205558.22383   TxExt rate: 1205558.22383   TxInt rate: 1205558.22383
Rx rate: 1202129.85274   TxExt rate: 1202129.85274   TxInt rate: 1202129.85274
Rx rate: 1206188.25301   TxExt rate: 1206188.25301   TxInt rate: 1206188.25301
Rx rate: 1205050.35247   TxExt rate: 1205050.35247   TxInt rate: 1205050.35247
Rx rate: 1200084.44444   TxExt rate: 1200084.44444   TxInt rate: 1200084.44444
Rx rate: 1205857.86037   TxExt rate: 1205857.86037   TxInt rate: 1205857.86037
Rx rate: 1206314.86676   TxExt rate: 1206314.86676   TxInt rate: 1206314.86676
Rx rate: 1200684.50039   TxExt rate: 1200684.50039   TxInt rate: 1200684.50039
Rx rate: 1198051.35135   TxExt rate: 1198051.35135   TxInt rate: 1198051.35135
Rx rate: 1207052.73632   TxExt rate: 1207052.73632   TxInt rate: 1207052.73632
Rx rate: 1206532.72451   TxExt rate: 1206532.72451   TxInt rate: 1206532.72451
Rx rate: 1205604.55002   TxExt rate: 1205604.55002   TxInt rate: 1205604.55002
