,repetitions,num_vms,direction,interface,size,vnf,system,repetition,pps
0,3,1,rx,vpp,1518,nat,ukebpfjit,2,814307.38523
1,3,1,rx,vpp,1518,nat,ukebpfjit,2,815061.0
2,3,1,rx,vpp,1518,nat,ukebpfjit,2,815016.983017
3,3,1,rx,vpp,1518,nat,ukebpfjit,2,813006.993007
4,3,1,rx,vpp,1518,nat,ukebpfjit,2,814745.254745
5,3,1,rx,vpp,1518,nat,ukebpfjit,2,814372.627373
6,3,1,rx,vpp,1518,nat,ukebpfjit,2,815044.0
7,3,1,rx,vpp,1518,nat,ukebpfjit,2,814362.637363
8,3,1,rx,vpp,1518,nat,ukebpfjit,2,814912.0
9,3,1,rx,vpp,1518,nat,ukebpfjit,2,813673.0
10,3,1,rx,vpp,1518,nat,ukebpfjit,2,815414.804469
11,3,1,rx,vpp,1518,nat,ukebpfjit,2,814776.223776
12,3,1,rx,vpp,1518,nat,ukebpfjit,2,814434.565435
13,3,1,rx,vpp,1518,nat,ukebpfjit,2,813459.0
14,3,1,rx,vpp,1518,nat,ukebpfjit,2,814549.450549
15,3,1,rx,vpp,1518,nat,ukebpfjit,2,814361.59601
16,3,1,rx,vpp,1518,nat,ukebpfjit,2,814720.27972
17,3,1,rx,vpp,1518,nat,ukebpfjit,2,814151.848152
18,3,1,rx,vpp,1518,nat,ukebpfjit,2,815255.0
19,3,1,rx,vpp,1518,nat,ukebpfjit,2,813463.0
20,3,1,rx,vpp,1518,nat,ukebpfjit,2,814950.0
21,3,1,rx,vpp,1518,nat,ukebpfjit,2,815084.0
22,3,1,rx,vpp,1518,nat,ukebpfjit,2,814956.0
23,3,1,rx,vpp,1518,nat,ukebpfjit,2,813087.0
24,3,1,rx,vpp,1518,nat,ukebpfjit,2,814978.0
25,3,1,rx,vpp,1518,nat,ukebpfjit,2,815081.0
26,3,1,rx,vpp,1518,nat,ukebpfjit,2,815190.0
27,3,1,rx,vpp,1518,nat,ukebpfjit,2,815070.0
28,3,1,rx,vpp,1518,nat,ukebpfjit,2,815022.0
29,3,1,rx,vpp,1518,nat,ukebpfjit,2,812919.080919
30,3,1,rx,vpp,1518,nat,ukebpfjit,2,814096.0
31,3,1,rx,vpp,1518,nat,ukebpfjit,2,815050.0
32,3,1,rx,vpp,1518,nat,ukebpfjit,2,815044.0
33,3,1,rx,vpp,1518,nat,ukebpfjit,2,815059.0
34,3,1,rx,vpp,1518,nat,ukebpfjit,2,813113.0
35,3,1,rx,vpp,1518,nat,ukebpfjit,2,815184.0
36,3,1,rx,vpp,1518,nat,ukebpfjit,2,814535.464535
37,3,1,rx,vpp,1518,nat,ukebpfjit,2,815154.0
38,3,1,rx,vpp,1518,nat,ukebpfjit,2,814152.0
39,3,1,rx,vpp,1518,nat,ukebpfjit,2,813847.152847
40,3,1,rx,vpp,1518,nat,ukebpfjit,2,814940.0
41,3,1,rx,vpp,1518,nat,ukebpfjit,2,815077.0
42,3,1,rx,vpp,1518,nat,ukebpfjit,2,815233.0
43,3,1,rx,vpp,1518,nat,ukebpfjit,2,815150.0
44,3,1,rx,vpp,1518,nat,ukebpfjit,2,812748.251748
45,3,1,rx,vpp,1518,nat,ukebpfjit,2,815055.0
46,3,1,rx,vpp,1518,nat,ukebpfjit,2,815094.0
47,3,1,rx,vpp,1518,nat,ukebpfjit,2,815032.0
48,3,1,rx,vpp,1518,nat,ukebpfjit,2,814088.0
49,3,1,rx,vpp,1518,nat,ukebpfjit,2,814442.0
50,3,1,rx,vpp,1518,nat,ukebpfjit,2,814954.0
51,3,1,rx,vpp,1518,nat,ukebpfjit,2,814409.59041
52,3,1,rx,vpp,1518,nat,ukebpfjit,2,815132.0
53,3,1,rx,vpp,1518,nat,ukebpfjit,2,815042.0
54,3,1,rx,vpp,1518,nat,ukebpfjit,2,812623.376623
55,3,1,rx,vpp,1518,nat,ukebpfjit,2,815057.0
56,3,1,rx,vpp,1518,nat,ukebpfjit,2,815203.0
57,3,1,rx,vpp,1518,nat,ukebpfjit,2,814305.694306
58,3,1,rx,vpp,1518,nat,ukebpfjit,2,814294.0
59,3,1,rx,vpp,1518,nat,ukebpfjit,2,814569.0
60,3,1,rx,vpp,1518,nat,ukebpfjit,2,814474.525475
61,3,1,rx,vpp,1518,nat,ukebpfjit,2,815298.0
62,3,1,rx,vpp,1518,nat,ukebpfjit,2,815079.0
63,3,1,rx,vpp,1518,nat,ukebpfjit,2,814410.589411
64,3,1,rx,vpp,1518,nat,ukebpfjit,2,812802.197802
65,3,1,rx,vpp,1518,nat,ukebpfjit,2,815112.0
66,3,1,rx,vpp,1518,nat,ukebpfjit,2,814181.0
